target,feature,corr,pval,n,pval_adj,reject
Adv(BNS),num_steps,-0.04461158375375378,0.2049575984040272,809,1.0,False
Adv(BNS),avg_step_length,-0.0447079175891039,0.20398029682126118,809,1.0,False
Adv(BNS),steps_with_objects,-0.0350630399445311,0.3192211510269936,809,1.0,False
Adv(BNS),steps_with_specific_actions,,,809,,False
Adv(BNS),potential_ambiguous_steps,,,809,,False
Adv(BNS),potential_vague_steps,-0.027383844996136462,0.4366761916131986,809,1.0,False
Adv(BNS),num_causal_markers,0.03956884448715279,0.260947802307083,809,1.0,False
Adv(BNS),num_temporal_markers,0.04397567677102041,0.21149418322706653,809,1.0,False
Adv(BNS),causal_density,0.0392795923067854,0.26445222246715516,809,1.0,False
Adv(BNS),temporal_density,0.043921908613816105,0.21205369418047057,809,1.0,False
Adv(BNS),num_os_mentions,0.07608625742778731,0.030471491345603004,809,1.0,False
Adv(BNS),num_browser_mentions,-0.007296534113977368,0.835840673006417,809,1.0,False
Adv(BNS),num_env_mentions,-0.015145086987913841,0.6671016729868129,809,1.0,False
Adv(BNS),num_versions,0.016895934001273344,0.6313262508903368,809,1.0,False
Adv(BNS),num_exception_types,-0.04841514908421,0.16890026828549054,809,1.0,False
Adv(BNS),stacktrace_depth,-0.13701873286757832,9.243335651409482e-05,809,0.01746990438116392,True
Adv(BNS),num_caused_by,-0.07714731405390397,0.02822295848740218,809,1.0,False
Adv(BNS),behavior_verb_count,,,809,,False
Adv(BNS),behavior_verb_density,,,809,,False
Adv(BNS),num_modal_verbs,0.0524286676307219,0.13623903341517807,809,1.0,False
Adv(BNS),num_negative_modals,0.05892109025841629,0.09398288756434103,809,1.0,False
Adv(BNS),modal_density,0.057766188666936884,0.100616933027316,809,1.0,False
Adv(BNS),redundancy,-0.05811810516563225,0.09855710437860835,809,1.0,False
Adv(BNS),ambiguity,0.05048355607403131,0.1514026472666675,809,1.0,False
Adv(BNS),completeness_score,-0.03575078473833761,0.921895036818971,10,1.0,False
Adv(BNS),specificity_score,,,10,,False
Adv(BNS),actionability,0.0159911315995373,0.6497134347411643,809,1.0,False
Adv(BNS),clarity,0.008396203600580129,0.8115339999409723,809,1.0,False
Adv(BNS),specificity,-0.01485964313184963,0.6730093179922625,809,1.0,False
Adv(BNS),expected_observed_alignment,-0.002131047281157606,0.9517418328611438,809,1.0,False
Adv(BNS),technical_depth,-0.014916244234342983,0.6718362653747355,809,1.0,False
Adv(BNS),causal_reasoning_quality,0.04414715099155676,0.20971694144673553,809,1.0,False
Adv(BNS),repair_difficulty,-0.06256946466934031,0.07529718268806879,809,1.0,False
Adv(BNS),description_length,0.020990238291468708,0.5510641142346191,809,1.0,False
Adv(BNS),confidence,0.040719717460816325,0.24732265476485032,809,1.0,False
Adv(BNS),fine_grained_description_length,0.022817012767059764,0.5227166883217484,787,1.0,False
Adv(BNS),fine_grained_confidence,0.007575700653631516,0.8319585629291458,787,1.0,False
Adv(BNS),has_OB,-0.05030168312763306,0.1528836212203933,809,1.0,False
Adv(BNS),has_EB,0.02896671211965229,0.4106235793482067,809,1.0,False
Adv(BNS),has_S2R,,,809,,False
Adv(BNS),missing_OB,0.05030168312763306,0.1528836212203933,809,1.0,False
Adv(BNS),missing_EB,-0.02896671211965229,0.4106235793482067,809,1.0,False
Adv(BNS),missing_S2R,,,809,,False
Adv(BNS),num_OB,-0.011716705536022866,0.7393203508150447,809,1.0,False
Adv(BNS),num_EB,0.028682665628545212,0.41522967791346155,809,1.0,False
Adv(BNS),num_S2R,,,809,,False
Adv(BL),summary_chars,0.09593868394358453,0.006316948969813439,809,1.0,False
Adv(BL),description_chars,0.06416144963593882,0.06815249116942096,809,1.0,False
Adv(BL),n_tokens,0.06377278602589675,0.06984329875775326,809,1.0,False
Adv(BL),n_words,0.07510493215738029,0.032686076277680075,809,1.0,False
Adv(BL),n_sentences,0.0862159666451852,0.014166583553179781,809,1.0,False
Adv(BL),flesch_reading_ease,0.08268862702686798,0.040532873057625846,614,1.0,False
Adv(BL),smog_index,-0.07055595298045071,0.08065076824760127,614,1.0,False
Adv(BL),gunning_fog,-0.042670219664480334,0.29112693519515703,614,1.0,False
Adv(BL),coleman_liau_index,-0.06617850934294227,0.10136046795203187,614,1.0,False
Adv(BL),automated_readability_index,-0.07746873734289089,0.05503852344898781,614,1.0,False
Adv(BL),num_steps,-0.007087210326787159,0.8404860253432319,809,1.0,False
Adv(BL),avg_step_length,-0.00747669771457134,0.8318470139787828,809,1.0,False
Adv(BL),steps_with_objects,-0.000311492570733521,0.9929419565355986,809,1.0,False
Adv(BL),steps_with_specific_actions,,,809,,False
Adv(BL),potential_ambiguous_steps,,,809,,False
Adv(BL),potential_vague_steps,-0.010782999633979141,0.7594259301240761,809,1.0,False
Adv(BL),num_causal_markers,0.09147954509507106,0.009230870894320483,809,1.0,False
Adv(BL),num_temporal_markers,0.02546912984493742,0.46942569398339384,809,1.0,False
Adv(BL),causal_density,0.08370994947219965,0.017244384307408635,809,1.0,False
Adv(BL),temporal_density,0.02777314106889181,0.4301820766201133,809,1.0,False
Adv(BL),num_os_mentions,-0.005535856710925736,0.8750764295807463,809,1.0,False
Adv(BL),num_browser_mentions,-0.016625968546337383,0.6367893024166202,809,1.0,False
Adv(BL),num_env_mentions,-0.04236047279813295,0.2287701129960315,809,1.0,False
Adv(BL),num_versions,0.06706607223765401,0.05655259236257169,809,1.0,False
Adv(BL),num_exception_types,0.055398360977962635,0.11538015101954824,809,1.0,False
Adv(BL),stacktrace_depth,0.022447248742892233,0.523761087370971,809,1.0,False
Adv(BL),num_caused_by,0.02630194095100479,0.4550172907601242,809,1.0,False
Adv(BL),behavior_verb_count,,,809,,False
Adv(BL),behavior_verb_density,,,809,,False
Adv(BL),num_modal_verbs,0.07832337757935877,0.025898898299620526,809,1.0,False
Adv(BL),num_negative_modals,0.02358716482520186,0.5028935944709729,809,1.0,False
Adv(BL),modal_density,0.08601949477424031,0.014389081179103808,809,1.0,False
Adv(BL),redundancy,0.03426157607501993,0.330414949275865,809,1.0,False
Adv(BL),ambiguity,0.021460406480257054,0.5421777473583541,809,1.0,False
Adv(BL),completeness_score,0.14433756729740643,0.6907576397690647,10,1.0,False
Adv(BL),specificity_score,,,10,,False
Adv(BL),actionability,0.08429146718569562,0.01648226691437817,809,1.0,False
Adv(BL),clarity,0.09119843026819395,0.009449477130758572,809,1.0,False
Adv(BL),specificity,0.06674387328197526,0.05775249258417618,809,1.0,False
Adv(BL),expected_observed_alignment,0.09474322140859115,0.007003543167383856,809,1.0,False
Adv(BL),technical_depth,0.0814804966506487,0.020459368624480646,809,1.0,False
Adv(BL),causal_reasoning_quality,0.13722116235351436,9.02273868136081e-05,809,0.01714320349458554,True
Adv(BL),repair_difficulty,-0.10177786711130846,0.0037565544507458604,809,0.7024756822894759,False
Adv(BL),description_length,0.06416144963593882,0.06815249116942096,809,1.0,False
Adv(BL),confidence,0.07017596660732962,0.04600101960618658,809,1.0,False
Adv(BL),fine_grained_description_length,0.06007393310399172,0.09215697212003399,787,1.0,False
Adv(BL),fine_grained_confidence,0.06952081613690374,0.051228241149713964,787,1.0,False
Adv(BL),has_OB,-0.0032887684545145146,0.9255875290569184,809,1.0,False
Adv(BL),has_EB,0.06112199978339984,0.08231217380598177,809,1.0,False
Adv(BL),has_S2R,,,809,,False
Adv(BL),missing_OB,0.0032887684545145146,0.9255875290569184,809,1.0,False
Adv(BL),missing_EB,-0.06112199978339984,0.08231217380598177,809,1.0,False
Adv(BL),missing_S2R,,,809,,False
Adv(BL),num_OB,0.04469426869693527,0.2041185579148529,809,1.0,False
Adv(BL),num_EB,0.05010328377174772,0.15451168557860312,809,1.0,False
Adv(BL),num_S2R,,,809,,False
Adv(LOC),summary_chars,0.019788248368335207,0.5741020966754018,809,1.0,False
Adv(LOC),description_chars,-0.010604021525721643,0.7632989671417524,809,1.0,False
Adv(LOC),n_tokens,-0.015758804869825793,0.6544698771733738,809,1.0,False
Adv(LOC),n_words,-0.013949384105617616,0.6919817704442875,809,1.0,False
Adv(LOC),n_sentences,-0.021314484004719383,0.5449280904055831,809,1.0,False
Adv(LOC),flesch_reading_ease,0.08646138023907957,0.032187409530503135,614,1.0,False
Adv(LOC),smog_index,-0.06066145000962236,0.13323883886199472,614,1.0,False
Adv(LOC),gunning_fog,-0.04363675675888751,0.28032607048462366,614,1.0,False
Adv(LOC),coleman_liau_index,-0.07997521711481924,0.04760884739175199,614,1.0,False
Adv(LOC),automated_readability_index,-0.053014177394904716,0.1895588273078202,614,1.0,False
Adv(LOC),num_steps,-0.04709926027902402,0.18079470856451535,809,1.0,False
Adv(LOC),avg_step_length,-0.047333626034830295,0.17863200819772723,809,1.0,False
Adv(LOC),steps_with_objects,-0.02795080654269908,0.427237015598686,809,1.0,False
Adv(LOC),steps_with_specific_actions,,,809,,False
Adv(LOC),potential_ambiguous_steps,,,809,,False
Adv(LOC),potential_vague_steps,-0.04000236498290189,0.2557557634516712,809,1.0,False
Adv(LOC),num_causal_markers,0.006723611698634847,0.8485681774585149,809,1.0,False
Adv(LOC),num_temporal_markers,-0.006810140322126137,0.846643325047775,809,1.0,False
Adv(LOC),causal_density,0.018091045996575204,0.607385748911796,809,1.0,False
Adv(LOC),temporal_density,-0.004549597422377709,0.8971958815637004,809,1.0,False
Adv(LOC),num_os_mentions,-0.01556102825955287,0.6585300443125004,809,1.0,False
Adv(LOC),num_browser_mentions,0.060505533415917766,0.08545619823737383,809,1.0,False
Adv(LOC),num_env_mentions,-0.01778551123722372,0.6134677186174404,809,1.0,False
Adv(LOC),num_versions,-0.004118324738887075,0.9068944619073471,809,1.0,False
Adv(LOC),num_exception_types,-0.03588251522603138,0.30803498300103166,809,1.0,False
Adv(LOC),stacktrace_depth,-0.022092885787515077,0.5303372592676934,809,1.0,False
Adv(LOC),num_caused_by,-0.0076387851195032636,0.8282577431814342,809,1.0,False
Adv(LOC),behavior_verb_count,,,809,,False
Adv(LOC),behavior_verb_density,,,809,,False
Adv(LOC),num_modal_verbs,0.06576922544159028,0.06151139197369193,809,1.0,False
Adv(LOC),num_negative_modals,0.01869932417200469,0.5953581185154626,809,1.0,False
Adv(LOC),modal_density,0.07594285111643831,0.0307868685451241,809,1.0,False
Adv(LOC),redundancy,0.03352310381160033,0.34095069462148186,809,1.0,False
Adv(LOC),ambiguity,-0.030189637246594517,0.3911413495598711,809,1.0,False
Adv(LOC),completeness_score,0.14256648712805028,0.6943975852979849,10,1.0,False
Adv(LOC),specificity_score,,,10,,False
Adv(LOC),actionability,0.01869294925763407,0.5954836070856502,809,1.0,False
Adv(LOC),clarity,0.012261451266621811,0.7276709232784448,809,1.0,False
Adv(LOC),specificity,0.014578523971688871,0.6788472125789029,809,1.0,False
Adv(LOC),expected_observed_alignment,-0.005472784443299433,0.876488266322776,809,1.0,False
Adv(LOC),technical_depth,-0.010752837520945796,0.7600782111313615,809,1.0,False
Adv(LOC),causal_reasoning_quality,0.02166234619002453,0.5383830266202398,809,1.0,False
Adv(LOC),repair_difficulty,-0.05461554455476033,0.12061855402599586,809,1.0,False
Adv(LOC),description_length,-0.010604021525721643,0.7632989671417524,809,1.0,False
Adv(LOC),confidence,-0.028961136681331948,0.41071369817318415,809,1.0,False
Adv(LOC),fine_grained_description_length,-0.014897812727058488,0.6764626805350145,787,1.0,False
Adv(LOC),fine_grained_confidence,-0.016011213976441823,0.6538026898677571,787,1.0,False
Adv(LOC),has_OB,-0.022261440738122723,0.5272040501455337,809,1.0,False
Adv(LOC),has_EB,0.016948540539600036,0.6302640229856962,809,1.0,False
Adv(LOC),has_S2R,,,809,,False
Adv(LOC),missing_OB,0.022261440738122723,0.5272040501455337,809,1.0,False
Adv(LOC),missing_EB,-0.016948540539600036,0.6302640229856962,809,1.0,False
Adv(LOC),missing_S2R,,,809,,False
Adv(LOC),num_OB,-0.003296870473211853,0.9254047442123795,809,1.0,False
Adv(LOC),num_EB,0.01934348608222039,0.582740562015837,809,1.0,False
Adv(LOC),num_S2R,,,809,,False
