feature,unloc_mean,local_mean,unloc_median,local_median,p_value,pval_adj,reject,significant
txt_description_line_count,-0.3300004802883812,0.037400054432683155,-0.6028194775205034,-0.3205375176880523,2.9936390415981865e-10,1.76624703454293e-08,True,True
report_code_specificity_ratio,0.2205888039864426,0.30164908211207453,0.204225352112676,0.293103448275862,3.80209019265201e-10,2.2052123117381658e-08,True,True
txt_title_word_count,-0.5516728223300341,0.0625229198640706,-0.7977119766339881,-0.7977119766339881,1.3303682739867802e-09,7.583099161724647e-08,True,True
txt_description_avg_sentence_len,-0.5145862963457628,0.05831978025251987,-0.9942554810346128,-0.0610434604517264,1.370772911260248e-09,7.67632830305739e-08,True,True
txt_title_avg_sentence_len,-0.4920992692180806,0.05577125051138279,-0.70287777031615,-0.70287777031615,2.1688954717281144e-09,1.192892509450463e-07,True,True
embedding_cluster_distance,-0.6888789243511363,0.07807294475979568,-0.498746479858262,0.1288959031368986,2.6471107221689775e-09,1.429439789971248e-07,True,True
txt_title_digit_density,-0.4291797482703755,0.04864037147064252,-0.6450552541976357,-0.6450552541976357,7.549265689871417e-08,4.001110815631851e-06,True,True
project_num_java_files,700.9764705882353,481.23719676549865,741.0,469.0,1.3518560316810956e-07,7.029651364741698e-06,True,True
z_actionability,0.4717834199730729,0.7979287437769262,0.6507913734559684,0.9370425713316364,1.9294251202312528e-07,9.840068113179389e-06,True,True
description_length,-0.3085620660879489,0.034970367489967534,-1.0231586669890729,-0.0921520169085041,1.7535148495758323e-06,8.767574247879161e-05,True,True
project_java_bytes,7110938.694117647,4646642.336927224,5682542.0,3794147.0,1.967696839696098e-06,9.64171451451088e-05,True,True
z_clarity,0.7310538099986564,1.07966053538955,0.9370425713316364,1.111873974991652,8.425514560142926e-06,0.00040442469888686046,True,True
ari,39.73387907079226,28.27043172105365,30.0,23.2,1.1060960932994162e-05,0.0005198651638507256,True,True
code_vocab_overlap_count,19.564705882352943,24.473045822102424,15.0,21.0,1.596446729969414e-05,0.0007343654957859305,True,True
buggy_vocab_size,237.49411764705883,324.1617250673854,186.0,272.5,2.8056600705499947e-05,0.0012625470317474976,True,True
z_specificity,0.5196862721490635,0.19201346108986597,0.6507913734559684,0.2401922307076309,5.714405144098464e-05,0.002514338263403324,True,True
flesch,-20.876618950644847,9.081557244950565,5.59,21.87,7.374294446872221e-05,0.003170946612155055,True,True
embedding_cluster_size,0.41356307061543807,-0.04687048133641633,0.4146459595637947,-0.3447299154714549,7.881569629176663e-05,0.0033102592442541988,True,True
z_ambiguity,0.6204382125625836,0.19919663816739777,0.4905114715879725,0.17358262278537814,8.234332638348245e-05,0.0033760763817227805,True,True
z_reproducibility,0.5097392215083185,0.2137644725525543,0.5607721540920443,0.2940528242121714,0.00017949665021276467,0.007179866008510586,True,True
txt_description_uniq_word_ratio,0.44413585900907065,-0.05033539735436155,1.4462904983191245,-0.10821910816483876,0.0001838636499398487,0.007179866008510586,True,True
kincaid,19.152717935679018,15.3980092634932,16.3,14.0,0.0004048886370669671,0.01538576820854475,True,True
num_versions,-0.15003026254409316,0.017003429754997256,-0.3124943305803233,-0.1809757993128989,0.0006511095659729947,0.024091053941000803,True,True
z_hidden_reproducibility,-1.3206285276754652,-1.5749347928731452,-1.2751965049066458,-1.4367622330384784,0.0006615130716300877,0.024091053941000803,True,True
semantic_coherence,0.47164376847398176,-0.053452960427051444,-0.0401622134515688,-0.2142751686328568,0.0013178083587443642,0.04612329255605275,True,True
z_repair_readiness,0.11490308178470406,0.34176901474071625,0.1240347345892083,0.5359422007578724,0.0017089346581618838,0.05810377837750405,False,False
technical_completeness,0.35529411764705887,0.4628888888888889,0.3,0.4,0.004943645927136046,0.16314031559548953,False,False
jira_num_attachments,0.1411764705882353,0.36533333333333334,0.0,0.0,0.006783651817665457,0.21707685816529462,False,False
jira_has_patch_attachment,0.07058823529411765,0.168,0.0,0.0,0.019737037425441157,0.6118481601886758,False,False
z_root_cause_evidence,-1.2428106889441617,-1.0503270545320504,-1.276884796138123,-1.0297484545732083,0.027934779814091218,0.8380433944227366,False,False
z_impact_scope,-0.30470506330948705,-0.1838235276381988,-0.3162277660168379,-0.1703885502741196,0.029007028735707607,0.8412038333355206,False,False
code_vocab_jaccard,0.06506862312125074,0.07014344508035339,0.05720823798627,0.06511142850665395,0.06947058643586652,1.0,False,False
z_reasoning_quality,0.0119325434910569,0.1602983820703039,-0.3162277660168379,0.2540002540003809,0.09980550894757878,1.0,False,False
num_env_mentions,0.21149214740310193,-0.023969110039018252,-0.2192296649910203,-0.2192296649910203,0.10373131667275119,1.0,False,False
num_causal_markers,-0.021549927615450774,0.0024423251297511256,-0.4554019288379759,-0.1531279935599871,0.10760367439162327,1.0,False,False
lix,50.97768840425004,52.120822156279885,49.88,51.5,0.12383030564216645,1.0,False,False
specificity_repro_gap,0.08235294117647059,-0.032,0.0,0.0,0.16951843145535495,1.0,False,False
cohens_kappa,0.6067420794387086,0.6384898415776593,0.6470588235294117,0.6692504006172474,0.1790031136899235,1.0,False,False
spec_reasoning_product,7.905882352941177,8.913333333333334,5.0,5.0,0.18634044416497564,1.0,False,False
num_temporal_markers,-0.045871194965895236,0.005198735429468104,-0.4635308650875505,-0.4635308650875505,0.20218430510138607,1.0,False,False
z_technical_context,-0.11139228153834166,-0.1755458727439199,-0.0693375245281535,-0.2248595066987586,0.2041785233262451,1.0,False,False
jira_has_test_attachment,0.03529411764705882,0.068,0.0,0.0,0.24576580921810087,1.0,False,False
quality_composite,0.5617647058823527,0.6059333333333333,0.65,0.65,0.2802161912855159,1.0,False,False
fog,11.453926620492263,11.543295364666454,10.54,11.3,0.30254175719211385,1.0,False,False
num_OB,-0.035607927155602355,0.004035565077634944,-0.0777818550633016,-0.2886514946017978,0.4015636186130306,1.0,False,False
num_exception_types,-0.03792772229947651,0.004298475193940681,-0.5251530779927517,-0.5251530779927517,0.447141295951316,1.0,False,False
num_buggy_files,1.1529411764705881,1.274932614555256,1.0,1.0,0.4733371499927328,1.0,False,False
exception_user_frames,0.04726513309807568,-0.00535671508444856,-0.2073567129463963,-0.2073567129463963,0.545245249373349,1.0,False,False
num_EB,0.11353205435179167,-0.012866966159869785,-0.673136533919824,-0.673136533919824,0.5838726212337353,1.0,False,False
quality_std,0.19939767458882013,0.20375971941917104,0.1914854215512676,0.1914854215512676,0.6367463043494034,1.0,False,False
code_vocab_overlap_ratio,0.10120899151899755,0.092555637837087,0.08,0.08002713704206241,0.6441772645339153,1.0,False,False
percent_agreement,0.8379901960784313,0.8452777777777777,0.8541666666666666,0.8541666666666666,0.6843486432259653,1.0,False,False
smog,12.203155005385428,12.254032836789323,11.9,12.1,0.709476207627767,1.0,False,False
causal_consistency,0.8196801617125867,0.8321539079319042,0.8522727385555411,0.8513684056203605,0.7194382854447725,1.0,False,False
embedding_pos_neg_ratio,-0.043424212456707745,0.004921410745092425,-0.1064125837329401,-0.02225007312439775,0.7287031542791748,1.0,False,False
report_vocab_size,87.51764705882353,81.71024258760107,79.0,74.0,0.851685310845385,1.0,False,False
semantic_entropy,-0.17950961501622972,0.02034442303517324,0.4199794426332777,0.29369017452491686,0.879680614742818,1.0,False,False
stacktrace_depth,0.0506067791198926,-0.005735434966921149,-0.2020454871191189,-0.2020454871191189,0.8883810975403791,1.0,False,False
technical_consistency,0.6894117647058824,0.7017333333333334,0.7,0.7,0.9514144291542082,1.0,False,False
