tool,label_mode,base_prefix,feature,n_pos,n_neg,median_pos,median_neg,u_stat,p_value,cliffs_delta,pval_adj,reject,abs_delta,practically_significant
boostnsift,stratified,mrr,n_tokens,823,8,-0.2894729069006857,-1.087342044381282,5754.5,0.0002684057072576148,0.7480255164034022,0.03194027916365617,True,0.7480255164034022,True
boostnsift,stratified,mrr,txt_fine_grained_reasoning_hedge_count,823,8,-0.3770599600499196,1.8401588191168616,867.5,2.424405822168308e-09,-0.7364823815309842,2.957775103045336e-07,True,0.7364823815309842,True
boostnsift,stratified,mrr,n_words,823,8,-0.2518277799516151,-1.0479554550952948,5689.0,0.00038946426596189656,0.7281287970838396,0.04595678338350379,True,0.7281287970838396,True
boostnsift,stratified,mrr,txt_fine_grained_reasoning_hedge_density,823,8,-0.372629788649181,1.6959567559776443,909.5,4.876277745315001e-09,-0.7237241798298907,5.900296071831152e-07,True,0.7237241798298907,True
boostnsift,stratified,mrr,confidence,823,8,0.5605334956487706,-1.797378186299459,5322.5,4.88602058599252e-05,0.6167982989064399,0.005863224703191024,True,0.6167982989064399,True
