project,bug_id,tool,rank,mrr,map,map_recalc_single_gt,map_recalc_with_gt,map_recalc_conservative,map_diff_single,map_diff_with_gt,map_diff_conservative,top@1,top@5,top@10
Closure,140,buglocator,13.0,0.076923,0.076923,0.07692307692307693,0.07692307692307693,0.07692307692307693,7.692307692208633e-08,7.692307692208633e-08,7.692307692208633e-08,0,0,0
Closure,140,locus,44.0,0.022727,0.022727,0.022727272727272728,0.022727272727272728,0.022727272727272728,2.727272727272301e-07,2.727272727272301e-07,2.727272727272301e-07,0,0,0
Closure,141,FlexFL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
Closure,141,boostnsift,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
Closure,141,buglocator,16.0,0.0625,0.0625,0.0625,0.03125,0.0625,0.0,0.03125,0.0,0,0,0
Closure,141,locus,13.0,0.076923,0.076923,0.07692307692307693,0.038461538461538464,0.07692307692307693,7.692307692208633e-08,0.03846146153846154,7.692307692208633e-08,0,0,0
Closure,142,FlexFL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Closure,142,boostnsift,174.0,0.005747,0.005747,0.005747126436781609,0.0028735632183908046,0.005747126436781609,1.264367816087436e-07,0.002873436781609196,1.264367816087436e-07,0,0,0
Closure,142,buglocator,30.0,0.033333,0.033333,0.03333333333333333,0.016666666666666666,0.03333333333333333,3.3333333333135373e-07,0.016666333333333335,3.3333333333135373e-07,0,0,0
Closure,142,locus,44.0,0.022727,0.022727,0.022727272727272728,0.011363636363636364,0.022727272727272728,2.727272727272301e-07,0.011363363636363637,2.727272727272301e-07,0,0,0
Closure,143,FlexFL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
Closure,143,boostnsift,392.0,0.002551,0.002551,0.002551020408163265,0.0012755102040816326,0.002551020408163265,2.0408163265220325e-08,0.0012754897959183673,2.0408163265220325e-08,0,0,0
Closure,143,buglocator,445.0,0.002247,0.002247,0.0022471910112359553,0.0011235955056179776,0.0022471910112359553,1.9101123595538852e-07,0.0011234044943820222,1.9101123595538852e-07,0,0,0
Closure,143,locus,437.0,0.002288,0.002288,0.002288329519450801,0.0011441647597254005,0.002288329519450801,3.2951945080081715e-07,0.0011438352402745996,3.2951945080081715e-07,0,0,0
Closure,144,FlexFL,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.41666666666666663,0.3333333333333333,0.0,0.08333333333333331,0.0,0,1,1
Closure,144,boostnsift,168.0,0.005952,0.005952,0.005952380952380952,0.001984126984126984,0.005952380952380952,3.80952380952225e-07,0.003967873015873016,3.80952380952225e-07,0,0,0
Closure,144,buglocator,307.0,0.003257,0.003257,0.003257328990228013,0.0010857763300760044,0.003257328990228013,3.289902280132623e-07,0.0021712236699239955,3.289902280132623e-07,0,0,0
Closure,144,locus,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Closure,145,FlexFL,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0,1,1
Closure,145,boostnsift,20.0,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0,0,0
Closure,145,buglocator,93.0,0.010753,0.010753,0.010752688172043012,0.010752688172043012,0.010752688172043012,3.118279569887944e-07,3.118279569887944e-07,3.118279569887944e-07,0,0,0
Closure,145,locus,27.0,0.037037,0.037037,0.037037037037037035,0.037037037037037035,0.037037037037037035,3.7037037034504117e-08,3.7037037034504117e-08,3.7037037034504117e-08,0,0,0
Closure,146,FlexFL,4.0,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0,1,1
Closure,146,boostnsift,28.0,0.035714,0.035714,0.03571428571428571,0.03571428571428571,0.03571428571428571,2.857142857096151e-07,2.857142857096151e-07,2.857142857096151e-07,0,0,0
Closure,146,buglocator,23.0,0.043478,0.043478,0.043478260869565216,0.043478260869565216,0.043478260869565216,2.608695652134285e-07,2.608695652134285e-07,2.608695652134285e-07,0,0,0
Closure,146,locus,126.0,0.007937,0.007937,0.007936507936507936,0.007936507936507936,0.007936507936507936,4.920634920635436e-07,4.920634920635436e-07,4.920634920635436e-07,0,0,0
Closure,147,FlexFL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
Closure,147,boostnsift,143.0,0.006993,0.006993,0.006993006993006993,0.0034965034965034965,0.006993006993006993,6.993006992916939e-09,0.0034964965034965036,6.993006992916939e-09,0,0,0
Closure,147,buglocator,94.0,0.010638,0.010638,0.010638297872340425,0.005319148936170213,0.010638297872340425,2.978723404253869e-07,0.005318851063829787,2.978723404253869e-07,0,0,0
Closure,147,locus,6.0,0.166667,0.166667,0.16666666666666666,0.08333333333333333,0.16666666666666666,3.333333333521704e-07,0.08333366666666668,3.333333333521704e-07,0,0,1
Closure,148,FlexFL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Closure,148,boostnsift,39.0,0.025641,0.025641,0.02564102564102564,0.00641025641025641,0.02564102564102564,2.564102563953896e-08,0.01923074358974359,2.564102563953896e-08,0,0,0
Closure,148,buglocator,59.0,0.016949,0.016949,0.01694915254237288,0.00423728813559322,0.01694915254237288,1.5254237288250816e-07,0.01271171186440678,1.5254237288250816e-07,0,0,0
Closure,148,locus,136.0,0.007353,0.007353,0.007352941176470588,0.001838235294117647,0.007352941176470588,5.882352941202762e-08,0.005514764705882353,5.882352941202762e-08,0,0,0
Closure,149,FlexFL,5.0,0.2,0.05,0.2,0.30000000000000004,0.2,0.15000000000000002,0.25000000000000006,0.15000000000000002,0,1,1
Closure,149,boostnsift,12.0,0.083333,0.083333,0.08333333333333333,0.027777777777777776,0.08333333333333333,3.3333333332441484e-07,0.05555522222222223,3.3333333332441484e-07,0,0,0
Closure,149,buglocator,8.0,0.125,0.125,0.125,0.041666666666666664,0.125,0.0,0.08333333333333334,0.0,0,0,1
Closure,149,locus,6.0,0.166667,0.166667,0.16666666666666666,0.05555555555555555,0.16666666666666666,3.333333333521704e-07,0.11111144444444446,3.333333333521704e-07,0,0,1
Closure,150,FlexFL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Closure,150,boostnsift,94.0,0.010638,0.010638,0.010638297872340425,0.010638297872340425,0.010638297872340425,2.978723404253869e-07,2.978723404253869e-07,2.978723404253869e-07,0,0,0
Closure,150,buglocator,6.0,0.166667,0.166667,0.16666666666666666,0.16666666666666666,0.16666666666666666,3.333333333521704e-07,3.333333333521704e-07,3.333333333521704e-07,0,0,1
Closure,150,locus,11.0,0.090909,0.090909,0.09090909090909091,0.09090909090909091,0.09090909090909091,9.090909090792021e-08,9.090909090792021e-08,9.090909090792021e-08,0,0,0
Closure,151,FlexFL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
Closure,151,boostnsift,27.0,0.037037,0.037037,0.037037037037037035,0.037037037037037035,0.037037037037037035,3.7037037034504117e-08,3.7037037034504117e-08,3.7037037034504117e-08,0,0,0
Closure,151,buglocator,12.0,0.083333,0.083333,0.08333333333333333,0.08333333333333333,0.08333333333333333,3.3333333332441484e-07,3.3333333332441484e-07,3.3333333332441484e-07,0,0,0
Closure,151,locus,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Closure,152,FlexFL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
Closure,152,boostnsift,49.0,0.020408,0.020408,0.02040816326530612,0.02040816326530612,0.02040816326530612,1.632653061217626e-07,1.632653061217626e-07,1.632653061217626e-07,0,0,0
Closure,152,buglocator,24.0,0.041667,0.041667,0.041666666666666664,0.041666666666666664,0.041666666666666664,3.333333333382926e-07,3.333333333382926e-07,3.333333333382926e-07,0,0,0
Closure,152,locus,15.0,0.066667,0.066667,0.06666666666666667,0.06666666666666667,0.06666666666666667,3.333333333382926e-07,3.333333333382926e-07,3.333333333382926e-07,0,0,0
Closure,153,FlexFL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Closure,153,boostnsift,88.0,0.011364,0.011364,0.011363636363636364,0.003787878787878788,0.011363636363636364,3.63636363636885e-07,0.007576121212121213,3.63636363636885e-07,0,0,0
Closure,153,buglocator,302.0,0.003311,0.003311,0.0033112582781456954,0.0011037527593818985,0.0033112582781456954,2.5827814569522045e-07,0.0022072472406181017,2.5827814569522045e-07,0,0,0
Closure,153,locus,23.0,0.043478,0.043478,0.043478260869565216,0.014492753623188404,0.043478260869565216,2.608695652134285e-07,0.0289852463768116,2.608695652134285e-07,0,0,0
Closure,154,FlexFL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
Closure,154,boostnsift,8.0,0.125,0.125,0.125,0.0625,0.125,0.0,0.0625,0.0,0,0,1
