feature,unloc_mean,local_mean,unloc_median,local_median,p_value,significant
ambiguity_type_count,0.5475520684695988,-0.08922505851106277,0.1722959883042973,-0.6117211791839219,5.004102214200194e-10,True
repair_difficulty,0.538021088766049,-0.08767196014711381,0.0684006013983548,0.0684006013983548,3.1714855983001972e-09,True
reasoning_composite,-0.5234424399964787,0.08529633075151498,-0.31697461235302,0.2081718188270818,6.7536502062789574e-09,True
clarity,-0.5414005923785379,0.0882226592037452,-0.2346268238579989,0.2638805499878769,4.897539774691909e-08,True
actionability,-0.5263670801725252,0.08577290860750074,-0.6691051638247543,0.3430376111637781,1.0091970334550825e-07,True
txt_description_avg_sentence_len,-0.34348146702788523,0.0559712139864382,-0.950688159812256,-0.06863981389562465,5.576522759470881e-07,True
embedding_cluster_distance,-0.5884072533389476,0.09588251899812959,-0.3560082488758912,0.1288959031368986,8.540436279381215e-07,True
expected_observed_alignment,-0.5106817383990259,0.08321694065833704,-0.2663462570628048,0.7027131095927159,1.4107762725126587e-06,True
technical_completeness,-0.5002595442046748,0.08151861653474504,-0.375467746355658,0.4209308180989765,2.6225057808933083e-05,True
txt_title_avg_sentence_len,-0.2812242578173108,0.04582623699808578,-0.70287777031615,-0.70287777031615,3.844780162412889e-05,True
txt_description_line_count,-0.17139323066693654,0.027928980484723608,-0.5967488977391603,-0.37517273572013965,6.618535456081012e-05,True
semantic_coherence,0.5197874452566059,-0.08470073968666161,-0.052551397007253,-0.22868706867740285,7.950544624714144e-05,True
txt_title_word_count,-0.2570041343228408,0.04187950378241286,-0.7977119766339881,-0.7977119766339881,8.746570084015562e-05,True
txt_root_cause_guess_word_count,-0.22270581722312405,0.03629050224945047,-0.7852791305179321,-0.0344683587822757,0.0004082467838217791,True
txt_description_uniq_word_ratio,0.35019821429809456,-0.05706572572824124,0.570089064265948,-0.1099019499635458,0.0004188845520725318,True
description_length,-0.2090878828564186,0.03407142380807935,-0.5376062559055498,-0.10053618016294925,0.0005885858600395715,True
ari,36.88155339805825,28.718361581920906,28.2,23.35,0.0007244666266615321,True
coleman_liau,36.58572815533981,28.7240395480226,28.28,24.085,0.0008527025137066662,True
flesch,-14.07184466019418,8.30752824858757,8.84,21.240000000000002,0.0013902460415722866,True
txt_title_digit_density,-0.24680168504147298,0.04021698767388901,-0.6450552541976357,-0.6450552541976357,0.001673873832870246,True
concept_network_concept_breadth,-0.3667716006316324,0.05976640288844142,-0.263097163757085,0.410786675927473,0.0021601811625243847,True
embedding_cluster_size,0.23488176640600725,-0.038274605389279744,0.1845320580379615,-0.3447299154714549,0.005410247091437637,True
kincaid,18.22912621359223,15.494632768361583,14.9,14.1,0.012446460564264912,True
num_exception_types,-0.12954274644692998,0.02110933333466686,-0.5251530779927517,-0.5251530779927517,0.0498048368252925,True
num_versions,-0.10004131853294546,0.016301997588237662,-0.3124943305803233,-0.1809757993128989,0.08374848633758401,False
fog,11.064563106796115,11.505197740112994,10.49,11.27,0.08802167857365212,False
txt_likely_impacted_code_concepts_digit_density,-0.12507248130185947,0.020380891799885163,-0.1486940122073022,-0.1486940122073022,0.19108871544133343,False
txt_reasoning_digit_density,-0.00782739058578265,0.00127549400910394,-0.2000607604811334,-0.2000607604811334,0.238419806658818,False
num_EB,0.20483745100861125,-0.033378804690818345,-0.673136533919824,-0.673136533919824,0.24489890448912222,False
txt_reasoning_word_count,-0.08997134427059701,0.014661068634623858,-0.2105785171388357,-0.0520275146041847,0.26034089298134766,False
num_causal_markers,0.02771966002513445,-0.004516991953956393,-0.4554019288379759,-0.1531279935599871,0.30749449715742594,False
stacktrace_depth,-0.016841084670871476,0.0027442993126629107,-0.2020454871191189,-0.2020454871191189,0.4392242298866118,False
txt_root_cause_guess_digit_density,-0.051189597354567906,0.008103223096796827,-0.1710687069843892,-0.1710687069843892,0.44800033958577035,False
lix,51.932038834951456,52.20877118644067,50.13,51.620000000000005,0.4777534566270517,False
num_env_mentions,0.0936878910218035,-0.015266689762605897,-0.2192296649910203,-0.2192296649910203,0.5229563318685538,False
semantic_entropy,-0.19088579083617377,0.031105344746285138,0.3721681464394769,0.3232106992546985,0.5277576417596905,False
num_OB,0.06640251385190951,-0.0108204653491273,-0.0777818550633016,-0.2886514946017978,0.5562256153571314,False
smog,12.15728155339806,12.246892655367231,11.9,12.149999999999999,0.5732439599974384,False
num_temporal_markers,-0.019489940005115277,0.0031759372988836554,-0.4635308650875505,-0.4635308650875505,0.5821829805677147,False
txt_reasoning_avg_sentence_len,0.04832550237977554,-0.007874768493640199,-0.0140365238068689,-0.0140365238068689,0.7280712037338781,False
exception_user_frames,-0.019841034264774883,0.003233149037574743,-0.2073567129463963,-0.2073567129463963,0.8996154355165089,False
ambiguity,-0.000939261199059453,0.00015305509789696403,-0.5855868655187282,-0.5855868655187282,0.9479145998799148,False
embedding_pos_neg_ratio,-0.01569396764453726,0.0025573735576741316,0.0619124374841446,-0.1064125837329401,0.9884415892390853,False
