project,bug_id,tool,detected,rank,duration_seconds,execution_timestamp,comparison_timestamp,cpu_avg_percent,cpu_max_percent,memory_avg_bytes,memory_max_bytes,memory_limit_bytes,network_rx_total_bytes,network_tx_total_bytes,disk_read_total_bytes,disk_write_total_bytes,top@1,top@5,top@10
JacksonDatabind,111,boostnsift,Yes,73,31.95237398147583,2025-11-18T16:58:35.217601,2025-12-07T16:19:41.151155,93.52,392.64,383963365.0,926207180,134861973094,806,0,0,0,0,0,0
JacksonDatabind,111,buglocator,Yes,46,16.970735788345337,2025-11-18T16:58:25.451377,2025-12-02T15:34:22.233332,367.505,617.07,396728729.0,460115148,134861973094,586,0,0,0,0,0,0
JacksonDatabind,111,locus,No,N/A,97.49791646003723,2025-11-22T10:57:17.133533,2025-12-07T16:19:41.151155,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
JacksonDatabind,112,boostnsift,No,N/A,30.294427633285522,2025-11-18T16:58:56.080779,2025-12-07T16:19:41.151155,79.6925,198.43,587186831.0,986080870,134861973094,806,0,0,0,0,0,0
JacksonDatabind,112,buglocator,Yes,1,15.311333894729614,2025-11-18T16:58:50.532314,2025-12-02T15:34:22.233332,79.30499999999999,100.24,502650633.5,936168652,134861973094,516,0,0,0,1,1,1
JacksonDatabind,112,locus,No,N/A,87.59996795654297,2025-11-22T10:58:16.993538,2025-12-07T16:19:41.151155,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
JacksonXml,1,boostnsift,Yes,65,10.222277879714966,2025-11-18T17:34:49.307545,2025-12-07T16:19:41.239210,0.06,0.12,11696865.0,23393730,134861973094,376,0,0,0,0,0,0
JacksonXml,1,buglocator,Yes,10,7.22846531867981,2025-11-18T17:34:46.766513,2025-12-02T15:34:22.366289,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
JacksonXml,1,locus,No,N/A,13.55917239189148,2025-11-22T11:41:26.182674,2025-12-07T16:19:41.239210,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
JacksonXml,2,boostnsift,Yes,39,10.456786155700684,2025-11-18T17:34:57.574061,2025-12-07T16:19:41.239210,51.565000000000005,102.04,175117434.0,327470284,134861973094,736,0,0,N/A,0,0,0
JacksonXml,2,buglocator,Yes,9,5.350512504577637,2025-11-18T17:34:54.661182,2025-12-02T15:34:22.366289,505.08,505.08,282800947.0,282800947,134861973094,266,0,0,0,0,0,1
JacksonXml,2,locus,No,N/A,12.589030504226685,2025-11-22T11:41:25.215171,2025-12-07T16:19:41.239210,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
JacksonXml,3,boostnsift,Yes,24,10.141040325164795,2025-11-18T17:35:05.137146,2025-12-07T16:19:41.239210,1.0,2.0,11481907.0,22963814,134861973094,486,0,0,0,0,0,0
JacksonXml,3,buglocator,Yes,1,5.553895711898804,2025-11-18T17:35:03.131269,2025-12-02T15:34:22.366289,455.42,455.42,293391564.0,293391564,134861973094,266,0,0,0,1,1,1
JacksonXml,3,locus,No,N/A,12.250684976577759,2025-11-22T11:41:37.471844,2025-12-07T16:19:41.239210,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
JacksonXml,4,boostnsift,No,N/A,10.174134016036987,2025-11-18T17:35:13.681108,2025-12-07T16:19:41.239210,1.165,2.33,11392778.0,22785556,134861973094,486,0,0,0,0,0,0
JacksonXml,4,buglocator,Yes,1,5.9921393394470215,2025-11-18T17:35:11.132722,2025-12-02T15:34:22.366289,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1
JacksonXml,4,locus,No,N/A,13.471115350723267,2025-11-22T11:41:39.660144,2025-12-07T16:19:41.239210,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
JacksonXml,5,boostnsift,No,N/A,42.42857503890991,2025-11-18T17:35:53.927723,2025-12-07T16:19:41.239210,52.505,83.53,175557836.5,318976819,134861973094,696,0,0,0,0,0,0
JacksonXml,5,buglocator,Yes,47,38.224639654159546,2025-11-18T17:35:51.908895,2025-12-02T15:34:22.366289,14.755,29.51,19980615.5,39961231,134861973094,486,0,0,0,0,0,0
JacksonXml,5,locus,No,N/A,17.31540012359619,2025-11-22T11:41:54.798522,2025-12-07T16:19:41.239210,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
JacksonXml,6,boostnsift,Yes,79,41.947805643081665,2025-11-18T17:36:35.333066,2025-12-07T16:19:41.239210,116.34333333333332,308.58,197548222.66666666,314887372,134861973094,806,0,0,0,0,0,0
JacksonXml,6,buglocator,Yes,1,35.28743529319763,2025-11-18T17:36:29.218578,2025-12-02T15:34:22.366289,2.04,2.04,40317747.0,40317747,134861973094,626,0,0,0,1,1,1
JacksonXml,6,locus,No,N/A,17.095025777816772,2025-11-22T11:41:56.765551,2025-12-07T16:19:41.239210,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Jsoup,1,boostnsift,No,N/A,5.733569145202637,2025-11-18T17:36:41.423487,2025-12-07T16:19:43.253541,13.32,13.32,30974935.0,30974935,134861973094,646,0,0,N/A,0,0,0
Jsoup,1,buglocator,Yes,4,6.259959697723389,2025-11-18T17:36:42.351658,2025-12-02T15:34:25.387814,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1
Jsoup,1,locus,Yes,4,8.839171886444092,2025-11-22T11:42:06.070717,2025-12-07T16:19:43.253541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1
Jsoup,2,boostnsift,No,N/A,9.287810325622559,2025-11-18T17:37:58.843088,2025-12-07T16:19:43.253541,0.35,0.7,11843665.5,23687331,134861973094,486,0,0,0,0,0,0
Jsoup,2,buglocator,Yes,6,6.5618486404418945,2025-11-18T17:37:56.963151,2025-12-02T15:34:25.387814,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
Jsoup,2,locus,Yes,3,5.074609041213989,2025-11-22T11:42:49.027500,2025-12-07T16:19:43.253541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1
Jsoup,3,boostnsift,Yes,5,5.667268514633179,2025-11-18T17:39:21.089547,2025-12-07T16:19:43.253541,1.83,1.83,22817013.0,22817013,134861973094,486,0,0,N/A,0,1,1
