tool,feature,unique_n,others_n,unique_median,others_median,unique_mean,others_mean,median_diff,u_statistic,p_value,cliffs_delta,effect_size,pval_adj,reject,significant,abs_delta,practically_significant
boostnsift,summary_chars,23,344,12.0,67.0,24.869565217391305,61.07848837209303,-55.0,1826.5,9.684411996997844e-06,-0.5382962588473206,large,0.0007166464877778404,True,True,0.5382962588473206,True
boostnsift,expected_observed_alignment,23,344,3.0,5.0,2.6956521739130435,4.520348837209302,-2.0,1894.5,1.258742948020187e-07,-0.5211071789686552,large,9.566446404953421e-06,True,True,0.5211071789686552,True
boostnsift,causal_reasoning_quality,23,344,3.0,5.0,2.4782608695652173,4.255813953488372,-2.0,1938.0,5.3938963914903815e-06,-0.5101112234580384,large,0.0004045422293617786,True,True,0.5101112234580384,True
boostnsift,flesch_reading_ease,20,344,3.275,31.685000000000002,-2.0244999999999993,17.378895348837208,-28.410000000000004,1974.0,0.0013572335730621628,-0.42616279069767443,medium,0.09364911654128924,False,False,0.42616279069767443,False
boostnsift,coleman_liau_index,20,344,28.125,20.7,31.247000000000003,25.11973837209302,7.425000000000001,4887.0,0.0015665630966860936,0.4206395348837209,medium,0.10652629057465436,False,False,0.4206395348837209,False
boostnsift,repair_difficulty,23,344,3.0,2.0,3.3043478260869565,2.238372093023256,1.0,5618.0,0.000395879178715353,0.4201213346814965,medium,0.028503300867505414,True,True,0.4201213346814965,True
boostnsift,actionability,23,344,3.0,5.0,2.6956521739130435,4.276162790697675,-2.0,2308.0,0.00020475589947280555,-0.416582406471183,medium,0.014947180661514806,True,True,0.416582406471183,True
boostnsift,automated_readability_index,20,344,29.8,20.6,30.895,24.656104651162792,9.2,4826.0,0.0024554488685225775,0.4029069767441861,medium,0.1645150741910127,False,False,0.4029069767441861,False
boostnsift,specificity,23,344,3.0,5.0,2.6956521739130435,4.151162790697675,-2.0,2446.5,0.000913099978996033,-0.38157229524772496,medium,0.06391699852972231,False,False,0.38157229524772496,False
boostnsift,clarity,23,344,4.0,5.0,2.9130434782608696,4.409883720930233,-1.0,2449.0,0.00042416147214265873,-0.3809403437815976,medium,0.03011546452212877,True,True,0.3809403437815976,True
boostnsift,technical_depth,23,344,3.0,4.0,2.4347826086956523,3.6424418604651163,-1.0,2579.0,0.0034082863762240874,-0.3480788675429727,medium,0.22494690083078978,False,False,0.3480788675429727,False
boostnsift,description_length,23,344,829.0,1485.5,1145.2173913043478,1759.4302325581396,-656.5,2586.5,0.005442694050635695,-0.3461830131445905,medium,0.35377511329132016,False,False,0.3461830131445905,False
boostnsift,embedding_cluster_distance,23,344,0.5157047192466343,0.5611061385697019,0.46723217510549236,0.5582104445621052,-0.04540141932306763,2760.0,0.015223346146304502,-0.3023255813953488,small,0.9742941533634881,False,False,0.3023255813953488,False
boostnsift,completeness_score,23,344,2.0,2.0,1.7826086956521738,2.311046511627907,0.0,2821.0,0.015231845865015544,-0.28690596562184023,small,0.9742941533634881,False,False,0.28690596562184023,False
boostnsift,num_causal_markers,23,344,1.0,2.0,1.6521739130434783,2.4825581395348837,-1.0,2877.0,0.0259606387787095,-0.27275025278058646,small,1.0,False,False,0.27275025278058646,False
boostnsift,causal_density,23,344,0.0476190476190476,0.25,0.22938741634393808,0.31442777338752564,-0.20238095238095238,2906.0,0.03232766192885835,-0.2654196157735086,small,1.0,False,False,0.2654196157735086,False
boostnsift,embedding_cluster,23,344,3.0,6.0,3.4782608695652173,4.982558139534884,-3.0,2918.5,0.03367805912768169,-0.2622598584428716,small,1.0,False,False,0.2622598584428716,False
boostnsift,semantic_spread_pc2,23,344,0.3315455615520477,0.36242906749248505,0.268029510974885,0.35145998421276736,-0.030883505940437372,2990.5,0.050103400326321726,-0.24405965621840242,small,1.0,False,False,0.24405965621840242,False
boostnsift,num_EB,23,344,0.0,0.0,0.391304347826087,0.7412790697674418,0.0,3113.5,0.05978976898313322,-0.21296764408493427,small,1.0,False,False,0.21296764408493427,False
boostnsift,n_words,23,344,84.0,119.0,123.8695652173913,141.60174418604652,-35.0,3120.0,0.08983761697593885,-0.21132457027300303,small,1.0,False,False,0.21132457027300303,False
boostnsift,semantic_coherence,23,344,0.3135163486003876,0.266408309340477,0.3850047121877256,0.2830356869976534,0.047108039259910583,4751.0,0.10675739359606935,0.20096056622851366,small,1.0,False,False,0.20096056622851366,False
boostnsift,embedding_max,23,344,0.1598518341779709,0.14866444468498224,0.1575666873351387,0.15106467616765995,0.011187389492988642,4704.0,0.1291346997542719,0.1890798786653185,small,1.0,False,False,0.1890798786653185,False
boostnsift,semantic_entropy,23,344,1.3483881950378418,1.6467077732086182,1.1830843091011405,1.5244203196015516,-0.29831957817077637,3222.0,0.13646035941650161,-0.18554095045500504,small,1.0,False,False,0.18554095045500504,False
boostnsift,smog_index,20,344,12.5,12.0,13.25,12.11656976744186,0.5,4071.0,0.16800180241846718,0.18343023255813953,small,1.0,False,False,0.18343023255813953,False
boostnsift,num_versions,23,344,1.0,2.0,1.7391304347826086,3.48546511627907,-1.0,3253.0,0.14592441730898142,-0.17770475227502527,small,1.0,False,False,0.17770475227502527,False
boostnsift,embedding_cluster_separation,23,344,0.7573284903011803,0.7068384002250204,0.7524393875844125,0.7079573154759915,0.0504900900761599,4647.0,0.16097333707629702,0.17467138523761375,small,1.0,False,False,0.17467138523761375,False
boostnsift,num_modal_verbs,23,344,0.0,1.0,0.9130434782608695,1.0959302325581395,-1.0,3265.5,0.1290154077502817,-0.17454499494438827,small,1.0,False,False,0.17454499494438827,False
boostnsift,num_semantic_sentences,23,344,5.0,7.0,8.434782608695652,9.218023255813954,-2.0,3268.5,0.16181288602935362,-0.1737866531850354,small,1.0,False,False,0.1737866531850354,False
boostnsift,n_sentences,23,344,5.0,7.0,8.434782608695652,9.218023255813954,-2.0,3268.5,0.16181288602935362,-0.1737866531850354,small,1.0,False,False,0.1737866531850354,False
boostnsift,modal_density,23,344,0.0,0.032744282744282704,0.10296366383322905,0.15397243806307187,-0.032744282744282704,3343.5,0.1822136050757014,-0.15482810920121334,small,1.0,False,False,0.15482810920121334,False
boostnsift,embedding_norm,23,344,1.0,1.0,1.0000000129575315,0.999999997227691,0.0,4504.5,0.033097729049560515,0.13865015166835187,negligible,1.0,False,False,0.13865015166835187,False
boostnsift,num_exception_types,23,344,0.0,0.0,0.2608695652173913,0.5116279069767442,0.0,3412.5,0.18529708205071327,-0.13738624873609706,negligible,1.0,False,False,0.13738624873609706,False
boostnsift,n_tokens,23,344,192.0,199.0,209.34782608695653,248.16860465116278,-7.0,3425.0,0.28147692876820685,-0.13422649140546006,negligible,1.0,False,False,0.13422649140546006,False
boostnsift,embedding_min,23,344,-0.1555699557065963,-0.15105234831571576,-0.158795667083367,-0.15331339712666214,-0.004517607390880529,3430.0,0.28604686078620745,-0.13296258847320525,negligible,1.0,False,False,0.13296258847320525,False
boostnsift,embedding_sparsity,23,344,0.1666666666666666,0.1614583333333333,0.16496829710144922,0.1618368459302325,0.005208333333333315,4451.0,0.314890714942861,0.12512639029322548,negligible,1.0,False,False,0.12512639029322548,False
boostnsift,embedding_mean,23,344,-0.0001631184277357,-7.095275213941932e-05,-0.00019493764161976145,-9.012069325455941e-05,-9.216567559628067e-05,3526.0,0.3832404073464123,-0.10869565217391304,negligible,1.0,False,False,0.10869565217391304,False
boostnsift,description_chars,23,344,1593.0,1566.5,1631.6521739130435,1875.828488372093,26.5,3574.5,0.439237761586349,-0.09643579373104146,negligible,1.0,False,False,0.09643579373104146,False
boostnsift,exception_avg_frame_package_depth,23,344,0.0,0.0,0.2608695652173913,0.5868252726987155,0.0,3588.0,0.21085632873797622,-0.09302325581395349,negligible,1.0,False,False,0.09302325581395349,False
boostnsift,num_OB,23,344,3.0,4.0,6.0,4.933139534883721,-1.0,3591.5,0.45606496548740283,-0.09213852376137513,negligible,1.0,False,False,0.09213852376137513,False
boostnsift,stacktrace_depth,23,344,0.0,0.0,0.13043478260869565,1.619186046511628,0.0,3607.5,0.2149530546049535,-0.08809403437815976,negligible,1.0,False,False,0.08809403437815976,False
boostnsift,exception_user_frames,23,344,0.0,0.0,0.043478260869565216,1.058139534883721,0.0,3629.5,0.23599127542853138,-0.08253286147623863,negligible,1.0,False,False,0.08253286147623863,False
boostnsift,gunning_fog,20,344,12.035,11.344999999999999,12.172,11.486947674418605,0.6900000000000013,3713.0,0.5513836476094245,0.07936046511627907,negligible,1.0,False,False,0.07936046511627907,False
