feature,all_n,none_n,all_median,none_median,all_mean,none_mean,median_diff,u_statistic,p_value,cliffs_delta,effect_size,pval_adj,reject,significant,abs_delta,practically_significant
exception_user_frame_ratio,237,172,0.0,0.0,0.042955930614158463,0.060216940488180486,0.0,19958.5,0.3965775229673226,-0.020778137572367777,negligible,1.0,False,False,0.020778137572367777,False
exception_user_frames,237,172,0.0,0.0,0.21518987341772153,0.4476744186046512,0.0,19959.0,0.3971534292109934,-0.02075360612304975,negligible,1.0,False,False,0.02075360612304975,False
exc_cat_type_error,237,172,0.0,0.0,0.0,0.040697674418604654,0.0,20026.5,0.04182330236085372,-0.01744186046511628,negligible,1.0,False,False,0.01744186046511628,False
has_exc_type_error,237,172,0.0,0.0,0.0,0.01744186046511628,0.0,20026.5,0.04182165895223044,-0.01744186046511628,negligible,1.0,False,False,0.01744186046511628,False
has_exc_null_pointer,237,172,0.0,0.0,0.03375527426160337,0.01744186046511628,0.0,20714.5,0.3153917923660474,0.016313413796487097,negligible,1.0,False,False,0.016313413796487097,False
exc_cat_null_pointer,237,172,0.0,0.0,0.06329113924050633,0.03488372093023256,0.0,20713.0,0.3176359153803493,0.01623981944853302,negligible,1.0,False,False,0.01623981944853302,False
embedding_mean,237,172,-6.031229349900968e-05,-9.995931759476662e-05,-0.00010170114369103339,-0.00010415983325033694,3.964702409575694e-05,20710.0,0.7813827956847805,0.016092630752624865,negligible,1.0,False,False,0.016092630752624865,False
has_exc_arithmetic,237,172,0.0,0.0,0.02109704641350211,0.005813953488372093,0.0,20693.5,0.2057007376250246,0.015283092925130016,negligible,1.0,False,False,0.015283092925130016,False
exc_cat_arithmetic,237,172,0.0,0.0,0.03375527426160337,0.011627906976744186,0.0,20692.0,0.20790733170043618,0.015209498577175939,negligible,1.0,False,False,0.015209498577175939,False
description_chars,237,172,1512.0,1630.5,1741.7721518987341,2067.0058139534885,-118.5,20090.5,0.8052267941990068,-0.014301834952408988,negligible,1.0,False,False,0.014301834952408988,False
exception_avg_frame_package_depth,237,172,0.0,0.0,0.34040327932733,0.2642878849087434,0.0,20652.5,0.6071280902100287,0.013271514081051908,negligible,1.0,False,False,0.013271514081051908,False
num_modal_verbs,237,172,0.0,0.0,1.0,1.3546511627906976,0.0,20184.0,0.855118618969729,-0.00971445392993818,negligible,1.0,False,False,0.00971445392993818,False
has_exc_concurrency,237,172,0.0,0.0,0.008438818565400843,0.0,0.0,20554.0,0.2290749686468475,0.008438818565400843,negligible,1.0,False,False,0.008438818565400843,False
exc_cat_concurrency,237,172,0.0,0.0,0.016877637130801686,0.0,0.0,20554.0,0.22907636707657453,0.008438818565400843,negligible,1.0,False,False,0.008438818565400843,False
has_exc_assertion,237,172,0.0,0.0,0.0,0.005813953488372093,0.0,20263.5,0.24244799279752127,-0.005813953488372093,negligible,1.0,False,False,0.005813953488372093,False
exc_cat_assertion,237,172,0.0,0.0,0.0,0.005813953488372093,0.0,20263.5,0.24244799279752127,-0.005813953488372093,negligible,1.0,False,False,0.005813953488372093,False
exception_library_frames,237,172,0.0,0.0,0.2911392405063291,1.377906976744186,0.0,20266.5,0.8071735426157824,-0.005666764792463939,negligible,1.0,False,False,0.005666764792463939,False
num_caused_by,237,172,0.0,0.0,0.03375527426160337,0.040697674418604654,0.0,20303.0,0.8123719284105748,-0.003875968992248062,negligible,1.0,False,False,0.003875968992248062,False
has_exc_io_error,237,172,0.0,0.0,0.04219409282700422,0.040697674418604654,0.0,20412.5,0.9413829069478437,0.0014964184083995683,negligible,1.0,False,False,0.0014964184083995683,False
exc_cat_io_error,237,172,0.0,0.0,0.0759493670886076,0.09302325581395349,0.0,20405.0,0.9560309723801073,0.0011284466686291826,negligible,1.0,False,False,0.0011284466686291826,False
behavior_verb_count,237,172,0.0,0.0,0.0,0.0,0.0,20382.0,1.0,0.0,negligible,1.0,False,False,0.0,False
behavior_verb_density,237,172,0.0,0.0,0.0,0.0,0.0,20382.0,1.0,0.0,negligible,1.0,False,False,0.0,False
num_S2R,237,172,0.0,0.0,0.0,0.0,0.0,20382.0,1.0,0.0,negligible,1.0,False,False,0.0,False
