tool_a,tool_b,feature,n_a,n_b,median_a,median_b,mean_a,mean_b,median_diff,u_statistic,p_value,cliffs_delta,effect_size,pval_adj,reject,significant,abs_delta,practically_significant
boostnsift,buglocator,num_versions,17,11,1.0,0.0,1.9411764705882353,0.36363636363636365,1.0,139.0,0.02090076565250393,0.48663101604278075,large,1.0,False,False,0.48663101604278075,False
boostnsift,buglocator,embedding_cluster_size,17,11,115.0,115.0,108.0,137.63636363636363,0.0,56.0,0.06939263088837902,-0.40106951871657753,medium,1.0,False,False,0.40106951871657753,False
boostnsift,buglocator,num_modal_verbs,17,11,0.0,1.0,0.35294117647058826,0.9090909090909091,-1.0,65.0,0.1308925907916304,-0.3048128342245989,small,1.0,False,False,0.3048128342245989,False
boostnsift,buglocator,n_sentences,17,11,6.0,9.0,8.058823529411764,9.272727272727273,-3.0,67.5,0.228081271440135,-0.27807486631016043,small,1.0,False,False,0.27807486631016043,False
boostnsift,buglocator,num_semantic_sentences,17,11,6.0,9.0,8.058823529411764,9.272727272727273,-3.0,67.5,0.228081271440135,-0.27807486631016043,small,1.0,False,False,0.27807486631016043,False
boostnsift,buglocator,embedding_norm,17,11,1.0,1.0,1.000000017530778,0.9999999891627919,0.0,118.5,0.10764510515706681,0.26737967914438504,small,1.0,False,False,0.26737967914438504,False
boostnsift,buglocator,embedding_mean,17,11,-0.0004581704561132,5.301538112689741e-05,-0.00034108391178851736,-8.61857502472457e-05,-0.0005111858372400974,69.0,0.2589108611847064,-0.2620320855614973,small,1.0,False,False,0.2620320855614973,False
boostnsift,buglocator,embedding_max,17,11,0.1577728390693664,0.1491489112377166,0.15626878335195424,0.1497695229270241,0.008623927831649808,118.0,0.2589108611847064,0.2620320855614973,small,1.0,False,False,0.2620320855614973,False
boostnsift,buglocator,automated_readability_index,17,11,26.1,33.1,27.4,32.54545454545454,-7.0,70.0,0.27915258263641063,-0.25133689839572193,small,1.0,False,False,0.25133689839572193,False
boostnsift,buglocator,modal_density,17,11,0.0,0.1666666666666666,0.08047962267911117,0.1118457300275482,-0.1666666666666666,70.0,0.2190883357149246,-0.25133689839572193,small,1.0,False,False,0.25133689839572193,False
boostnsift,buglocator,description_length,17,11,865.0,733.0,1359.9411764705883,820.2727272727273,132.0,117.0,0.2712692516708425,0.25133689839572193,small,1.0,False,False,0.25133689839572193,False
boostnsift,buglocator,coleman_liau_index,17,11,27.85,29.59,27.17647058823529,31.650000000000002,-1.7399999999999984,71.0,0.30072105188964116,-0.24064171122994651,small,1.0,False,False,0.24064171122994651,False
boostnsift,buglocator,num_temporal_markers,17,11,0.0,0.0,0.5294117647058824,1.0909090909090908,0.0,115.0,0.1929773307893774,0.22994652406417113,small,1.0,False,False,0.22994652406417113,False
boostnsift,buglocator,temporal_density,17,11,0.0,0.0,0.07018854972819166,0.07272727272727274,0.0,115.0,0.1940335013805673,0.22994652406417113,small,1.0,False,False,0.22994652406417113,False
boostnsift,buglocator,embedding_sparsity,17,11,0.1640625,0.1692708333333333,0.15916053921568626,0.16785037878787873,-0.005208333333333287,73.0,0.34561264531588576,-0.2192513368983957,small,1.0,False,False,0.2192513368983957,False
boostnsift,buglocator,flesch_reading_ease,17,11,6.34,5.39,12.231764705882354,0.04272727272727266,0.9500000000000002,112.0,0.39714739546823563,0.19786096256684493,small,1.0,False,False,0.19786096256684493,False
boostnsift,buglocator,semantic_entropy,17,11,1.433916091918945,1.8036415576934817,1.3127503360019495,1.6280257485129617,-0.3697254657745366,75.0,0.39714739546823563,-0.19786096256684493,small,1.0,False,False,0.19786096256684493,False
boostnsift,buglocator,actionability,17,11,3.0,3.0,3.0,2.1818181818181817,0.0,112.0,0.3806202161189679,0.19786096256684493,small,1.0,False,False,0.19786096256684493,False
boostnsift,buglocator,specificity,17,11,3.0,3.0,3.0,2.1818181818181817,0.0,112.0,0.3806202161189679,0.19786096256684493,small,1.0,False,False,0.19786096256684493,False
boostnsift,buglocator,repair_difficulty,17,11,3.0,3.0,3.176470588235294,3.6363636363636362,0.0,75.0,0.36247838823649137,-0.19786096256684493,small,1.0,False,False,0.19786096256684493,False
boostnsift,buglocator,num_os_mentions,17,11,0.0,0.0,0.17647058823529413,0.0,0.0,110.0,0.1603060292250893,0.17647058823529413,small,1.0,False,False,0.17647058823529413,False
boostnsift,buglocator,semantic_spread_pc2,17,11,0.3366288244724273,0.3503910899162292,0.3015678893117356,0.3622174317186529,-0.01376226544380188,79.0,0.5101749393801144,-0.15508021390374332,small,1.0,False,False,0.15508021390374332,False
boostnsift,buglocator,completeness_score,17,11,2.0,2.0,2.1176470588235294,2.3636363636363638,0.0,79.0,0.48391212477401824,-0.15508021390374332,small,1.0,False,False,0.15508021390374332,False
boostnsift,buglocator,embedding_std,17,11,0.0510284788906574,0.0510289594531059,0.051026497693622774,0.05102765323086214,-4.805624485015869e-07,80.0,0.5408521131569634,-0.1443850267379679,negligible,1.0,False,False,0.1443850267379679,False
boostnsift,buglocator,summary_chars,17,11,12.0,12.0,33.88235294117647,26.818181818181817,0.0,106.5,0.4609370322409624,0.13903743315508021,negligible,1.0,False,False,0.13903743315508021,False
boostnsift,buglocator,num_causal_markers,17,11,1.0,2.0,1.8823529411764706,2.1818181818181817,-1.0,80.5,0.5477432713186764,-0.13903743315508021,negligible,1.0,False,False,0.13903743315508021,False
boostnsift,buglocator,embedding_cluster,17,11,2.0,2.0,3.411764705882353,2.090909090909091,0.0,106.5,0.5469395167669335,0.13903743315508021,negligible,1.0,False,False,0.13903743315508021,False
boostnsift,buglocator,num_EB,17,11,0.0,0.0,0.35294117647058826,0.5454545454545454,0.0,81.0,0.5092607306351205,-0.13368983957219252,negligible,1.0,False,False,0.13368983957219252,False
boostnsift,buglocator,technical_depth,17,11,3.0,3.0,2.7058823529411766,2.090909090909091,0.0,105.5,0.5740265751557319,0.12834224598930483,negligible,1.0,False,False,0.12834224598930483,False
boostnsift,buglocator,redundancy,17,11,0.3135163486003876,0.3285720348358154,0.3033863972215092,0.31912863796407526,-0.015055686235427801,82.0,0.6048461261693899,-0.12299465240641712,negligible,1.0,False,False,0.12299465240641712,False
boostnsift,buglocator,semantic_coherence,17,11,0.3135163486003876,0.3285720348358154,0.3033863972215092,0.31912863796407526,-0.015055686235427801,82.0,0.6048461261693899,-0.12299465240641712,negligible,1.0,False,False,0.12299465240641712,False
boostnsift,buglocator,stacktrace_depth,17,11,0.0,0.0,0.4117647058823529,0.0,0.0,104.5,0.26880863988517323,0.11764705882352941,negligible,1.0,False,False,0.11764705882352941,False
boostnsift,buglocator,exception_library_frames,17,11,0.0,0.0,0.35294117647058826,0.0,0.0,104.5,0.2684800934896586,0.11764705882352941,negligible,1.0,False,False,0.11764705882352941,False
boostnsift,buglocator,exception_user_frames,17,11,0.0,0.0,0.11764705882352941,0.0,0.0,104.5,0.2684800934896586,0.11764705882352941,negligible,1.0,False,False,0.11764705882352941,False
boostnsift,buglocator,exception_user_frame_ratio,17,11,0.0,0.0,0.07352941176470588,0.0,0.0,104.5,0.26880863988517323,0.11764705882352941,negligible,1.0,False,False,0.11764705882352941,False
boostnsift,buglocator,exception_avg_frame_package_depth,17,11,0.0,0.0,0.47058823529411764,0.0,0.0,104.5,0.26880863988517323,0.11764705882352941,negligible,1.0,False,False,0.11764705882352941,False
boostnsift,buglocator,embedding_pos_neg_ratio,17,11,0.9845360824742267,1.0263157894736843,0.9957442297581297,1.000809337604531,-0.041779706999457544,83.0,0.6371434535095677,-0.11229946524064172,negligible,1.0,False,False,0.11229946524064172,False
boostnsift,buglocator,clarity,17,11,4.0,4.0,3.176470588235294,2.4545454545454546,0.0,103.5,0.6387911262491011,0.10695187165775401,negligible,1.0,False,False,0.10695187165775401,False
boostnsift,buglocator,gunning_fog,17,11,10.86,10.77,11.523529411764706,10.764545454545454,0.08999999999999986,103.0,0.6720301298311282,0.10160427807486631,negligible,1.0,False,False,0.10160427807486631,False
boostnsift,buglocator,description_chars,17,11,1785.0,1670.0,1912.2941176470588,2039.3636363636363,115.0,85.0,0.7066767530379054,-0.09090909090909091,negligible,1.0,False,False,0.09090909090909091,False
