metric,project,mean,std,n
mrr_FlexFL,Csv,0.625,0.4048319267163706,16
mrr_FlexFL,Math,0.7919811320754716,0.35117513329361116,106
mrr_FlexFL,Closure,0.37034883720930234,0.4131638428417695,172
mrr_FlexFL,Compress,0.7730496453900709,0.341256437915761,47
mrr_FlexFL,Cli,0.6696581196581197,0.4393621072970848,39
mrr_FlexFL,Jsoup,0.5822463768115942,0.42994451432221303,92
mrr_FlexFL,Time,0.5750000000000001,0.428466256936685,26
mrr_FlexFL,JacksonDatabind,0.4766666666666667,0.4600680267033336,110
mrr_FlexFL,Lang,0.8387978142076503,0.3241330504060224,61
mrr_FlexFL,Mockito,0.2421052631578947,0.3920711318166423,38
mrr_FlexFL,JacksonCore,0.6294871794871795,0.37866161065602544,26
mrr_FlexFL,Chart,0.7541666666666667,0.3486652553918448,8
mrr_FlexFL,Collections,0.3333333333333333,0.4714045207910317,4
mrr_FlexFL,Gson,0.5833333333333334,0.4510336711920958,18
mrr_FlexFL,Codec,0.625,0.45576374168563927,18
mrr_FlexFL,JxPath,0.5166666666666667,0.4439779297627328,22
mrr_FlexFL,JacksonXml,0.5833333333333334,0.4915960401250875,6
mrr_boostnsift,Csv,0.8125,0.29107081994288303,16
mrr_boostnsift,Math,0.666061321593765,0.3938802339458384,106
mrr_boostnsift,Closure,0.1453245108796446,0.2710407960596055,174
mrr_boostnsift,Compress,0.5309892368911795,0.38997246720654,47
mrr_boostnsift,Cli,0.5491624239017984,0.4182343920667555,39
mrr_boostnsift,Jsoup,0.30723247522142205,0.37122210766973646,92
mrr_boostnsift,Time,0.42298659812622014,0.42106924912024546,26
mrr_boostnsift,JacksonDatabind,0.26239424560551683,0.3317423321690953,110
mrr_boostnsift,Lang,0.7064940363397452,0.38405750596747,61
mrr_boostnsift,Mockito,0.0809053220396512,0.16683584247025512,38
mrr_boostnsift,JacksonCore,0.38875206492853553,0.36920186292768864,26
mrr_boostnsift,Chart,0.8375,0.3113908889391045,8
mrr_boostnsift,Collections,0.03703703703703703,0.11415581486979585,28
mrr_boostnsift,Gson,0.49351851851851847,0.35941658729724885,18
mrr_boostnsift,Codec,0.70696569225981,0.3974373803727606,18
mrr_boostnsift,JxPath,0.25278618477482123,0.2977377422210048,22
mrr_boostnsift,JacksonXml,0.6305555555555556,0.4269291727189869,6
mrr_buglocator,Csv,0.7,0.3618368775096396,16
mrr_buglocator,Math,0.605997340810957,0.40456451152921513,106
mrr_buglocator,Closure,0.11057547073715554,0.22377192425954462,174
mrr_buglocator,Compress,0.5945707661133193,0.3946743383001604,47
mrr_buglocator,Cli,0.49432957393483706,0.3924934737987001,39
mrr_buglocator,Jsoup,0.32224840185805226,0.35813108376716385,92
mrr_buglocator,Time,0.5015561428649217,0.4539760778691352,26
mrr_buglocator,JacksonDatabind,0.27000360613112634,0.3626790273038049,110
mrr_buglocator,Lang,0.6423091101369791,0.36005539930513875,61
mrr_buglocator,Mockito,0.09265340475065817,0.24423794893053988,38
mrr_buglocator,JacksonCore,0.5970731882496588,0.39943907350581837,26
mrr_buglocator,Chart,0.800595238095238,0.3758022408967761,8
mrr_buglocator,Collections,0.06130952380952381,0.20861356813804674,28
mrr_buglocator,Gson,0.3683045960823738,0.3778160639402908,18
mrr_buglocator,Codec,0.6654848171152518,0.4032378352593489,18
mrr_buglocator,JxPath,0.2669760331433111,0.3041132890417325,22
mrr_buglocator,JacksonXml,0.5387312844759654,0.5062430229247782,6
mrr_locus,Csv,0.46141098484848486,0.3080090331298628,16
mrr_locus,Math,0.5573139212153283,0.37442888643839733,106
mrr_locus,Closure,0.12367347708854191,0.2317832410202118,174
mrr_locus,Compress,0.5167316528776639,0.39592610583318144,47
mrr_locus,Cli,0.5359772705926552,0.4165292200160047,39
mrr_locus,Jsoup,0.3325977533511227,0.3606964617121158,92
mrr_locus,Time,0.2708693462944317,0.3799807173579991,26
mrr_locus,JacksonDatabind,0.2487974303681493,0.3346507440940923,110
mrr_locus,Lang,0.6189617486338796,0.41294450393153526,61
mrr_locus,Mockito,0.0034446804500329917,0.009081423386831261,38
mrr_locus,JacksonCore,0.5206988767166786,0.41215021168670907,26
mrr_locus,Chart,0.5625,0.49551560448255744,8
mrr_locus,Collections,0.07565556136984708,0.21020217818455866,28
mrr_locus,Gson,0.23922216432051208,0.3641042072499892,18
mrr_locus,Codec,0.7199735449735449,0.38631716974723745,18
mrr_locus,JxPath,0.33393467396156234,0.36279429599464513,22
mrr_locus,JacksonXml,0.0,0.0,6
rank_FlexFL,Csv,1.9285714285714286,1.2066664642907565,14
rank_FlexFL,Math,1.375,0.8614553169827758,96
rank_FlexFL,Closure,2.154639175257732,1.3255518205132457,97
rank_FlexFL,Compress,1.372093023255814,0.6554989308027126,43
rank_FlexFL,Cli,1.4333333333333333,1.0063019815944514,30
rank_FlexFL,Jsoup,1.6956521739130435,1.115457540337899,69
rank_FlexFL,Time,1.8,1.1964860832322377,20
rank_FlexFL,JacksonDatabind,1.6307692307692307,1.1397536845908687,65
rank_FlexFL,Lang,1.3333333333333333,0.8521681032463467,57
rank_FlexFL,Mockito,2.0,1.4142135623730951,13
rank_FlexFL,JacksonCore,1.8695652173913044,1.1795356492391769,23
rank_FlexFL,Chart,1.875,1.4577379737113252,8
rank_FlexFL,Collections,2.0,1.4142135623730951,2
rank_FlexFL,Gson,1.5384615384615385,0.8770580193070292,13
rank_FlexFL,Codec,1.3846153846153846,0.8697184926229038,13
rank_FlexFL,JxPath,1.7333333333333334,1.162919151265879,15
rank_FlexFL,JacksonXml,1.25,0.5,4
