cluster,size,avg_summary_chars,avg_description_chars,avg_n_words,avg_has_stacktrace,avg_has_code,avg_clarity_score,boostnsift_avg_mrr,boostnsift_top5_rate,buglocator_avg_mrr,buglocator_top5_rate,locus_avg_mrr,locus_top5_rate
1,197,11.065989847715736,20.0,4.883248730964467,0.0,0.0,0.845689649486435,0.013523411584861563,0.01015228426395939,0.09843639391351089,0.1116751269035533,0.10331037415595204,0.14720812182741116
2,21,44.333333333333336,4427.333333333333,189.28571428571428,1.0,0.6190476190476191,0.8013667822711371,0.02413300146424634,0.047619047619047616,0.4354810587538924,0.8095238095238095,0.12505668934240363,0.2857142857142857
3,29,25.17241379310345,891.5862068965517,90.44827586206897,0.2413793103448276,0.13793103448275862,0.5040721338149515,0.014104783098749844,0.034482758620689655,0.30286512375870167,0.4482758620689655,0.09167403477748305,0.10344827586206896
4,399,58.3609022556391,1433.904761904762,119.80952380952381,0.3558897243107769,0.2957393483709273,0.8084260776190988,0.025192095976837584,0.02506265664160401,0.5074673849495488,0.6115288220551378,0.21201357114816838,0.2982456140350877
5,67,76.55223880597015,2250.4776119402986,164.02985074626866,0.417910447761194,0.3880597014925373,0.7939913698095837,0.014521668071136222,0.0,0.5286604756365983,0.6567164179104478,0.2286686913481005,0.3283582089552239
6,61,27.540983606557376,2517.4918032786886,169.50819672131146,0.9672131147540983,0.7704918032786885,0.7716378062399095,0.017815781239230104,0.01639344262295082,0.33536935262344597,0.47540983606557374,0.12158469945355192,0.14754098360655737
7,37,52.513513513513516,2149.5945945945946,183.05405405405406,0.5945945945945946,0.35135135135135137,0.801236543664204,0.050652692338091776,0.05405405405405406,0.4104241147893524,0.6216216216216216,0.2609018718251716,0.35135135135135137
8,13,60.61538461538461,6303.7692307692305,720.3846153846154,1.0,0.23076923076923078,0.7793990832514065,0.0073293657996134215,0.0,0.31181703221837004,0.46153846153846156,0.16940864014034748,0.15384615384615385
9,7,46.142857142857146,1959.0,178.71428571428572,0.42857142857142855,0.2857142857142857,0.7779798788457757,0.006090420038983336,0.0,0.45665374677002585,0.5714285714285714,0.26263736263736265,0.42857142857142855
10,4,62.25,3523.5,406.0,0.25,0.75,0.738972991592735,0.015625,0.0,0.2934969442322383,0.25,0.08333333333333333,0.25
