tool,feature,unique_n,others_n,unique_median,others_median,unique_mean,others_mean,median_diff,u_statistic,p_value,cliffs_delta,effect_size,pval_adj,reject,significant,abs_delta,practically_significant
BRaIn,actionability,25,306,-0.163033776330488,0.8491089986580442,-0.6286194528252129,0.5166895578529872,-1.0121427749885323,1275.0,9.294179125303979e-10,-0.6666666666666666,large,4.36826418889287e-08,True,True,0.6666666666666666,True
BRaIn,txt_title_avg_sentence_len,25,306,-0.70287777031615,0.363561074525272,-0.6303599288669333,0.44598355387330996,-1.066438844841422,1321.5,2.8150075284798554e-08,-0.6545098039215687,large,1.2667533878159349e-06,True,True,0.6545098039215687,True
BRaIn,clarity,25,306,-0.2346268238579989,0.7623879238337528,-0.6334327229346995,0.5049886915865359,-0.9970147476917517,1331.5,5.704042218432072e-10,-0.6518954248366013,large,2.7379402648473944e-08,True,True,0.6518954248366013,True
BRaIn,causal_reasoning_quality,25,306,-0.6522192995069321,0.8480647640971679,-0.6722230870216535,0.5228397873463879,-1.5002840636041,1350.5,1.955362997220645e-09,-0.6469281045751634,large,8.994669787214966e-08,True,True,0.6469281045751634,True
BRaIn,txt_title_digit_density,25,306,-0.6450552541976357,0.392236887967951,-0.5205274325898659,0.3379569444411433,-1.0372921421655867,1492.5,2.302888039150457e-07,-0.6098039215686275,large,9.67212976443192e-06,True,True,0.6098039215686275,True
BRaIn,description_length,25,306,-0.6046795619411115,0.052201402602813446,-0.4806231080822944,0.24304773536995486,-0.656880964543925,1515.0,5.152506200949391e-07,-0.6039215686274509,large,2.1125275423892506e-05,True,True,0.6039215686274509,True
BRaIn,expected_observed_alignment,25,306,-0.7508759403905653,0.7027131095927159,-0.6733511910581236,0.5158683297473704,-1.453589049983281,1517.0,1.317617928420537e-10,-0.6033986928104575,large,6.4563278492606316e-09,True,True,0.6033986928104575,True
BRaIn,repair_difficulty,25,306,0.7913689832670419,-0.6545677804703322,0.5600191010690619,-0.5435236172421353,1.445936763737374,6118.5,1.6568546272283963e-07,0.5996078431372549,large,7.124474897082104e-06,True,True,0.5996078431372549,True
BRaIn,actionability_depth_product,25,306,-0.7612597790150608,0.7931728527204958,-0.5880515714788132,0.43794653468382205,-1.5544326317355566,1568.5,5.880518895139747e-07,-0.5899346405228758,large,2.352207558055899e-05,True,True,0.5899346405228758,True
BRaIn,reasoning_composite,25,306,-0.31697461235302,0.7333182500071839,-0.6110566138138771,0.47074503441713295,-1.050292862360204,1583.0,7.39572534669569e-08,-0.5861437908496732,large,3.2541191525461037e-06,True,True,0.5861437908496732,True
BRaIn,ambiguity_type_count,25,306,0.5643045720484069,-0.6117211791839219,0.6113456020977,-0.5130784963463519,1.1760257512323289,5924.0,3.093750844411279e-17,0.5487581699346405,large,1.5778129306497521e-15,True,True,0.5487581699346405,True
BRaIn,embedding_cluster_separation,25,306,0.3225329240176027,-0.36756833193254457,0.5554943490136384,-0.37397854893668536,0.6901012559501473,5873.0,8.564458008259675e-06,0.5354248366013072,large,0.0003340138623221273,True,True,0.5354248366013072,True
