category,n,mean_repair_difficulty,median_repair_difficulty,std_repair_difficulty,min_repair_difficulty,max_repair_difficulty,n_others,median_others,mean_others,u_statistic,p_value,pval_adj,cliffs_delta,abs_delta,effect_size,significant,practically_significant
fg_cat_Other (Logic),226,1.2616183289957894,1.5143373651357288,0.7007531892821286,-2.100504544207706,1.5143373651357288,609,-0.6545677804703322,-0.46818676905262463,128806.5,1.1529010221426897e-89,1.0376109199284208e-88,0.8717250098086229,0.8717250098086229,large,True,True
fg_cat_Dependency,12,0.008153236242630896,0.0684006013983548,0.37227713326193845,-0.6545677804703322,0.7913689832670419,823,0.0684006013983548,-0.00011888072285730982,5398.5,0.5654633952176362,1.0,0.09325637910085055,0.09325637910085055,negligible,False,False
cat_Functional Issue,812,0.0016239651420105843,0.0684006013983548,1.0097691310212695,-2.100504544207706,1.5143373651357288,23,0.0684006013983548,-0.057333030230982074,9024.5,0.7761133221617467,1.0,-0.033572499464553436,0.033572499464553436,negligible,False,False
fg_cat___missing__,23,-0.057333030230982074,0.0684006013983548,0.602997314108563,-1.3775361623390192,0.7913689832670419,812,0.0684006013983548,0.0016239651420105843,9651.5,0.7761133221617467,1.0,0.033572499464553436,0.033572499464553436,negligible,False,False
cat___other__,23,-0.057333030230982074,0.0684006013983548,0.602997314108563,-1.3775361623390192,0.7913689832670419,812,0.0684006013983548,0.0016239651420105843,9651.5,0.7761133221617467,1.0,0.033572499464553436,0.033572499464553436,negligible,False,False
fg_cat_Processing,405,-0.46356131908774084,-0.6545677804703322,0.6090680856501925,-2.100504544207706,0.7913689832670419,430,0.0684006013983548,0.4366100796058955,47608.0,7.68107132494778e-32,6.144857059958224e-31,-0.45325294286534595,0.45325294286534595,medium,True,True
fg_cat_Missing case,20,-0.4738256850031603,-0.6545677804703322,0.4617355947178316,-1.3775361623390192,0.0684006013983548,815,0.0684006013983548,0.011627624171856702,5954.0,0.032740901113169726,0.16370450556584865,-0.2694478527607362,0.2694478527607362,small,False,False
fg_cat_Exception handling,110,-0.503401664261425,-0.6545677804703322,0.6428901711935381,-2.100504544207706,0.7913689832670419,725,0.0684006013983548,0.07637818354311275,28454.5,5.134481666010115e-07,3.0806889996060694e-06,-0.28640752351097176,0.28640752351097176,small,True,True
fg_cat_Null pointer dereference,35,-0.8404739358079946,-0.6545677804703322,0.5359628623570659,-2.100504544207706,0.0684006013983548,800,0.0684006013983548,0.036770734691599756,6711.5,6.37280245041526e-08,4.460961715290682e-07,-0.5206071428571428,0.5206071428571428,large,True,True
