tool,feature,unique_n,others_n,unique_median,others_median,unique_mean,others_mean,median_diff,u_statistic,p_value,cliffs_delta,effect_size,pval_adj,reject,significant,abs_delta,practically_significant
BRaIn,z_hidden_reproducibility,21,237,-1.1055415967851332,-1.8738292224896536,-1.1110942978335447,-1.8037638384213361,0.7682876257045204,4111.5,7.350321632445359e-07,0.6522001205545509,large,5.218728359036205e-05,True,True,0.6522001205545509,True
BRaIn,repair_feasibility,21,237,0.5,1.0,0.35714285714285715,0.8354430379746836,-0.5,951.0,7.104056376180965e-09,-0.617842073538276,large,5.114920590850295e-07,True,True,0.617842073538276,True
BRaIn,technical_completeness,21,237,0.2,0.7,0.25396825396825395,0.5722925457102673,-0.49999999999999994,983.0,2.694120129949072e-06,-0.6049829214386176,large,0.00018320016883653688,True,True,0.6049829214386176,True
BRaIn,reasoning_composite,21,237,0.2,0.8,0.2761904761904762,0.6675105485232067,-0.6000000000000001,1016.0,2.0945140704729184e-06,-0.5917219208358449,large,0.0001466159849331043,True,True,0.5917219208358449,True
BRaIn,reasoning_quality,21,237,1.0,4.0,1.380952380952381,3.3375527426160336,-3.0,1016.0,2.0945140704729184e-06,-0.5917219208358449,large,0.0001466159849331043,True,True,0.5917219208358449,True
BRaIn,txt_description_line_count,21,237,-0.5906783179578173,0.3988261864010971,-0.08826557224476049,0.2645818461731695,-0.9895045043589145,1024.5,7.9498021909597e-06,-0.5883062085593731,large,0.0004928877358395014,True,True,0.5883062085593731,True
BRaIn,repair_difficulty,21,237,3.0,1.0,2.9523809523809526,1.2236286919831223,2.0,3908.0,6.26420746738043e-06,0.5704239501707856,large,0.0004009092779123475,True,True,0.5704239501707856,True
BRaIn,repair_readiness,21,237,2.0,4.0,2.0476190476190474,3.7763713080168775,-2.0,1069.0,6.26420746738043e-06,-0.5704239501707856,large,0.0004009092779123475,True,True,0.5704239501707856,True
BRaIn,causal_reasoning_score,21,237,0.0,0.75,0.11904761904761904,0.5864978902953587,-0.75,1070.0,4.5638122000180024e-06,-0.5700221016676713,large,0.00030121160520118817,True,True,0.5700221016676713,True
BRaIn,actionability,21,237,3.0,5.0,2.8095238095238093,4.286919831223629,-2.0,1136.0,6.1333706689695625e-06,-0.5435001004621258,large,0.00039866909348302155,True,True,0.5435001004621258,True
BRaIn,quality_composite,21,237,0.5,0.7,0.4333333333333334,0.6643459915611815,-0.19999999999999996,1176.5,5.905950252624101e-05,-0.5272252360859956,large,0.0033663916439957376,True,True,0.5272252360859956,True
BRaIn,txt_title_avg_sentence_len,21,237,-0.70287777031615,0.4702049590094141,-0.3118501938742952,0.5352262303510115,-1.1730827293255641,1180.5,5.571970094021311e-05,-0.5256178420735382,large,0.0032317426545323603,True,True,0.5256178420735382,True
BRaIn,code_vocab_jaccard,21,233,0.0476190476190476,0.0745098039215686,0.051010906211735395,0.07842258336700353,-0.026890756302520996,1168.0,7.38990121658188e-05,-0.5225832822399346,large,0.0040644456691200335,True,True,0.5225832822399346,True
BRaIn,spec_reasoning_product,21,237,4.0,10.0,4.095238095238095,10.776371308016877,-6.0,1192.0,6.835000880573436e-05,-0.5209965842877236,large,0.0038276004931211242,True,True,0.5209965842877236,True
BRaIn,txt_title_digit_density,21,237,-0.6450552541976357,0.4671225728427722,-0.3087114131789405,0.4525750821344706,-1.112177827040408,1211.0,8.346974628111081e-05,-0.5133614627285513,large,0.004507366299179984,True,True,0.5133614627285513,True
BRaIn,z_repair_readiness,21,237,-0.176776695296637,0.7249465119962123,-0.07694552204006928,0.5660721585404366,-0.9017232072928493,1212.0,9.858453744847489e-05,-0.512959614225437,large,0.005224980484769169,True,True,0.512959614225437,True
BRaIn,root_cause_evidence,21,237,0.0,3.0,0.38095238095238093,1.8059071729957805,-3.0,1234.0,1.2805140872537838e-05,-0.5041189471569218,large,0.0007683084523522702,True,True,0.5041189471569218,True
BRaIn,impact_scope,21,237,2.0,3.0,1.7142857142857142,2.7974683544303796,-1.0,1258.5,4.928221501126499e-05,-0.49427365883062085,large,0.0029076506856646343,True,True,0.49427365883062085,True
BRaIn,description_length,21,237,-0.3130564922212779,0.0463689412084168,-0.31243158564330703,0.21472589250268653,-0.3594254334296947,1283.0,0.00023627153528594215,-0.48442837050431986,large,0.012286119834868992,True,True,0.48442837050431986,True
BRaIn,p5_fix_feasible,21,237,0.0,1.0,0.2857142857142857,0.7468354430379747,-1.0,1341.0,8.603444231784827e-06,-0.46112115732368897,medium,0.0005248100981388744,True,True,0.46112115732368897,True
BRaIn,clarity,21,237,4.0,5.0,3.238095238095238,4.616033755274262,-1.0,1411.5,2.7295710521971678e-06,-0.432790837854129,medium,0.00018320016883653688,True,True,0.432790837854129,True
BRaIn,num_versions,21,237,-0.3124943305803233,-0.0494572680454745,-0.16218743770326685,0.11036271931747153,-0.26303706253484876,1441.5,0.0010966384499074917,-0.4207353827606992,medium,0.05592856094528208,False,False,0.4207353827606992,False
BRaIn,z_specificity,21,237,0.5607721540920443,0.0560772154092043,0.5553310452109236,-0.03718571925829126,0.50469493868284,3525.0,0.0015688180270952343,0.4165159734779988,medium,0.07844090135476171,False,False,0.4165159734779988,False
BRaIn,z_ambiguity,21,237,0.5188745216627707,0.0733235575106765,0.4897937828540568,-0.017082059939025243,0.4455509641520942,3457.5,0.003120277309945087,0.3893911995177818,medium,0.14977331087736417,False,False,0.3893911995177818,False
BRaIn,technical_context,21,237,2.0,3.0,1.9047619047619047,2.7130801687763713,-1.0,1574.5,0.0029007757104803906,-0.3672895318464939,medium,0.14213800981353913,False,False,0.3672895318464939,False
BRaIn,txt_description_avg_sentence_len,21,237,-0.5803659294222216,0.2833562138110053,-0.1308811768022407,0.4355770050430408,-0.8637221432332269,1588.5,0.006058853448791923,-0.3616636528028933,medium,0.2847661120932204,False,False,0.3616636528028933,False
BRaIn,z_reasoning_quality,21,237,-0.6123724356957945,0.7817359599705715,-0.26574522835259595,0.34987651999973846,-1.394108395666366,1678.0,0.01343346380712602,-0.32569821177416114,small,0.5776389437064189,False,False,0.32569821177416114,False
BRaIn,ari,21,237,27.1,19.5,31.248820861678002,21.39198312236287,7.600000000000001,3289.0,0.014647573160909028,0.32167972674301787,small,0.6151980727581792,False,False,0.32167972674301787,False
BRaIn,ambiguity,21,237,2.0,2.0,2.6666666666666665,1.9957805907172996,0.0,3287.5,0.010546240387872404,0.3210769539883464,small,0.4851270578421306,False,False,0.3210769539883464,False
BRaIn,ambiguity_count,21,237,2.0,2.0,2.6666666666666665,1.9957805907172996,0.0,3287.5,0.010546240387872404,0.3210769539883464,small,0.4851270578421306,False,False,0.3210769539883464,False
BRaIn,kincaid,21,237,14.8,12.3,15.00891556622649,12.926160337552743,2.5,3274.0,0.01660556542601863,0.315651999196303,small,0.6808281824667638,False,False,0.315651999196303,False
BRaIn,embedding_cluster_size,21,237,0.4146459595637947,-0.3447299154714549,0.21521391157473935,-0.4121134798845048,0.7593758750352495,3220.5,0.023294765671760465,0.29415310427968655,small,0.9317906268704186,False,False,0.29415310427968655,False
BRaIn,z_root_cause_evidence,21,237,-1.4184162865339505,-0.6862435664967211,-1.2106550984505493,-0.874608031284831,-0.7321727200372293,1787.5,0.03253047036838254,-0.2816958006831424,small,1.0,False,False,0.2816958006831424,False
BRaIn,buggy_vocab_size,21,233,329.0,241.0,340.6190476190476,278.27896995708153,88.0,3133.5,0.033251538947686544,0.28080931943592885,small,1.0,False,False,0.28080931943592885,False
BRaIn,coleman_liau,21,237,24.82,19.54,30.09701525054466,21.604556962025317,5.280000000000001,3181.5,0.034609156866145276,0.27848101265822783,small,1.0,False,False,0.27848101265822783,False
BRaIn,flesch,21,237,19.87,34.86,12.272296918767509,29.00493670886076,-14.989999999999998,1816.5,0.04047875416138659,-0.270042194092827,small,1.0,False,False,0.270042194092827,False
BRaIn,z_actionability,21,237,0.5863019699779287,1.0119288512538815,0.635779141229285,0.9709627802754098,-0.42562688127595283,1833.5,0.045775029367957354,-0.2632107695398835,small,1.0,False,False,0.2632107695398835,False
BRaIn,embedding_cluster_distance,21,237,0.1100865997533121,0.3992709989572418,-0.07682959462416283,0.3487643477698438,-0.2891843992039297,1952.0,0.10196660458189222,-0.21559172192083584,small,1.0,False,False,0.21559172192083584,False
BRaIn,technical_consistency,21,237,0.9,0.7,0.7714285714285714,0.70084388185654,0.20000000000000007,3024.5,0.08939718918879827,0.21539079766927868,small,1.0,False,False,0.21539079766927868,False
BRaIn,percent_agreement,21,237,0.8333333333333334,0.875,0.8382936507936507,0.8610232067510548,-0.04166666666666663,1955.5,0.10292006281066515,-0.2141852521599357,small,1.0,False,False,0.2141852521599357,False
