feature,all_n,none_n,all_median,none_median,all_mean,none_mean,median_diff,u_statistic,p_value,cliffs_delta,effect_size,pval_adj,reject,significant,abs_delta,practically_significant
embedding_norm,41,320,-0.0622098565876286,-0.0622098565876286,-0.1109389673234341,0.09387557623799847,0.0,6181.0,0.2795792690994603,-0.05777439024390244,negligible,1.0,False,False,0.05777439024390244,False
concept__reflection,41,320,0.0,0.0,0.0,0.05,0.0,6232.0,0.14419470222161498,-0.05,negligible,1.0,False,False,0.05,False
txt_root_cause_guess_avg_word_len,41,320,-0.1047853097062003,-0.2901334006840222,-0.12132410945001992,-0.09076534462096117,0.1853480909778219,6875.5,0.6051147609125707,0.04809451219512195,negligible,1.0,False,False,0.04809451219512195,False
txt_likely_impacted_code_concepts_digit_density,41,320,-0.1486940122073022,-0.1486940122073022,0.16462452838736133,-0.1217876121603213,0.0,6840.0,0.014272749866169202,0.042682926829268296,negligible,0.7850012426393062,False,False,0.042682926829268296,False
gunning_fog,41,320,-0.1402897488568527,-0.12927949075867615,-0.19415177802005884,-0.04872843089004526,-0.011010258098176545,6281.5,0.6585402646308941,-0.04245426829268293,negligible,1.0,False,False,0.04245426829268293,False
num_caused_by,41,320,-0.1602391524099254,-0.1602391524099254,-0.1602391524099254,0.07205197998987975,0.0,6293.5,0.19020930604867126,-0.040625,negligible,1.0,False,False,0.040625,False
embedding_std,41,320,0.4381751799930774,0.39115920281643884,-0.004915040377361303,0.06315198065714,0.04701597717663858,6304.5,0.6851928002457022,-0.03894817073170732,negligible,1.0,False,False,0.03894817073170732,False
txt_root_cause_guess_digit_density,41,320,-0.1710687069843892,-0.1710687069843892,0.11515592699221198,-0.10200266455101303,0.0,6780.5,0.14317728117721515,0.03361280487804878,negligible,1.0,False,False,0.03361280487804878,False
description_chars,41,320,-0.2379669125119533,-0.22598659116430053,-0.08339944420855129,0.0956627762879438,-0.011980321347652756,6770.0,0.7391070512540446,0.03201219512195122,negligible,1.0,False,False,0.03201219512195122,False
concept__serialization,41,320,0.0,0.0,0.024390243902439025,0.05625,0.0,6351.0,0.39149972584674886,-0.031859756097560976,negligible,1.0,False,False,0.031859756097560976,False
txt_likely_impacted_code_concepts_has_code_like,41,320,0.0,0.0,0.04878048780487805,0.01875,0.0,6757.0,0.22056624198099062,0.030030487804878048,negligible,1.0,False,False,0.030030487804878048,False
exception_library_frames,41,320,-0.1983965354258864,-0.1983965354258864,-0.16318507741417163,0.09936035638567683,0.0,6370.0,0.5015419367268188,-0.028963414634146343,negligible,1.0,False,False,0.028963414634146343,False
redundancy,41,320,-0.0704593389648386,0.08614293512862495,0.17941556299347752,0.00030192237312937076,-0.15660227409346356,6737.0,0.779013273560435,0.02698170731707317,negligible,1.0,False,False,0.02698170731707317,False
txt_reasoning_has_code_like,41,320,0.0,0.0,0.07317073170731707,0.053125,0.0,6691.5,0.5992182317495266,0.020045731707317074,negligible,1.0,False,False,0.020045731707317074,False
num_os_mentions,41,320,-0.3565391088761866,-0.3565391088761866,-0.10175934344048629,-0.038263448773307826,0.0,6456.0,0.762303376554345,-0.015853658536585366,negligible,1.0,False,False,0.015853658536585366,False
exception_avg_frame_package_depth,41,320,-0.3416459317228559,-0.3416459317228559,-0.07854584643551157,-0.07165595474739724,0.0,6475.5,0.7865202112917129,-0.012881097560975609,negligible,1.0,False,False,0.012881097560975609,False
num_modal_verbs,41,320,-0.0804807840834863,-0.5746091275372439,-0.09253269489943161,0.04922790607312508,0.4941283434537576,6480.0,0.8912773912164911,-0.012195121951219513,negligible,1.0,False,False,0.012195121951219513,False
concept_network_has_cross_layer_concepts,41,320,0.0,0.0,0.024390243902439025,0.0125,0.0,6638.0,0.5428136843087012,0.011890243902439025,negligible,1.0,False,False,0.011890243902439025,False
concept_network_network_concepts,41,320,-0.2193996860397714,-0.2193996860397714,-0.00662530991525441,-0.055829384394048956,0.0,6634.0,0.7268192200048262,0.011280487804878048,negligible,1.0,False,False,0.011280487804878048,False
num_negative_modals,41,320,-0.2577319414569243,-0.2577319414569243,-0.10590335873008269,-0.04374853267628191,0.0,6627.5,0.8577946266922657,0.010289634146341464,negligible,1.0,False,False,0.010289634146341464,False
concept_network_ui_concepts,41,320,-0.1397713115629224,-0.1397713115629224,0.038138818246590094,-0.02579763465370346,0.0,6617.5,0.682417951738133,0.008765243902439025,negligible,1.0,False,False,0.008765243902439025,False
embedding_min,41,320,0.1936051859724423,0.18753050237682015,0.08195210615829167,0.051960924953125834,0.00607468359562216,6604.0,0.9448697368925655,0.006707317073170732,negligible,1.0,False,False,0.006707317073170732,False
txt_title_hedge_count,41,320,-0.1305847431833189,-0.1305847431833189,-0.1305847431833189,-0.08190694829132279,0.0,6519.0,0.6165583010768743,-0.00625,negligible,1.0,False,False,0.00625,False
stacktrace_depth,41,320,-0.2020454871191189,-0.2020454871191189,-0.15957592357861267,0.01077421462275121,0.0,6590.0,0.9135304335531254,0.004573170731707317,negligible,1.0,False,False,0.004573170731707317,False
n_sentences,41,320,-0.2868038552763112,-0.2868038552763112,-0.17672601602521185,0.04962870746085406,0.0,6590.0,0.9625299227001574,0.004573170731707317,negligible,1.0,False,False,0.004573170731707317,False
txt_title_question_density,41,320,-0.0586287119753727,-0.0586287119753727,-0.05862871197537269,-0.015601878919227588,0.0,6539.5,0.7269277948565454,-0.003125,negligible,1.0,False,False,0.003125,False
txt_reasoning_exclaim_density,41,320,-0.0346271680532221,-0.0346271680532221,-0.03462716805322211,0.05572809858565453,0.0,6539.5,0.7269277948565454,-0.003125,negligible,1.0,False,False,0.003125,False
num_OB,41,320,-0.0777818550633016,-0.0777818550633016,-0.0314933976036317,0.07707553647278158,0.0,6542.0,0.9777118303567504,-0.00274390243902439,negligible,1.0,False,False,0.00274390243902439,False
concept_network_infra_concepts,41,320,-0.148431208798588,-0.148431208798588,0.01950925102095262,0.0021903911020625276,0.0,6576.5,0.9205447989772835,0.0025152439024390245,negligible,1.0,False,False,0.0025152439024390245,False
causal_reasoning_consistency,41,320,0.1694706523550018,0.1694706523550018,0.0648823340132232,0.06418196581004162,0.0,6547.0,0.9839528040430202,-0.0019817073170731708,negligible,1.0,False,False,0.0019817073170731708,False
num_S2R,41,320,0.0,0.0,0.0,0.0,0.0,6560.0,1.0,0.0,negligible,1.0,False,False,0.0,False
