tool_a,tool_b,feature,n_a,n_b,median_a,median_b,mean_a,mean_b,median_diff,u_statistic,p_value,cliffs_delta,effect_size,pval_adj,reject,significant,abs_delta,practically_significant
BRaIn,FlexFL,num_negative_modals,21,85,-0.2577319414569243,-0.2577319414569243,0.5892030098084506,-0.1426484274908645,0.0,1124.0,0.0018356876382469775,0.2593837535014006,small,0.09362006955059586,False,False,0.2593837535014006,False
BRaIn,FlexFL,quality_std,21,85,-0.6141221745332237,-0.6141221745332237,0.47609532534993754,-0.23535256668961607,0.0,1123.0,0.01341241261998443,0.2582633053221289,small,0.6706206309992215,False,False,0.2582633053221289,False
BRaIn,FlexFL,semantic_coherence,21,85,-0.3399242188617664,-0.0502588528064128,-0.09300968360527345,0.16808636894811912,-0.2896653660553536,686.5,0.10330353608024884,-0.230812324929972,small,1.0,False,False,0.230812324929972,False
BRaIn,FlexFL,redundancy,21,85,-0.1627875892084986,0.1071055567117356,-0.22500252487620118,0.08136259070750236,-0.26989314592023417,706.5,0.1414263069331144,-0.20840336134453782,small,1.0,False,False,0.20840336134453782,False
BRaIn,FlexFL,txt_reasoning_avg_sentence_len,21,85,-0.0140365238068689,-0.1307782368282674,0.1267947490443419,-0.11406814849383193,0.11674171302139849,1073.5,0.15179792861287741,0.20280112044817927,small,1.0,False,False,0.20280112044817927,False
BRaIn,FlexFL,embedding_cluster_distance,21,85,0.1100865997533121,-0.3312195578023101,-0.07682959462416283,-0.3737785810923554,0.4413061575556222,1068.0,0.16537712769829482,0.19663865546218487,small,1.0,False,False,0.19663865546218487,False
BRaIn,FlexFL,description_length,21,85,-0.3130564922212779,-1.0231586669890729,-0.31243158564330703,-0.5068571763483264,0.7101021747677949,1052.5,0.17651967754162157,0.1792717086834734,small,1.0,False,False,0.1792717086834734,False
BRaIn,FlexFL,causal_reasoning_quality,21,85,-0.1521246116388988,-1.6524086752429987,-0.4378930047063464,-0.7287043694161609,1.5002840636041,1045.0,0.1921493866717302,0.17086834733893558,small,1.0,False,False,0.17086834733893558,False
BRaIn,FlexFL,actionability_depth_product,21,85,-0.7612597790150608,-1.4274451926160137,-0.44402862968127393,-0.7142349262902878,0.6661854136009528,1042.0,0.2059422497904413,0.16750700280112044,small,1.0,False,False,0.16750700280112044,False
BRaIn,FlexFL,clarity,21,85,-0.2346268238579989,-1.7301489453956265,-0.4482728412205171,-0.7389989903373557,1.4955221215376275,1030.0,0.2402202609962536,0.15406162464985995,small,1.0,False,False,0.15406162464985995,False
BRaIn,FlexFL,repair_difficulty,21,85,0.0684006013983548,1.5143373651357288,0.412671259431063,0.7148193898927101,-1.445936763737374,756.0,0.24045951043954084,-0.15294117647058825,small,1.0,False,False,0.15294117647058825,False
BRaIn,FlexFL,technical_depth_consistency,21,85,0.2728966222079432,0.2728966222079432,0.23495644912375488,0.500984015690531,0.0,756.5,0.27453244367747853,-0.1523809523809524,small,1.0,False,False,0.1523809523809524,False
BRaIn,FlexFL,embedding_min,21,85,-0.204948085873011,0.223523753069386,-0.09982814778163569,0.18401240488305792,-0.428471838942397,762.0,0.30277519177499745,-0.146218487394958,negligible,1.0,False,False,0.146218487394958,False
BRaIn,FlexFL,txt_root_cause_guess_hedge_density,21,85,-0.5490791258336135,1.8279217594398431,0.35644502093722713,0.6860291772986729,-2.3770008852734565,764.0,0.243570567430346,-0.14397759103641455,negligible,1.0,False,False,0.14397759103641455,False
BRaIn,FlexFL,reasoning_composite,21,85,-0.31697461235302,-0.8421210435331218,-0.4670164498330491,-0.7000225974490943,0.5251464311801017,1020.5,0.2943925353116429,0.1434173669467787,negligible,1.0,False,False,0.1434173669467787,False
BRaIn,FlexFL,actionability,21,85,-0.163033776330488,-1.6812479388132866,-0.4763160638269386,-0.7524580982355744,1.5182141624827987,1016.5,0.2918728527482264,0.13893557422969188,negligible,1.0,False,False,0.13893557422969188,False
BRaIn,FlexFL,concept_network_concept_breadth,21,85,0.410786675927473,-1.610864843126201,-0.26309716375708503,-0.564362880321946,2.021651519053674,1016.5,0.2878804341106185,0.13893557422969188,negligible,1.0,False,False,0.13893557422969188,False
BRaIn,FlexFL,ambiguity_type_count,21,85,-0.6117211791839219,1.7403303232807357,0.4149679687173175,0.6980486770905145,-2.3520515024646578,770.0,0.27760251453226803,-0.13725490196078433,negligible,1.0,False,False,0.13725490196078433,False
BRaIn,FlexFL,txt_title_avg_word_len,21,85,-0.3969089280843758,-0.3969089280843758,-0.3101463168258586,-0.40267129155710085,0.0,1014.0,0.16814309675485117,0.1361344537815126,negligible,1.0,False,False,0.1361344537815126,False
BRaIn,FlexFL,embedding_cluster,21,85,2.0,1.0,3.5238095238095237,3.023529411764706,1.0,1006.5,0.34357508655264657,0.12773109243697478,negligible,1.0,False,False,0.12773109243697478,False
BRaIn,FlexFL,embedding_cluster_size,21,85,0.4146459595637947,0.4146459595637947,0.21521391157473935,0.45417140617882024,0.0,789.5,0.3916916066634475,-0.115406162464986,negligible,1.0,False,False,0.115406162464986,False
BRaIn,FlexFL,txt_reasoning_hedge_density,21,85,-0.3595077050751572,-0.3595077050751572,-0.011211159191134766,0.3687787589545445,0.0,795.0,0.29403317505240567,-0.1092436974789916,negligible,1.0,False,False,0.1092436974789916,False
BRaIn,FlexFL,semantic_spread_pc1,21,85,0.1933742519460241,0.0083161552694027,0.08064295796118816,-0.06545893527953066,0.18505809667662138,988.5,0.44901989869369163,0.10756302521008404,negligible,1.0,False,False,0.10756302521008404,False
BRaIn,FlexFL,clarity_specificity_gap,21,85,-0.4497603897317977,-0.4497603897317977,-0.045617343806534254,-0.22510440243804825,0.0,977.0,0.2956230347182809,0.09467787114845938,negligible,1.0,False,False,0.09467787114845938,False
BRaIn,FlexFL,gunning_fog,21,85,0.0075622884615211,-0.1591644770251558,-0.00523117319513201,-0.051490287612998856,0.1667267654866769,974.0,0.5208174523805986,0.09131652661064425,negligible,1.0,False,False,0.09131652661064425,False
BRaIn,FlexFL,expected_observed_alignment,21,85,-0.2663462570628048,-1.719935307046086,-0.4970746776950717,-0.6767714005874961,1.4535890499832813,973.5,0.4838563459714894,0.0907563025210084,negligible,1.0,False,False,0.0907563025210084,False
BRaIn,FlexFL,embedding_cluster_separation,21,85,0.5811312233841993,0.4269547255843476,0.5657490215427549,0.32906331247938053,0.1541764977998517,971.0,0.5363774666526037,0.08795518207282914,negligible,1.0,False,False,0.08795518207282914,False
BRaIn,FlexFL,semantic_entropy,21,85,0.4628130437656807,0.3272366006137041,0.0814912927648231,-0.13796530107809335,0.13557644315197664,970.5,0.538977488533861,0.08739495798319327,negligible,1.0,False,False,0.08739495798319327,False
BRaIn,FlexFL,n_sentences,21,85,-0.1927790342493305,-0.2868038552763112,0.04452170453304932,-0.027959053860858465,0.0940248210269807,969.5,0.543236252693829,0.08627450980392157,negligible,1.0,False,False,0.08627450980392157,False
BRaIn,FlexFL,txt_title_digit_density,21,85,-0.6450552541976357,-0.6450552541976357,-0.3087114131789405,-0.38194583082253253,0.0,969.5,0.3538985042284185,0.08627450980392157,negligible,1.0,False,False,0.08627450980392157,False
BRaIn,FlexFL,completeness_score,21,85,-0.1877149484641514,-0.1877149484641514,-0.3410828368864277,-0.21297554185134987,0.0,818.0,0.5332974018433647,-0.08347338935574229,negligible,1.0,False,False,0.08347338935574229,False
BRaIn,FlexFL,exception_avg_frame_package_depth,21,85,-0.3416459317228559,-0.3416459317228559,-0.3416459317228559,-0.10852675606490565,0.0,819.0,0.17891668392251547,-0.08235294117647059,negligible,1.0,False,False,0.08235294117647059,False
BRaIn,FlexFL,txt_title_avg_sentence_len,21,85,-0.70287777031615,-0.70287777031615,-0.31185019387429525,-0.42769472721589274,0.0,964.5,0.4317963511604038,0.08067226890756303,negligible,1.0,False,False,0.08067226890756303,False
BRaIn,FlexFL,num_modal_verbs,21,85,-0.0804807840834863,-0.5746091275372439,0.2959979537860433,-0.08048078408348633,0.4941283434537576,963.5,0.5423917372603706,0.07955182072829131,negligible,1.0,False,False,0.07955182072829131,False
BRaIn,FlexFL,num_exception_types,21,85,-0.5251530779927517,-0.5251530779927517,-0.11913194824835571,-0.009267407258695595,0.0,829.0,0.512622998619428,-0.0711484593837535,negligible,1.0,False,False,0.0711484593837535,False
BRaIn,FlexFL,description_chars,21,85,-0.3351046531685978,-0.3784928439952323,-0.2672007468429054,0.00558597323797684,0.04338819082663453,830.5,0.6258981004060704,-0.06946778711484594,negligible,1.0,False,False,0.06946778711484594,False
BRaIn,FlexFL,exception_library_frames,21,85,-0.1983965354258864,-0.1983965354258864,-0.1983965354258864,0.06273785097569842,0.0,840.0,0.26185350817350594,-0.058823529411764705,negligible,1.0,False,False,0.058823529411764705,False
BRaIn,FlexFL,stacktrace_depth,21,85,-0.2020454871191189,-0.2020454871191189,-0.2020454871191189,-0.10872347886867317,0.0,850.5,0.31906760568203096,-0.047058823529411764,negligible,1.0,False,False,0.047058823529411764,False
BRaIn,FlexFL,num_EB,21,85,-0.673136533919824,-0.673136533919824,-0.21166772782536342,-0.06888385017495975,0.0,852.5,0.7199355330501027,-0.04481792717086835,negligible,1.0,False,False,0.04481792717086835,False
BRaIn,FlexFL,causal_reasoning_consistency,21,85,0.1694706523550022,0.1694706523550018,0.22781243537558604,0.1478498739414914,3.885780586188048e-16,931.0,0.7599731976090223,0.043137254901960784,negligible,1.0,False,False,0.043137254901960784,False
BRaIn,FlexFL,num_OB,21,85,-0.0777818550633016,-0.0777818550633016,0.5648684749587821,0.05122074794848432,0.0,855.5,0.7710862290246456,-0.04145658263305322,negligible,1.0,False,False,0.04145658263305322,False
BRaIn,FlexFL,exception_user_frames,21,85,-0.2073567129463963,-0.2073567129463963,-0.20735671294639632,-0.1341093325774386,0.0,861.0,0.39235266780720945,-0.03529411764705882,negligible,1.0,False,False,0.03529411764705882,False
BRaIn,FlexFL,num_env_mentions,21,85,-0.2192296649910203,-0.2192296649910203,-0.06073895480270694,0.05486603380523932,0.0,861.5,0.5972347950457899,-0.03473389355742297,negligible,1.0,False,False,0.03473389355742297,False
BRaIn,FlexFL,consistency_composite,21,85,0.1293234707131055,0.280140646754227,0.3016859576172444,0.393697108714601,-0.15081717604112152,862.0,0.8116704075716656,-0.03417366946778711,negligible,1.0,False,False,0.03417366946778711,False
BRaIn,FlexFL,num_causal_markers,21,85,-0.4554019288379759,-0.4554019288379759,-0.03797601821599139,-0.032218419448791585,0.0,921.0,0.8202445413680459,0.031932773109243695,negligible,1.0,False,False,0.031932773109243695,False
BRaIn,FlexFL,embedding_sparsity,21,85,-0.0303305876632091,0.1143896449012451,-0.0027648290795040547,0.10247150810181768,-0.1447202325644542,865.0,0.8302811732466708,-0.03081232492997199,negligible,1.0,False,False,0.03081232492997199,False
BRaIn,FlexFL,embedding_max,21,85,0.0939982929509085,0.1423711691303995,0.36180762194310045,0.2856310598524314,-0.04837287617949099,911.0,0.8865392301276067,0.02072829131652661,negligible,1.0,False,False,0.02072829131652661,False
BRaIn,FlexFL,num_temporal_markers,21,85,-0.4635308650875505,-0.4635308650875505,-0.0924395205543725,-0.056058016188374686,0.0,910.5,0.8592105785252492,0.020168067226890758,negligible,1.0,False,False,0.020168067226890758,False
BRaIn,FlexFL,txt_reasoning_avg_word_len,21,85,-0.4391317452352584,-0.4001908719618544,-0.3623870649694071,-0.29366382894961307,-0.03894087327340401,876.0,0.8990786079242589,-0.018487394957983194,negligible,1.0,False,False,0.018487394957983194,False
BRaIn,FlexFL,semantic_spread_pc2,21,85,0.0919541249722254,0.1816972670212527,0.037694374226954264,-0.1497406833030321,-0.0897431420490273,902.5,0.9399688451562357,0.011204481792717087,negligible,1.0,False,False,0.011204481792717087,False
BRaIn,FlexFL,num_versions,21,85,-0.3124943305803233,-0.3124943305803233,-0.16218743770326685,-0.13301021732124998,0.0,883.0,0.9351056894119038,-0.010644257703081233,negligible,1.0,False,False,0.010644257703081233,False
BRaIn,boostnsift,n_sentences,21,9,-0.1927790342493305,-0.5688783183572533,0.04452170453304932,-0.4330646879849478,0.3760992841079228,132.0,0.0928283731984984,0.3968253968253968,medium,1.0,False,False,0.3968253968253968,False
BRaIn,boostnsift,redundancy,21,9,-0.1627875892084986,0.4814390642820931,-0.22500252487620118,0.4000095879526298,-0.6442266534905917,58.0,0.10326515099344512,-0.3862433862433862,medium,1.0,False,False,0.3862433862433862,False
BRaIn,boostnsift,txt_reasoning_avg_sentence_len,21,9,-0.0140365238068689,-0.5977450889138612,0.1267947490443419,-0.3253477585305982,0.5837085651069923,128.5,0.1273617615205831,0.35978835978835977,medium,1.0,False,False,0.35978835978835977,False
BRaIn,boostnsift,semantic_entropy,21,9,0.4628130437656807,-0.6275486523473311,0.0814912927648231,-0.6216872869956768,1.0903616961130118,127.0,0.14756083633300757,0.3439153439153439,medium,1.0,False,False,0.3439153439153439,False
BRaIn,boostnsift,semantic_coherence,21,9,-0.3399242188617664,0.0647865271031924,-0.09300968360527345,0.013400670214634857,-0.40471074596495876,67.0,0.22173802513948615,-0.291005291005291,small,1.0,False,False,0.291005291005291,False
BRaIn,boostnsift,completeness_score,21,9,-0.1877149484641514,-0.1877149484641514,-0.3410828368864277,0.05085732241494492,0.0,69.5,0.23913518198605366,-0.26455026455026454,small,1.0,False,False,0.26455026455026454,False
