tool,feature,unique_n,others_n,unique_median,others_median,unique_mean,others_mean,median_diff,u_statistic,p_value,cliffs_delta,effect_size,pval_adj,reject,significant,abs_delta,practically_significant
BRaIn,repair_difficulty,26,69,0.0684006013983548,-0.6545677804703322,-0.26527711331026993,-0.8641238331858937,0.722968381868687,1281.5,0.0007780839750717232,0.42865105908584167,medium,0.03968228272865788,True,True,0.42865105908584167,True
BRaIn,txt_title_avg_sentence_len,26,69,-0.70287777031615,0.363561074525272,0.09695136331491652,0.5490286997150845,-1.066438844841422,614.5,0.017424160053463048,-0.3149386845039019,small,0.8363596825662263,False,False,0.3149386845039019,False
BRaIn,txt_title_digit_density,26,69,-0.6450552541976357,0.492399341639145,-0.000723374591231426,0.5673962473183318,-1.1374545958367808,615.5,0.01791673276551745,-0.31382385730211815,small,0.8420864399793201,False,False,0.31382385730211815,False
BRaIn,actionability,26,69,0.3430376111637781,0.8491089986580442,0.28464475876059353,0.6437466964864582,-0.5060713874942662,632.5,0.011136849233748154,-0.2948717948717949,small,0.5568424616874077,False,False,0.2948717948717949,False
BRaIn,txt_title_avg_word_len,26,69,-0.3969089280843758,0.2037553037053591,-0.03373640836395615,0.4086886826951722,-0.6006642317897348,639.5,0.02951853912285737,-0.2870680044593088,small,1.0,False,False,0.2870680044593088,False
BRaIn,gunning_fog,26,69,0.3064121511263186,-0.1402897488568527,0.49298157955916005,-0.16769001849248097,0.4467018999831713,1138.0,0.044685107139238046,0.2686733556298774,small,1.0,False,False,0.2686733556298774,False
BRaIn,causal_reasoning_quality,26,69,0.8480647640971679,0.8480647640971679,0.2710324319417448,0.6596232875092133,0.0,670.5,0.02019540658126049,-0.2525083612040134,small,0.9289887027379825,False,False,0.2525083612040134,False
BRaIn,num_OB,26,69,-0.4995211341402941,-0.2886514946017978,-0.08589222581478227,-0.09306226372551148,-0.2108696395384963,672.0,0.05881555656754928,-0.2508361204013378,small,1.0,False,False,0.2508361204013378,False
BRaIn,txt_reasoning_avg_word_len,26,69,-0.1381892388358413,0.2216830739497719,-0.12819073215013815,0.35076378575297706,-0.3598723127856132,675.0,0.06445852291832734,-0.24749163879598662,small,1.0,False,False,0.24749163879598662,False
BRaIn,expected_observed_alignment,26,69,0.7027131095927159,0.7027131095927159,0.21818342626495552,0.569291892444492,0.0,681.0,0.021375750384052473,-0.2408026755852843,small,0.9619087672823613,False,False,0.2408026755852843,False
BRaIn,semantic_spread_pc2,26,69,0.08912517766670164,0.2694430910587819,-0.12414077801628072,0.28597915022054426,-0.18031791339208025,703.0,0.1062625197992599,-0.21627647714604237,small,1.0,False,False,0.21627647714604237,False
BRaIn,num_versions,26,69,-0.11521653367918669,-0.0494572680454745,-0.09498291348419834,0.032503555787847915,-0.06575926563371219,705.5,0.10057146771021645,-0.21348940914158304,small,1.0,False,False,0.21348940914158304,False
BRaIn,embedding_cluster_separation,26,69,-0.1261653158129863,-0.3063078848589198,0.0002854621985453401,-0.4178580127770068,0.1801425690459335,1086.0,0.11560772094647033,0.21070234113712374,small,1.0,False,False,0.21070234113712374,False
BRaIn,description_length,26,69,-0.1216788527176372,0.1200037663126747,0.11425542695762037,0.24879338938568382,-0.2416826190303119,709.0,0.11754925217102485,-0.20958751393534003,small,1.0,False,False,0.20958751393534003,False
BRaIn,actionability_depth_product,26,69,0.3490492436531938,0.7931728527204958,0.25082959934023286,0.5727201916979583,-0.44412360906730197,712.5,0.11518002538453098,-0.205685618729097,small,1.0,False,False,0.205685618729097,False
BRaIn,description_chars,26,69,-0.46818335786820076,-0.2535089510170165,-0.22670889744097816,-0.13815436450389404,-0.21467440685118427,715.0,0.12975881501462835,-0.2028985507246377,small,1.0,False,False,0.2028985507246377,False
BRaIn,quality_std,26,69,-0.6141221745332237,-0.6141221745332237,0.44196111678885086,-0.060034387696786776,0.0,1073.5,0.07115371723593161,0.1967670011148272,small,1.0,False,False,0.1967670011148272,False
BRaIn,clarity,26,69,0.7623879238337528,0.7623879238337528,0.3022272710529443,0.5962187992184605,0.0,727.5,0.08714402725015735,-0.18896321070234115,small,1.0,False,False,0.18896321070234115,False
BRaIn,semantic_entropy,26,69,0.1013772182589435,0.3554166170639224,-0.23608300559992498,0.1811796238226216,-0.25403939880497894,732.0,0.1697078942125403,-0.18394648829431437,small,1.0,False,False,0.18394648829431437,False
BRaIn,num_causal_markers,26,69,-0.1531279935599871,-0.1531279935599871,0.1375200211303868,0.2542847018146935,0.0,736.0,0.17289347951980427,-0.1794871794871795,small,1.0,False,False,0.1794871794871795,False
BRaIn,num_modal_verbs,26,69,-0.0804807840834863,-0.0804807840834863,0.41364755937027137,-0.051835662723848194,0.0,1053.0,0.16673487593169056,0.17391304347826086,small,1.0,False,False,0.17391304347826086,False
