tool,category,n,mean_repair_difficulty,median_repair_difficulty,std_repair_difficulty
BRaIn,fg_cat_Other (Logic),11,1.5143373651357288,1.5143373651357288,0.0
BRaIn,fg_cat_Processing,8,-0.2930835895359887,-0.2930835895359887,0.9465878099922849
BRaIn,cat_Functional Issue,22,0.5941957882119454,1.1528531742013852,1.0971578899361099
FlexFL,fg_cat_Other (Logic),28,1.4885170657832758,1.5143373651357288,0.13662818172766603
FlexFL,fg_cat_Processing,16,-0.33826911340278165,0.0684006013983548,0.5259149832676226
FlexFL,cat_Functional Issue,48,0.7461834594002488,1.5143373651357288,0.9480028577534182
boostnsift,cat_Functional Issue,11,0.39702259315684896,0.0684006013983548,1.181943256088569
buglocator,cat_Functional Issue,9,-0.09225903901690895,-0.6545677804703322,1.0081312425959223
locus,cat_Functional Issue,8,0.5202558400662842,1.5143373651357288,1.4935653902805432
