tool,feature,unique_count,all_count,unique_median,all_median,unique_mean,all_mean,u_statistic,p_value,cliffs_delta,effect_size,pval_adj,reject,significant,abs_delta
FlexFL,description_length,83,306,20.0,1495.0,708.4819277108434,1756.7712418300653,4674.5,9.369689982371205e-19,-0.6319001496180802,large,4.59114809136189e-17,True,True,0.6319001496180802
FlexFL,causal_reasoning_quality,83,306,0.0,5.0,1.927710843373494,4.349673202614379,4753.0,2.6727793439861798e-21,-0.6257185605165761,large,1.4165730523126753e-19,True,True,0.6257185605165761
FlexFL,actionability,83,306,0.0,5.0,1.9036144578313252,4.3431372549019605,4835.5,1.1258949416893617e-20,-0.6192219859831483,large,5.854653696784681e-19,True,True,0.6192219859831483
FlexFL,repair_difficulty,83,306,5.0,2.0,3.783132530120482,2.15359477124183,20365.0,1.6358953061640389e-18,0.603669580281912,large,7.852297469587387e-17,True,True,0.603669580281912
FlexFL,clarity,83,306,0.0,5.0,2.0602409638554215,4.483660130718954,5193.5,5.982706652991378e-20,-0.5910307898259706,large,3.0511803930256028e-18,True,True,0.5910307898259706
FlexFL,summary_chars,83,306,12.0,72.0,21.951807228915662,64.12418300653594,5302.0,3.670376236802224e-17,-0.5824868099850382,large,1.6883730689290228e-15,True,True,0.5824868099850382
FlexFL,specificity,83,306,0.0,5.0,1.9036144578313252,4.212418300653595,5349.5,9.87362157391742e-18,-0.5787463579809434,large,4.640602139741188e-16,True,True,0.5787463579809434
FlexFL,technical_depth,83,306,0.0,4.0,1.6265060240963856,3.6699346405228757,5414.0,9.229567513503635e-17,-0.5736672178911726,large,4.1533053810766355e-15,True,True,0.5736672178911726
FlexFL,automated_readability_index,79,306,32.5,20.25,36.9860759493671,23.21078431372549,19006.0,4.297834732473611e-15,0.5724331926863573,large,1.8910472822883888e-13,True,True,0.5724331926863573
FlexFL,coleman_liau_index,79,306,31.16,20.205,35.75430379746835,23.580261437908497,18552.5,2.275980176360963e-13,0.5349135434764624,large,9.559116740716046e-12,True,True,0.5349135434764624
FlexFL,expected_observed_alignment,83,306,0.0,5.0,2.1927710843373496,4.61437908496732,6024.0,6.930874369833651e-19,-0.5256319395227971,large,3.465437184916826e-17,True,True,0.5256319395227971
FlexFL,fine_grained_confidence,82,301,1.0,5.0,2.8292682926829267,4.863787375415282,5925.0,3.395579693945171e-29,-0.5198930394619561,large,1.8336130347303923e-27,True,True,0.5198930394619561
FlexFL,flesch_reading_ease,79,306,5.19,32.715,-8.266708860759499,22.707418300653593,6011.5,5.6095899605677805e-12,-0.5026474724911062,large,2.29993188383279e-10,True,True,0.5026474724911062
FlexFL,confidence,83,306,1.0,5.0,2.8795180722891565,4.892156862745098,6318.5,3.224411347630062e-32,-0.5024411370974092,large,1.7734262411965342e-30,True,True,0.5024411370974092
FlexFL,has_version_info,83,306,0.0,1.0,0.39759036144578314,0.8071895424836601,7497.5,1.8477903289486293e-13,-0.409599181037877,medium,7.945498414479107e-12,True,True,0.409599181037877
FlexFL,num_versions,83,306,0.0,2.0,1.2409638554216869,3.676470588235294,7624.5,1.1292211425197735e-08,-0.39959839357429716,medium,4.516884570079094e-07,True,True,0.39959839357429716
FlexFL,n_words,83,306,93.0,119.0,114.57831325301204,139.9738562091503,9241.0,0.00014137759949068806,-0.2723049058981022,small,0.005513726380136834,True,True,0.2723049058981022
FlexFL,n_tokens,83,306,176.0,199.0,207.56626506024097,245.4313725490196,10315.0,0.008702895680995002,-0.187731317426569,small,0.3046013488348251,False,False,0.187731317426569
FlexFL,has_code,83,306,0.0,0.0,0.18072289156626506,0.3431372549019608,10636.5,0.004553154269898446,-0.16241436333569573,small,0.1684667079862425,False,False,0.16241436333569573
FlexFL,num_causal_markers,83,306,1.0,2.0,2.144578313253012,2.4084967320261437,10923.0,0.04675822408341145,-0.13985353177415544,negligible,1.0,False,False,0.13985353177415544
FlexFL,causal_density,83,306,0.1818181818181818,0.25,0.27939239017355405,0.30905046249063417,11095.5,0.07594118531012403,-0.1262697850224427,negligible,1.0,False,False,0.1262697850224427
