pattern,count,label
1111,237,FlexFL & boostnsift & buglocator & locus
0000,177,None
1000,137,FlexFL
1011,48,FlexFL & buglocator & locus
1110,47,FlexFL & boostnsift & buglocator
1100,46,FlexFL & boostnsift
1101,35,FlexFL & boostnsift & locus
1001,26,FlexFL & locus
1010,25,FlexFL & buglocator
0100,17,boostnsift
0111,16,boostnsift & buglocator & locus
0001,16,locus
0010,11,buglocator
0011,10,buglocator & locus
0110,9,boostnsift & buglocator
0101,2,boostnsift & locus
