tool,feature,unique_count,other_count,unique_median,other_median,unique_mean,other_mean,unique_std,other_std,u_statistic,p_value,cliffs_delta,effect_size,median_diff,mean_diff,pval_adj,reject,significant,abs_delta
FlexFL,num_EB,147,49,-0.673136533919824,0.2959479588785432,-0.06004226296575494,0.1772845515971105,0.9079605892788651,0.830643850970029,2908.5,0.026301755833822615,-0.1924198250728863,small,-0.9690844927983672,-0.23732681456286545,1.0,False,False,0.1924198250728863
FlexFL,has_EB,147,49,-0.9249624617007738,1.081124955234671,-0.06521071158558321,0.30325432417806986,0.9961498555841326,0.9875716698568896,2940.0,0.026252920665547564,-0.1836734693877551,small,-2.006087416935445,-0.3684650357636531,1.0,False,False,0.1836734693877551
FlexFL,missing_EB,147,49,0.9249624617007736,-1.081124955234671,0.06521071158558307,-0.30325432417807,0.9961498555841325,0.9875716698568896,4263.0,0.026252920665547564,0.1836734693877551,small,2.0060874169354443,0.3684650357636531,1.0,False,False,0.1836734693877551
FlexFL,completeness_score,147,49,-0.1877149484641514,-0.1877149484641514,0.10441436281637467,0.403846906878914,1.0095910386362736,0.9051737607234612,2981.5,0.0556622693526019,-0.17215049285020131,small,0.0,-0.29943254406253933,1.0,False,False,0.17215049285020131
FlexFL,smog_index,147,49,0.0257005731423236,-0.2044707363234871,0.14417620443466764,-0.23970103879274351,0.9181377078374541,1.4521007351642954,4210.0,0.07697967264685943,0.16895737886991533,small,0.23017130946581071,0.3838772432274111,1.0,False,False,0.16895737886991533
FlexFL,causal_reasoning_quality,147,49,0.3479700762291345,0.8480647640971679,-0.03305444786079562,0.225497907771657,0.9834943948700822,0.8988417307088572,2996.0,0.06493098812215202,-0.16812439261418854,small,-0.5000946878680335,-0.25855235563245266,1.0,False,False,0.16812439261418854
FlexFL,num_OB,147,49,-0.2886514946017978,-0.0777818550633016,-0.04622313349971713,0.49027513308121873,0.7368475969111953,2.3036177405388023,3122.5,0.16102475443019215,-0.1330001388310426,negligible,-0.2108696395384962,-0.5364982665809359,1.0,False,False,0.1330001388310426
FlexFL,expected_observed_alignment,147,49,0.7027131095927159,0.7027131095927159,0.013823967990662031,0.21818342626495554,0.9967485330538998,0.890137867038998,3183.5,0.16892282965149852,-0.11606275163126475,negligible,0.0,-0.20435945827429353,1.0,False,False,0.11606275163126475
FlexFL,num_versions,147,49,-0.1809757993128989,-0.1809757993128989,0.11516456701034915,0.07937721156343101,1.9831905110617796,1.0506023868664403,4014.0,0.21216704193615687,0.11453561016243231,negligible,0.0,0.035787355446918134,1.0,False,False,0.11453561016243231
FlexFL,n_sentences,147,49,-0.2868038552763112,-0.1927790342493305,0.13854652556003003,0.24856196240792577,1.4334253576645355,1.1467887283198468,3209.5,0.2538324367440985,-0.10884353741496598,negligible,-0.0940248210269807,-0.11001543684789575,1.0,False,False,0.10884353741496598
FlexFL,num_temporal_markers,147,49,-0.4635308650875505,-0.4635308650875505,-0.051207148939574954,0.19029674194709645,0.8065148219738195,1.2185369235669774,3224.0,0.1812120430567984,-0.10481743717895321,negligible,0.0,-0.2415038908866714,1.0,False,False,0.10481743717895321
FlexFL,has_os_info,147,49,-0.3751138260763807,-0.3751138260763807,-0.06481063133318889,0.24549256341000303,0.9236550785498161,1.2383002694157879,3234.0,0.06473376377551973,-0.10204081632653061,negligible,0.0,-0.3103031947431919,1.0,False,False,0.10204081632653061
FlexFL,num_os_mentions,147,49,-0.3565391088761866,-0.3565391088761866,-0.05452976107230372,0.22971433097840957,0.9429258862688659,1.2231930109340756,3236.5,0.06684625578936816,-0.10134666111342497,negligible,0.0,-0.28424409205071327,1.0,False,False,0.10134666111342497
FlexFL,clarity,147,49,0.2638805499878769,0.7623879238337528,0.012931259752537992,0.20283883074144315,0.9976532978806245,0.8907850024812168,3257.0,0.2797375713552923,-0.09565458836595862,negligible,-0.49850737384587585,-0.18990757098890515,1.0,False,False,0.09565458836595862
FlexFL,concept__json_parsing,147,49,0.0,0.0,0.17006802721088435,0.2653061224489796,0.37697697433161415,0.44607128559988557,3258.5,0.1457918652937152,-0.09523809523809523,negligible,0.0,-0.09523809523809526,1.0,False,False,0.09523809523809523
FlexFL,num_negative_modals,147,49,-0.2577319414569243,-0.2577319414569243,0.06289343295068194,0.1596859988095819,1.3245320514099381,1.2719894386684814,3276.0,0.10864603382383935,-0.09037900874635568,negligible,0.0,-0.09679256585889996,1.0,False,False,0.09037900874635568
FlexFL,temporal_density,147,49,-0.4256912142338764,-0.4256912142338764,0.011881754501218332,0.04566636416611879,1.047528498554692,1.0142260607995919,3292.5,0.27676263947210233,-0.08579758433985839,negligible,0.0,-0.03378460966490046,1.0,False,False,0.08579758433985839
