pattern,count,label
1111,306,FlexFL & boostnsift & buglocator & locus
0000,147,None
1000,102,FlexFL
1110,48,FlexFL & boostnsift & buglocator
1100,45,FlexFL & boostnsift
1011,38,FlexFL & buglocator & locus
0111,33,boostnsift & buglocator & locus
1101,29,FlexFL & boostnsift & locus
0100,23,boostnsift
1001,21,FlexFL & locus
0001,14,locus
0010,14,buglocator
1010,12,FlexFL & buglocator
0110,11,boostnsift & buglocator
0011,10,buglocator & locus
0101,6,boostnsift & locus
