tool,feature,unique_count,other_count,unique_median,other_median,unique_mean,other_mean,unique_std,other_std,u_statistic,p_value,cliffs_delta,effect_size,median_diff,mean_diff,pval_adj,reject,significant,abs_delta
FlexFL,txt_fine_grained_reasoning_word_count,147,49,0.0542359968291021,0.1709552168092574,0.0010374407837252882,0.3448430343307132,0.9624168181476682,0.9138210693889834,3021.0,0.09129579657562599,-0.16118284048313203,small,-0.1167192199801553,-0.3438055935469879,1.0,False,False,0.16118284048313203
FlexFL,txt_fine_grained_reasoning_avg_words_per_line,147,49,-0.0742332353615064,0.078755056804847,-0.03780745151237466,0.30667639003227154,1.0192755595215643,1.197779806746661,3090.0,0.1367768262067627,-0.14202415660141607,negligible,-0.1529882921663534,-0.3444838415446462,1.0,False,False,0.14202415660141607
FlexFL,txt_title_avg_word_len,147,49,-0.3969089280843758,-0.3969089280843758,-0.08025819303471766,0.19330765365471678,0.9354250698400881,1.1775583342051124,3167.5,0.144619668578779,-0.12050534499514091,negligible,0.0,-0.27356584668943446,1.0,False,False,0.12050534499514091
FlexFL,txt_fine_grained_reasoning_avg_word_len,147,49,-0.0619848086595508,-0.0289384493379016,0.12175867128187562,-0.051286341009448524,1.0692791693046866,1.157895691508382,4019.5,0.2246923040090163,0.11606275163126475,negligible,-0.0330463593216492,0.17304501229132413,1.0,False,False,0.11606275163126475
FlexFL,txt_fine_grained_reasoning_char_len,147,49,0.0892644775864165,0.1903985871992495,0.046379945845827476,0.29256467752241766,0.9858246309961121,0.8496976812580447,3194.5,0.23713010166023984,-0.11300846869359989,negligible,-0.10113410961283302,-0.2461847316765902,1.0,False,False,0.11300846869359989
FlexFL,txt_fine_grained_reasoning_has_code_like,147,49,0.0,0.0,0.1292517006802721,0.22448979591836735,0.33662525083616723,0.42156979070537554,3258.5,0.11023982120862315,-0.09523809523809523,negligible,0.0,-0.09523809523809523,1.0,False,False,0.09523809523809523
FlexFL,txt_fine_grained_reasoning_avg_sentence_len,147,49,-0.1270440743976036,-0.0209813665071378,-0.13184043138545884,0.006436204240057435,1.0203490163059337,0.9355943555637404,3259.5,0.3202999081916891,-0.09496043315285298,negligible,-0.10606270789046579,-0.1382766356255163,1.0,False,False,0.09496043315285298
FlexFL,txt_reasoning_avg_sentence_len,147,49,-0.1307782368282674,-0.0140365238068689,-0.05630355369141153,0.12819776736410024,1.0520492383342663,1.317924058222868,3291.5,0.36769173141446043,-0.08607524642510066,negligible,-0.11674171302139849,-0.18450132105551176,1.0,False,False,0.08607524642510066
FlexFL,txt_reasoning_hedge_count,147,49,-0.3672299048237221,-0.3672299048237221,-0.0030136564913726986,-0.26789820073308135,1.0408640834644123,0.48651836498266643,3899.5,0.09923860534698538,0.08274330140219353,negligible,0.0,0.26488454424170865,1.0,False,False,0.08274330140219353
FlexFL,txt_reasoning_hedge_density,147,49,-0.3595077050751572,-0.3595077050751572,0.010515358902206083,-0.2612592978988413,1.0603272477659997,0.48121246745102686,3899.5,0.09957057634410973,0.08274330140219353,negligible,0.0,0.27177465680104734,1.0,False,False,0.08274330140219353
