pattern,count,label
0000,353,None
1000,164,FlexFL
1111,69,FlexFL & boostnsift & buglocator & locus
1100,46,FlexFL & boostnsift
1110,38,FlexFL & boostnsift & buglocator
1010,28,FlexFL & buglocator
1101,22,FlexFL & boostnsift & locus
0111,21,boostnsift & buglocator & locus
1011,21,FlexFL & buglocator & locus
0010,19,buglocator
1001,19,FlexFL & locus
0100,17,boostnsift
0001,13,locus
0011,12,buglocator & locus
0110,9,boostnsift & buglocator
0101,8,boostnsift & locus
