target,feature,corr,pval,n,missingness_pct,pval_adj,reject,practically_significant
adv_mrr5_FFL,summary_chars,-0.013449547697244107,0.759850680062308,519,0.3568773234200744,1.0,False,False
adv_mrr5_FFL,description_chars,0.020048862926179738,0.6486135408149104,519,0.3568773234200744,1.0,False,False
adv_mrr5_FFL,n_tokens,0.03975801908351687,0.3660358695740671,519,0.3568773234200744,1.0,False,False
adv_mrr5_FFL,n_words,0.04281329820088953,0.3303302574727439,519,0.3568773234200744,1.0,False,False
adv_mrr5_FFL,n_sentences,0.019427919724729903,0.6587981903352147,519,0.3568773234200744,1.0,False,False
adv_mrr5_FFL,flesch_reading_ease,0.0422631467769864,0.3384659992770199,515,0.3618339529120198,1.0,False,False
adv_mrr5_FFL,smog_index,0.013219378775452782,0.7647267458555843,515,0.3618339529120198,1.0,False,False
adv_mrr5_FFL,gunning_fog,0.008715146824128208,0.8435917451440186,515,0.3618339529120198,1.0,False,False
adv_mrr5_FFL,coleman_liau_index,-0.034352275451886335,0.43662059133647724,515,0.3618339529120198,1.0,False,False
adv_mrr5_FFL,automated_readability_index,-0.024141274889192457,0.5846527780878564,515,0.3618339529120198,1.0,False,False
adv_mrr5_FFL,has_stacktrace,-0.0009781587779409935,0.9822642720873803,519,0.3568773234200744,1.0,False,False
adv_mrr5_FFL,has_code,-0.003513812654122728,0.9363506653589709,519,0.3568773234200744,1.0,False,False
adv_mrr5_FFL,has_patch,0.059111742009227634,0.17875853646485945,519,0.3568773234200744,1.0,False,False
adv_mrr5_FFL,has_enumeration,-0.023594406553538342,0.5917537969970863,519,0.3568773234200744,1.0,False,False
adv_mrr5_FFL,num_causal_markers,0.02382294379328775,0.5881682614552478,519,0.3568773234200744,1.0,False,False
adv_mrr5_FFL,num_temporal_markers,-0.06115441516167905,0.16418395442784808,519,0.3568773234200744,1.0,False,False
adv_mrr5_FFL,causal_density,0.01466974052611033,0.7388233981469265,519,0.3568773234200744,1.0,False,False
adv_mrr5_FFL,temporal_density,-0.06456467173860303,0.14186776681955543,519,0.3568773234200744,1.0,False,False
adv_mrr5_FFL,num_os_mentions,-0.0019004619219112485,0.9655491548978614,519,0.3568773234200744,1.0,False,False
adv_mrr5_FFL,num_browser_mentions,0.043985542736477874,0.31724868153257035,519,0.3568773234200744,1.0,False,False
adv_mrr5_FFL,num_env_mentions,-0.08335123049652673,0.057749237518156644,519,0.3568773234200744,1.0,False,False
adv_mrr5_FFL,num_versions,0.05760246791408018,0.1901286248701622,519,0.3568773234200744,1.0,False,False
adv_mrr5_FFL,has_os_info,-0.00043959965678101086,0.992028767671725,519,0.3568773234200744,1.0,False,False
adv_mrr5_FFL,has_version_info,0.04986708595660791,0.2567874098208709,519,0.3568773234200744,1.0,False,False
adv_mrr5_FFL,num_exception_types,-0.03327703143391311,0.449358644414793,519,0.3568773234200744,1.0,False,False
adv_mrr5_FFL,stacktrace_depth,-0.020786541821742225,0.6365989591621157,519,0.3568773234200744,1.0,False,False
adv_mrr5_FFL,num_caused_by,-0.0309756002637532,0.48134537647578746,519,0.3568773234200744,1.0,False,False
adv_mrr5_FFL,behavior_verb_count,,,519,0.3568773234200744,,False,False
adv_mrr5_FFL,behavior_verb_density,,,519,0.3568773234200744,,False,False
adv_mrr5_FFL,num_modal_verbs,0.01526846374775194,0.7285754414773686,519,0.3568773234200744,1.0,False,False
adv_mrr5_FFL,num_negative_modals,0.008374336242834977,0.8490553448280445,519,0.3568773234200744,1.0,False,False
adv_mrr5_FFL,modal_density,-0.005973582675426261,0.8920104725938938,519,0.3568773234200744,1.0,False,False
adv_mrr5_FFL,redundancy,-0.027719044100097914,0.5286410275699125,519,0.3568773234200744,1.0,False,False
adv_mrr5_FFL,ambiguity,0.05175193315335117,0.23922088385085874,519,0.3568773234200744,1.0,False,False
adv_mrr5_FFL,actionability,0.013875329722128163,0.7524922599271984,519,0.3568773234200744,1.0,False,False
