tool,feature,corr,pval,n,missingness_pct,pval_adj,reject,practically_significant
boostnsift,num_causal_markers,0.08043661005099528,0.020092747380701714,835,0.0,1.0,False,False
boostnsift,num_temporal_markers,0.050026966608533154,0.14864436027736294,835,0.0,1.0,False,False
boostnsift,causal_density,0.12458446423785476,0.00030771903050056835,835,0.0,0.03938803590407275,True,False
boostnsift,temporal_density,0.057877489296168615,0.0946535660555924,835,0.0,1.0,False,False
boostnsift,num_os_mentions,0.05610107581393991,0.10523986080704402,835,0.0,1.0,False,False
boostnsift,num_browser_mentions,-0.10964161654512544,0.0015083672865218267,835,0.0,0.18703754352870652,False,False
boostnsift,num_env_mentions,-0.06191619744491905,0.07374555000704722,835,0.0,1.0,False,False
boostnsift,num_versions,0.2074595502855587,1.4323021492191206e-09,835,0.0,2.0338690518911513e-07,True,True
boostnsift,has_os_info,0.05575478470665842,0.1074088544956794,835,0.0,1.0,False,False
boostnsift,has_version_info,0.2737957938118775,7.99664641973565e-16,835,0.0,1.2874600735774398e-13,True,True
boostnsift,num_exception_types,0.008240497793364393,0.8120612190246047,835,0.0,1.0,False,False
boostnsift,stacktrace_depth,-0.036028009155316426,0.2984065363160221,835,0.0,1.0,False,False
boostnsift,num_caused_by,-0.07383364751790226,0.03290502203047785,835,0.0,1.0,False,False
boostnsift,num_modal_verbs,-0.024556803773338364,0.4785440238931715,835,0.0,1.0,False,False
boostnsift,num_negative_modals,0.01778252103852123,0.6078666468191342,835,0.0,1.0,False,False
boostnsift,modal_density,0.0035258992348702824,0.9189683186360149,835,0.0,1.0,False,False
boostnsift,redundancy,-0.04073226388087625,0.23969911995007567,835,0.0,1.0,False,False
boostnsift,ambiguity,0.021780473892481417,0.5296710213708181,835,0.0,1.0,False,False
boostnsift,actionability,0.35886312177380514,8.82639292294597e-27,835,0.0,1.6064035119761665e-24,True,True
boostnsift,clarity,0.3521002039921029,8.90091673964358e-26,835,0.0,1.611065929875488e-23,True,True
boostnsift,specificity,0.3083045592971652,7.611815810768337e-20,835,0.0,1.286396872019849e-17,True,True
boostnsift,expected_observed_alignment,0.3352884135181115,2.1919166494656592e-23,835,0.0,3.813934970070247e-21,True,True
boostnsift,technical_depth,0.2904745090562905,1.0671318826432601e-17,835,0.0,1.7500962875349466e-15,True,True
boostnsift,hidden_s2r_present,-0.10110257227275446,0.003448800827316383,835,0.0,0.40350969679601684,False,False
boostnsift,causal_reasoning_quality,0.39519892575992427,1.3319365216751844e-32,835,0.0,2.5439987563996022e-30,True,True
boostnsift,contradiction_present,0.006900697928268796,0.842177675966125,835,0.0,1.0,False,False
boostnsift,repair_difficulty,-0.4128492367300499,1.052762717927694e-35,835,0.0,2.06341492713828e-33,True,True
boostnsift,description_length,0.2925242149020745,6.152066366628913e-18,835,0.0,1.0150909504937706e-15,True,True
boostnsift,confidence,0.39544069088306677,1.2112725165821215e-32,835,0.0,2.3256432318376733e-30,True,True
boostnsift,fine_grained_confidence,0.38265562354693367,1.0339687117590419e-29,812,0.02754491017964067,1.923181803871818e-27,True,True
boostnsift,has_OB,0.0559497371992065,0.10618346305697979,835,0.0,1.0,False,False
boostnsift,has_EB,0.031332617914790875,0.36585515923447487,835,0.0,1.0,False,False
boostnsift,missing_OB,-0.0559497371992065,0.10618346305697979,835,0.0,1.0,False,False
boostnsift,missing_EB,-0.031332617914790875,0.36585515923447487,835,0.0,1.0,False,False
boostnsift,num_OB,-0.02543955893144607,0.4628704819740891,835,0.0,1.0,False,False
boostnsift,num_EB,0.023951804124614784,0.4894508934180213,835,0.0,1.0,False,False
buglocator,summary_chars,0.3812504146625476,2.7970400769590422e-30,835,0.0,5.258435344682999e-28,True,True
buglocator,description_chars,0.04555747839308824,0.18845734903827402,835,0.0,1.0,False,False
buglocator,n_tokens,0.10252983393154051,0.0030158139496255314,835,0.0,0.3618976739550638,False,False
buglocator,n_words,0.15124104235105518,1.1385196221343636e-05,835,0.0,0.0015256162936600473,True,False
buglocator,n_sentences,0.0636581857089784,0.06597408487195369,835,0.0,1.0,False,False
buglocator,flesch_reading_ease,0.3118076257125919,9.093845351715244e-20,812,0.02754491017964067,1.527766019088161e-17,True,True
buglocator,smog_index,-0.05159292512095831,0.1418638197549097,812,0.02754491017964067,1.0,False,False
buglocator,gunning_fog,0.02794211362272942,0.4265225622766956,812,0.02754491017964067,1.0,False,False
buglocator,coleman_liau_index,-0.32686777120689875,1.1341795923540662e-21,812,0.02754491017964067,1.9507888988489938e-19,True,True
buglocator,automated_readability_index,-0.3495903706382777,9.392080084204739e-25,812,0.02754491017964067,1.6811823350726484e-22,True,True
buglocator,has_stacktrace,0.07457009980895259,0.03119492147488807,835,0.0,1.0,False,False
buglocator,has_code,0.13489469219274774,9.22917273783286e-05,835,0.0,0.01199792455918272,True,False
buglocator,has_patch,0.007232349101437136,0.8346994071184395,835,0.0,1.0,False,False
buglocator,has_enumeration,0.08598179609662833,0.01293900977077047,835,0.0,1.0,False,False
buglocator,num_causal_markers,0.151185297391871,1.1471173617053869e-05,835,0.0,0.0015256660910681645,True,False
buglocator,num_temporal_markers,0.0805969564351807,0.019845267427296965,835,0.0,1.0,False,False
buglocator,causal_density,0.15855398309915977,4.146048917894358e-06,835,0.0,0.0005597166039157383,True,False
buglocator,temporal_density,0.08421716540628417,0.014922678346623698,835,0.0,1.0,False,False
buglocator,num_os_mentions,0.024185360030879944,0.485224609656439,835,0.0,1.0,False,False
buglocator,num_browser_mentions,-0.13144573492333742,0.000139443598138984,835,0.0,0.017988224159928935,True,False
buglocator,num_env_mentions,-0.045880305392442686,0.18534183180854788,835,0.0,1.0,False,False
buglocator,num_versions,0.21910531926314003,1.5559724060710928e-10,835,0.0,2.2561599888030846e-08,True,True
buglocator,has_os_info,0.023677962433861766,0.4944312512482453,835,0.0,1.0,False,False
buglocator,has_version_info,0.2706481452236453,1.7481255624878842e-15,835,0.0,2.7795196443557357e-13,True,True
buglocator,num_exception_types,0.12150040114740591,0.00043365963255329114,835,0.0,0.055074773334267975,False,False
buglocator,stacktrace_depth,0.09456690106968249,0.006244154094031061,835,0.0,0.724321874907603,False,False
buglocator,num_caused_by,0.0074807432754337225,0.8291081845681074,835,0.0,1.0,False,False
buglocator,num_modal_verbs,0.03103753495827815,0.3703893739786611,835,0.0,1.0,False,False
buglocator,num_negative_modals,0.00857955036651824,0.8044818286758623,835,0.0,1.0,False,False
buglocator,modal_density,0.041066101890272995,0.2358658404030101,835,0.0,1.0,False,False
buglocator,redundancy,0.013276459377966784,0.7016577711372616,835,0.0,1.0,False,False
buglocator,ambiguity,0.018641906475565746,0.5906301130944125,835,0.0,1.0,False,False
buglocator,actionability,0.412545034980589,1.1950527144522234e-35,835,0.0,2.3303527931818355e-33,True,True
buglocator,clarity,0.4104787767375019,2.8174467921565685e-35,835,0.0,5.4658467767837426e-33,True,True
buglocator,specificity,0.3730521924702901,5.755532584629368e-29,835,0.0,1.064773528156433e-26,True,True
buglocator,expected_observed_alignment,0.4086583870548038,5.968276099248498e-35,835,0.0,1.1518772871549602e-32,True,True
buglocator,technical_depth,0.36370241525530594,1.6316066217354314e-27,835,0.0,2.9858401177758393e-25,True,True
buglocator,hidden_s2r_present,-0.16825711319239126,1.0102242862348974e-06,835,0.0,0.00013739050292794604,True,False
buglocator,causal_reasoning_quality,0.44929330912006343,1.0042578375377371e-42,835,0.0,2.0085156750754744e-40,True,True
buglocator,contradiction_present,-0.05867623831260552,0.09017976895661375,835,0.0,1.0,False,False
buglocator,repair_difficulty,-0.42863349550930047,1.220814779533066e-38,835,0.0,2.40500511568014e-36,True,True
buglocator,description_length,0.3417055781954434,2.7875535466376157e-24,835,0.0,4.961845313014956e-22,True,True
buglocator,confidence,0.4325443100589351,2.1621873987378645e-39,835,0.0,4.2811310495009715e-37,True,True
buglocator,fine_grained_confidence,0.43866461137097756,1.6289876192771773e-39,812,0.02754491017964067,3.241685362361583e-37,True,True
buglocator,has_OB,0.09140912956186957,0.008218236594460523,835,0.0,0.9122242619851181,False,False
buglocator,has_EB,0.05254147270345924,0.1292588126870468,835,0.0,1.0,False,False
buglocator,missing_OB,-0.09140912956186957,0.008218236594460523,835,0.0,0.9122242619851181,False,False
buglocator,missing_EB,-0.05254147270345924,0.1292588126870468,835,0.0,1.0,False,False
buglocator,num_OB,0.0249750014412297,0.4710829734108848,835,0.0,1.0,False,False
buglocator,num_EB,0.04083114059016331,0.23855923088280326,835,0.0,1.0,False,False
locus,summary_chars,0.3188120962819773,3.510209334263482e-21,835,0.0,6.002457961590554e-19,True,True
locus,description_chars,0.05335752332723259,0.12340774085685902,835,0.0,1.0,False,False
locus,n_tokens,0.07698933797515382,0.02610258695824058,835,0.0,1.0,False,False
locus,n_words,0.10193106821685323,0.0031910483793850517,835,0.0,0.37838677352894284,False,False
locus,n_sentences,0.04962063795004758,0.15197483302139042,835,0.0,1.0,False,False
locus,flesch_reading_ease,0.24453648994774488,1.6059747273941295e-12,812,0.02754491017964067,2.3929023438172527e-10,True,True
locus,smog_index,-0.03751769146990526,0.28560231809526,812,0.02754491017964067,1.0,False,False
locus,gunning_fog,0.01650854705026845,0.6385489994858439,812,0.02754491017964067,1.0,False,False
locus,coleman_liau_index,-0.2570466398307021,1.016334024487551e-13,812,0.02754491017964067,1.5448277172210773e-11,True,True
locus,automated_readability_index,-0.2590744855399229,6.40498080374952e-14,812,0.02754491017964067,9.799620629736765e-12,True,True
locus,has_stacktrace,0.02982244096398602,0.3894249616686012,835,0.0,1.0,False,False
locus,has_code,0.07626060732015641,0.027555100160097844,835,0.0,1.0,False,False
locus,has_patch,0.010609143638010372,0.7595170333718613,835,0.0,1.0,False,False
locus,has_enumeration,0.05631455782037471,0.10392010028684483,835,0.0,1.0,False,False
