tool,feature,corr,pval,n,n_found,n_not_found,analysis,pval_adj,reject,practically_significant
boostnsift,summary_chars,0.2710390524875018,1.110553810507097e-09,489,230,259,found_vs_notfound,2.1544743923837682e-07,True,True
boostnsift,description_chars,-0.13833935200100136,0.0021689157234750568,489,230,259,found_vs_notfound,0.34268868430905897,False,False
boostnsift,n_tokens,-0.08263811442493896,0.06787251622393183,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,n_words,-0.04331635123754179,0.3391396034350359,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,n_sentences,-0.13396616192585564,0.002995019181853331,489,230,259,found_vs_notfound,0.4702180115509729,False,False
boostnsift,flesch_reading_ease,0.2827926561327353,2.1776002863711293e-10,486,230,256,found_vs_notfound,4.311648567014836e-08,True,True
boostnsift,smog_index,-0.03953816457124672,0.3844476682715028,486,230,256,found_vs_notfound,1.0,False,False
boostnsift,gunning_fog,-0.010207389783223417,0.822405254723383,486,230,256,found_vs_notfound,1.0,False,False
boostnsift,coleman_liau_index,-0.29040114091450614,6.723428550620445e-11,486,230,256,found_vs_notfound,1.344685710124089e-08,True,True
boostnsift,automated_readability_index,-0.2783819481764602,4.2350315575930365e-10,486,230,256,found_vs_notfound,8.300661852882351e-08,True,True
boostnsift,has_stacktrace,-0.09456654124769959,0.03657134033511436,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,has_code,-0.015615105096095448,0.7305157997238149,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,has_patch,-0.041059196805718116,0.3649281357583993,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,has_enumeration,0.033373423319621016,0.46153937979810583,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,num_causal_markers,-0.00407296582654057,0.9284169320558279,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,num_temporal_markers,0.039814749872250664,0.379654860976548,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,causal_density,0.09323590954772873,0.03930567539471783,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,temporal_density,0.012780622089624799,0.7780121293320011,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,num_os_mentions,0.06243397220478025,0.16806883388758048,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,num_browser_mentions,-0.08612151069353884,0.057027791480564194,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,num_env_mentions,-0.05472697232988759,0.227045475837458,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,num_versions,-0.031640141070404575,0.48514374071935584,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,has_os_info,0.07143063865326871,0.11467053602464969,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,has_version_info,0.1554614014471068,0.0005606472039412051,489,230,259,found_vs_notfound,0.09250678865029885,False,False
boostnsift,num_exception_types,-0.14143767919085898,0.0017160143465531174,489,230,259,found_vs_notfound,0.2745622954484988,False,False
boostnsift,stacktrace_depth,-0.1641890650617699,0.00026609350267210085,489,230,259,found_vs_notfound,0.04443761494624084,True,False
boostnsift,num_caused_by,-0.09918531601420859,0.028299014959427028,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,num_modal_verbs,0.008643036223563189,0.8488069776603693,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,num_negative_modals,-0.011792972700329479,0.7947683521501792,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,modal_density,0.06818188720562113,0.1321638780811489,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,redundancy,-0.029091903343069433,0.5209973892244455,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,ambiguity,-0.0039029187796894346,0.9313980249441789,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,actionability,0.19447868158235765,1.4844200780995222e-05,489,230,259,found_vs_notfound,0.002686800341360135,True,False
boostnsift,clarity,0.18554494019645107,3.652638822912892e-05,489,230,259,found_vs_notfound,0.006465170716555819,True,False
boostnsift,specificity,0.14539729941079416,0.001263511266613309,489,230,259,found_vs_notfound,0.20468882519135606,False,False
boostnsift,expected_observed_alignment,0.17467477302551826,0.00010332545433811474,489,230,259,found_vs_notfound,0.01766865269181762,True,False
boostnsift,technical_depth,0.10931742751793727,0.015587253847868649,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,hidden_s2r_present,-0.044429938389489,0.32685698058912377,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,causal_reasoning_quality,0.2197804579808736,9.211498238417723e-07,489,230,259,found_vs_notfound,0.00017133386723456966,True,True
boostnsift,contradiction_present,-0.04265835705102583,0.34653408427524673,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,repair_difficulty,-0.25966465473855893,5.622566421080728e-09,489,230,259,found_vs_notfound,1.0851553192685804e-06,True,True
boostnsift,description_length,-0.02114322571195324,0.6409270633803236,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,confidence,0.18849306617600436,2.7262096851250392e-05,489,230,259,found_vs_notfound,0.0048526532395225695,True,False
boostnsift,fine_grained_confidence,0.19105762144581812,2.5107881594582985e-05,480,227,253,found_vs_notfound,0.004519418687024938,True,False
boostnsift,has_OB,0.02156768318384202,0.6342394143875626,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,has_EB,0.05257596454850132,0.24586251529061906,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,missing_OB,-0.021567683183841987,0.6342394143875626,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,missing_EB,-0.05257596454850137,0.24586251529061906,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,num_OB,-0.01397075289331736,0.7579571972887016,489,230,259,found_vs_notfound,1.0,False,False
boostnsift,num_EB,0.06908907485319193,0.1270835921499173,489,230,259,found_vs_notfound,1.0,False,False
buglocator,summary_chars,0.19806287859858707,1.0222612404830367e-05,489,217,272,found_vs_notfound,0.0018707380700839571,True,False
buglocator,description_chars,-0.11539704163337987,0.010654817310861417,489,217,272,found_vs_notfound,1.0,False,False
buglocator,n_tokens,-0.06453123087527515,0.1542049913614887,489,217,272,found_vs_notfound,1.0,False,False
buglocator,n_words,-0.045681377293274004,0.31340209215108505,489,217,272,found_vs_notfound,1.0,False,False
buglocator,n_sentences,-0.1105910690364485,0.0144135153662932,489,217,272,found_vs_notfound,1.0,False,False
buglocator,flesch_reading_ease,0.18952330025484723,2.6046616727186282e-05,486,217,269,found_vs_notfound,0.004662344394166344,True,False
buglocator,smog_index,-0.07959353565656344,0.07961308909138387,486,217,269,found_vs_notfound,1.0,False,False
buglocator,gunning_fog,-0.02801348557757171,0.5378289507910166,486,217,269,found_vs_notfound,1.0,False,False
buglocator,coleman_liau_index,-0.18444532335998265,4.297910153159598e-05,486,217,269,found_vs_notfound,0.007521342768029297,True,False
buglocator,automated_readability_index,-0.19856697191662215,1.0327127089967483e-05,486,217,269,found_vs_notfound,0.0018795371303740819,True,False
buglocator,has_stacktrace,-0.01881863265235906,0.6780579727061995,489,217,272,found_vs_notfound,1.0,False,False
buglocator,has_code,0.04781619605457372,0.2913002027264277,489,217,272,found_vs_notfound,1.0,False,False
buglocator,has_patch,-0.05178951050310088,0.2530072303848848,489,217,272,found_vs_notfound,1.0,False,False
buglocator,has_enumeration,0.06584786856093215,0.14595507352016135,489,217,272,found_vs_notfound,1.0,False,False
buglocator,num_causal_markers,-0.00363853535608988,0.9360348186222138,489,217,272,found_vs_notfound,1.0,False,False
buglocator,num_temporal_markers,0.033181967704221216,0.46411485284777754,489,217,272,found_vs_notfound,1.0,False,False
buglocator,causal_density,0.07745475637579617,0.0870864040187155,489,217,272,found_vs_notfound,1.0,False,False
buglocator,temporal_density,0.023049916543407434,0.6111210905734566,489,217,272,found_vs_notfound,1.0,False,False
buglocator,num_os_mentions,-0.00848994801868046,0.8514536137150202,489,217,272,found_vs_notfound,1.0,False,False
buglocator,num_browser_mentions,-0.13195022702755457,0.0034647117066344785,489,217,272,found_vs_notfound,0.5404950262349787,False,False
buglocator,num_env_mentions,-0.059173640379848486,0.19144269237303066,489,217,272,found_vs_notfound,1.0,False,False
buglocator,num_versions,0.0012714458939232101,0.977627076667309,489,217,272,found_vs_notfound,1.0,False,False
buglocator,has_os_info,-0.015519727054613254,0.7320985193503792,489,217,272,found_vs_notfound,1.0,False,False
buglocator,has_version_info,0.15797373790420177,0.00045416277052889083,489,217,272,found_vs_notfound,0.07539101990779588,False,False
buglocator,num_exception_types,0.035886198121729176,0.4284843066501315,489,217,272,found_vs_notfound,1.0,False,False
buglocator,stacktrace_depth,-0.07765428606989935,0.08627332992999595,489,217,272,found_vs_notfound,1.0,False,False
buglocator,num_caused_by,-0.0018069976918433789,0.9682075072833803,489,217,272,found_vs_notfound,1.0,False,False
buglocator,num_modal_verbs,0.005669325396625943,0.9004856271467394,489,217,272,found_vs_notfound,1.0,False,False
buglocator,num_negative_modals,-0.05254771926447019,0.2461166489866089,489,217,272,found_vs_notfound,1.0,False,False
buglocator,modal_density,0.09301511083960771,0.03977573631889077,489,217,272,found_vs_notfound,1.0,False,False
buglocator,redundancy,0.07421365332529979,0.10117721706011391,489,217,272,found_vs_notfound,1.0,False,False
buglocator,ambiguity,-0.02319478446065234,0.6088816892598161,489,217,272,found_vs_notfound,1.0,False,False
buglocator,actionability,0.2432137765786218,5.137082549332937e-08,489,217,272,found_vs_notfound,9.863198494719239e-06,True,True
buglocator,clarity,0.239440240577788,8.34855018068929e-08,489,217,272,found_vs_notfound,1.5862245343309652e-05,True,True
buglocator,specificity,0.22109669321888453,7.896234029672683e-07,489,217,272,found_vs_notfound,0.00014765957635487918,True,True
buglocator,expected_observed_alignment,0.24319017010517952,5.152841260616402e-08,489,217,272,found_vs_notfound,9.863198494719239e-06,True,True
buglocator,technical_depth,0.2048539200777813,4.9491174646776505e-06,489,217,272,found_vs_notfound,0.0009155867309653653,True,True
buglocator,hidden_s2r_present,-0.09144527892271831,0.04325675878530058,489,217,272,found_vs_notfound,1.0,False,False
buglocator,causal_reasoning_quality,0.27984600227182926,3.000036220452934e-10,489,217,272,found_vs_notfound,5.91007135429228e-08,True,True
buglocator,contradiction_present,-0.04043295699762562,0.37229402984690696,489,217,272,found_vs_notfound,1.0,False,False
buglocator,repair_difficulty,-0.2861493621859338,1.1422526308234507e-10,489,217,272,found_vs_notfound,2.273082735338667e-08,True,True
buglocator,description_length,0.005964748104167791,0.8953290565145637,489,217,272,found_vs_notfound,1.0,False,False
buglocator,confidence,0.23255612418906196,1.9831880295036598e-07,489,217,272,found_vs_notfound,3.748225375761917e-05,True,True
buglocator,fine_grained_confidence,0.23382418186848208,2.2014010801245795e-07,480,212,268,found_vs_notfound,4.138634030634209e-05,True,True
buglocator,has_OB,0.01746312383151998,0.7000824669446436,489,217,272,found_vs_notfound,1.0,False,False
buglocator,has_EB,0.054419654839221676,0.22966934997481717,489,217,272,found_vs_notfound,1.0,False,False
buglocator,missing_OB,-0.01746312383151999,0.7000824669446436,489,217,272,found_vs_notfound,1.0,False,False
buglocator,missing_EB,-0.05441965483922166,0.22966934997481717,489,217,272,found_vs_notfound,1.0,False,False
buglocator,num_OB,-0.055799496369426146,0.218055420210241,489,217,272,found_vs_notfound,1.0,False,False
buglocator,num_EB,0.024863411955141843,0.5833548899069312,489,217,272,found_vs_notfound,1.0,False,False
locus,summary_chars,0.17172271419952817,0.00013561698271986932,489,185,304,found_vs_notfound,0.023054887062377783,True,False
locus,description_chars,-0.04553341264148292,0.31497371981336886,489,185,304,found_vs_notfound,1.0,False,False
locus,n_tokens,-0.022105486433424804,0.6258085445043245,489,185,304,found_vs_notfound,1.0,False,False
locus,n_words,-0.038708306951643116,0.3930498014193155,489,185,304,found_vs_notfound,1.0,False,False
locus,n_sentences,-0.05911853341796208,0.19185728159606288,489,185,304,found_vs_notfound,1.0,False,False
locus,flesch_reading_ease,0.13888494013378874,0.002149377078009863,486,185,301,found_vs_notfound,0.3417509554035682,False,False
locus,smog_index,-0.058003986874961236,0.20177752902837334,486,185,301,found_vs_notfound,1.0,False,False
locus,gunning_fog,-0.05300976869678044,0.24343945222760907,486,185,301,found_vs_notfound,1.0,False,False
locus,coleman_liau_index,-0.14783639362411005,0.0010804306565462727,486,185,301,found_vs_notfound,0.17719062767358873,False,False
locus,automated_readability_index,-0.14774261336703132,0.0010884631504653132,486,185,301,found_vs_notfound,0.17741949352584604,False,False
locus,has_stacktrace,-0.04140538264659517,0.3608954932204296,489,185,304,found_vs_notfound,1.0,False,False
locus,has_code,0.016623006021901407,0.7138615772312159,489,185,304,found_vs_notfound,1.0,False,False
locus,has_patch,-0.025925536174492583,0.5673699205668141,489,185,304,found_vs_notfound,1.0,False,False
locus,has_enumeration,0.07144226850312088,0.114611348189418,489,185,304,found_vs_notfound,1.0,False,False
locus,num_causal_markers,0.025771694711470384,0.5696722320686561,489,185,304,found_vs_notfound,1.0,False,False
locus,num_temporal_markers,-0.04482602880171366,0.3225585238398443,489,185,304,found_vs_notfound,1.0,False,False
locus,causal_density,0.10828357496760416,0.016600838019700276,489,185,304,found_vs_notfound,1.0,False,False
locus,temporal_density,-0.040044336163914354,0.3769108851192,489,185,304,found_vs_notfound,1.0,False,False
locus,num_os_mentions,-0.020704400268591674,0.6478717686269766,489,185,304,found_vs_notfound,1.0,False,False
locus,num_browser_mentions,-0.008059745481811709,0.8588999287802155,489,185,304,found_vs_notfound,1.0,False,False
locus,num_env_mentions,-0.048944798075674145,0.280048357911891,489,185,304,found_vs_notfound,1.0,False,False
