tool,feature,corr,pval,n,n_found,n_not_found,analysis,pval_adj,reject,practically_significant
boostnsift,flesch_reading_ease,0.26254951922962355,2.876244011971412e-14,812,306,506,found_vs_notfound,4.76287815946334e-12,True,True
boostnsift,smog_index,-0.005848972224220586,0.8678305896475346,812,306,506,found_vs_notfound,1.0,False,False
boostnsift,gunning_fog,0.012971987976719692,0.7120600090773723,812,306,506,found_vs_notfound,1.0,False,False
boostnsift,coleman_liau_index,-0.28043353969238977,3.8636662631863146e-16,812,306,506,found_vs_notfound,6.529595984784872e-14,True,True
boostnsift,automated_readability_index,-0.28187913947326093,2.6889493775834703e-16,812,306,506,found_vs_notfound,4.5712139418918994e-14,True,True
boostnsift,has_stacktrace,-0.039943782116426144,0.248926294774302,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,has_code,0.07756955281256084,0.024993803865933018,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,has_patch,0.015531935890987112,0.6540296442289203,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,has_enumeration,0.06832311738134052,0.04842281522120982,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,num_causal_markers,0.01050647316391079,0.7617736735606027,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,num_temporal_markers,0.0542105492159948,0.11751437395078328,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,causal_density,0.12035023054607431,0.0004918620490262635,835,306,529,found_vs_notfound,0.0673851007165981,False,False
boostnsift,temporal_density,0.07051211123771667,0.04164729294447272,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,num_os_mentions,0.0468816731319284,0.1759199507111287,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,num_browser_mentions,-0.08676180014918203,0.012139059628686154,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,num_env_mentions,-0.07574004716006433,0.028634823629270986,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,num_versions,0.051298250368054896,0.13858321155237271,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,has_os_info,0.04726875518151532,0.17237505099770825,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,has_version_info,0.22120798952143392,1.0281098372142777e-10,835,306,529,found_vs_notfound,1.5730080509378448e-08,True,True
boostnsift,num_exception_types,-0.06335954497930193,0.06725639356523547,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,stacktrace_depth,-0.10461843318351718,0.0024709725387625013,835,306,529,found_vs_notfound,0.31628448496160017,False,False
boostnsift,num_caused_by,-0.05720738902917602,0.09854223367246788,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,num_modal_verbs,-0.042788138367176654,0.21678018670570548,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,num_negative_modals,-0.010355311705153875,0.7650997972129643,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,modal_density,-0.025731815663803014,0.4577450510528195,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,redundancy,0.028590029927190137,0.40932671668113685,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,ambiguity,0.050961507590781996,0.14119580875117027,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,actionability,0.3162450067328716,7.528635203983632e-21,835,306,529,found_vs_notfound,1.3551543367170537e-18,True,True
boostnsift,clarity,0.3134487577213063,1.7140691244901813e-20,835,306,529,found_vs_notfound,3.0681837328374245e-18,True,True
boostnsift,specificity,0.2861971818644318,3.3198316993271497e-17,835,306,529,found_vs_notfound,5.710110522842697e-15,True,True
boostnsift,expected_observed_alignment,0.3116607005567051,2.887513250841704e-20,835,306,529,found_vs_notfound,5.1108984539898166e-18,True,True
boostnsift,technical_depth,0.2613681546423642,1.6531729794757348e-14,835,306,529,found_vs_notfound,2.760798875724477e-12,True,True
boostnsift,hidden_s2r_present,-0.11012887456586858,0.0014362932871628345,835,306,529,found_vs_notfound,0.18815442061833132,False,False
boostnsift,causal_reasoning_quality,0.33550154011911304,2.0484073337383378e-23,835,306,529,found_vs_notfound,3.789553567415925e-21,True,True
boostnsift,contradiction_present,-0.026336002326921203,0.4472506578258984,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,repair_difficulty,-0.34150461462218606,2.9757065256690323e-24,835,306,529,found_vs_notfound,5.5943282682577805e-22,True,True
boostnsift,description_length,0.11184591508289903,0.0012068284019842892,835,306,529,found_vs_notfound,0.16050817746391047,False,False
boostnsift,confidence,0.30324704018767723,3.2038178921611563e-19,835,306,529,found_vs_notfound,5.574643132360412e-17,True,True
boostnsift,fine_grained_confidence,0.3154145245069561,3.254957371978207e-20,812,303,509,found_vs_notfound,5.728724974681644e-18,True,True
boostnsift,has_OB,0.08415285146752322,0.014999772051190977,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,has_EB,0.03944097578814656,0.25493823559781276,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,missing_OB,-0.08415285146752322,0.014999772051190977,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,missing_EB,-0.039440975788146565,0.25493823559781276,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,num_OB,-0.0036016339778985173,0.9172339736339068,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,num_EB,0.027576840778431474,0.42613195131531195,835,306,529,found_vs_notfound,1.0,False,False
buglocator,summary_chars,0.359193442839852,7.872967995226388e-27,835,312,523,found_vs_notfound,1.5352287590691457e-24,True,True
buglocator,description_chars,-0.07733672614029566,0.025433744951077555,835,312,523,found_vs_notfound,1.0,False,False
buglocator,n_tokens,-0.032578975979871215,0.34708762020073,835,312,523,found_vs_notfound,1.0,False,False
buglocator,n_words,-0.01131681024264785,0.7440194066401047,835,312,523,found_vs_notfound,1.0,False,False
buglocator,n_sentences,-0.0690593169829066,0.04604767420065313,835,312,523,found_vs_notfound,1.0,False,False
buglocator,flesch_reading_ease,0.2077230486319141,2.2956562954947244e-09,812,312,500,found_vs_notfound,3.420527880287139e-07,True,True
buglocator,smog_index,-0.04147061366262565,0.23783402160167247,812,312,500,found_vs_notfound,1.0,False,False
buglocator,gunning_fog,-0.025287555142402343,0.47177783254832084,812,312,500,found_vs_notfound,1.0,False,False
buglocator,coleman_liau_index,-0.22765540735317424,5.2537808279230114e-11,812,312,500,found_vs_notfound,8.090822475001438e-09,True,True
buglocator,automated_readability_index,-0.249680666386904,5.257468543854739e-13,812,312,500,found_vs_notfound,8.25422561385194e-11,True,True
buglocator,has_stacktrace,0.0503627091487449,0.14593466369703703,835,312,523,found_vs_notfound,1.0,False,False
buglocator,has_code,0.13436514998373136,9.839280690298817e-05,835,312,523,found_vs_notfound,0.013676600159515355,True,False
buglocator,has_patch,-0.015235200684694826,0.66022107592852,835,312,523,found_vs_notfound,1.0,False,False
buglocator,has_enumeration,0.09728460248734067,0.004898455381325484,835,312,523,found_vs_notfound,0.6172053780470109,False,False
buglocator,num_causal_markers,0.029890556969160428,0.3883423936828192,835,312,523,found_vs_notfound,1.0,False,False
buglocator,num_temporal_markers,0.07283122872784265,0.03536099091238635,835,312,523,found_vs_notfound,1.0,False,False
buglocator,causal_density,0.11282662948146562,0.0010914417734528951,835,312,523,found_vs_notfound,0.14625319764268793,False,False
buglocator,temporal_density,0.08053913345657396,0.019934203927442277,835,312,523,found_vs_notfound,1.0,False,False
buglocator,num_os_mentions,0.015538945890421917,0.653883664178578,835,312,523,found_vs_notfound,1.0,False,False
