project,bug_id,tool,detected,rank,mrr,map,duration_seconds,execution_timestamp,comparison_timestamp,cpu_avg_percent,cpu_max_percent,memory_avg_bytes,memory_max_bytes,memory_limit_bytes,network_rx_total_bytes,network_tx_total_bytes,disk_read_total_bytes,disk_write_total_bytes,top@1,top@5,top@10
Closure,101,BRaIn,Yes,1.0,1.0,1.0,N/A,2026-08-07T16:33:38.077290,2026-08-07T16:33:38.077290,,,,,,,,,,1,1,1
Closure,101,FlexFL,Yes,2,0.500000,0.500000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1
Closure,101,bluir,Yes,3,0.333333,0.333333,14.014477014541626,2026-07-23T10:18:48.953527,2026-08-02T09:17:04.967189,278.625,435.08,934184747.0,1512902230,134861973094,736,0,0,0,0,1,1
Closure,101,boostnsift,No,N/A,0.000000,0.000000,13.305076360702515,2026-07-23T10:18:53.624965,2026-08-02T09:17:04.967189,65.005,92.34,281752370.5,465358028,134861973094,516,0,0,N/A,0,0,0
Closure,101,buglocator,Yes,1,1.000000,1.000000,35.11619162559509,2026-08-02T09:57:25.059761,2026-08-03T08:48:34.293344,679.62,679.62,309015347.0,309015347,134861973094,486,0,0,0,1,1,1
Closure,101,locus,Yes,18,0.055556,0.055556,4.616114377975464,2026-07-23T10:18:31.802932,2026-08-03T08:48:34.293344,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Closure,102,BRaIn,No,,0.0,0.0,N/A,2026-08-07T16:33:38.077290,2026-08-07T16:33:38.077290,,,,,,,,,,0,0,0
Closure,102,FlexFL,No,N/A,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Closure,102,bluir,Yes,51,0.019608,0.019608,15.855037212371826,2026-07-24T07:50:04.019708,2026-08-02T09:17:04.967189,273.085,459.52,905959177.5,1471026298,134861973094,806,0,0,N/A,0,0,0
Closure,102,boostnsift,Yes,182,0.005495,0.005495,15.841938257217407,2026-07-24T07:50:06.088947,2026-08-02T09:17:04.967189,365.595,579.74,426980147.0,505099059,134861973094,586,0,0,0,0,0,0
Closure,102,buglocator,Yes,170,0.005882,0.005882,34.77606916427612,2026-08-02T09:57:41.147273,2026-08-03T08:48:34.293344,693.81,693.81,397305446.0,397305446,134861973094,516,0,0,0,0,0,0
Closure,102,locus,Yes,51,0.019608,0.019608,12.585148572921753,2026-08-02T09:57:03.558967,2026-08-03T08:48:34.293344,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Closure,103,BRaIn,Yes,5.0,0.2,0.2,N/A,2026-08-07T16:33:38.077290,2026-08-07T16:33:38.077290,,,,,,,,,,0,1,1
Closure,103,FlexFL,Yes,3,0.333333,0.333333,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1
Closure,103,bluir,Yes,11,0.090909,0.090909,13.845786333084106,2026-07-23T10:19:18.709743,2026-08-02T09:17:04.967189,257.19,379.5,941006782.0,1500017328,134861973094,736,0,0,0,0,0,0
Closure,103,boostnsift,Yes,273,0.003663,0.003663,16.645545959472656,2026-07-23T10:19:30.939885,2026-08-02T09:17:04.967189,17.213333333333335,49.17,193955102.33333334,558681292,134861973094,736,0,0,0,0,0,0
Closure,103,buglocator,Yes,86,0.011628,0.012436,33.16014838218689,2026-08-02T09:58:17.501197,2026-08-03T08:48:34.293344,622.97,622.97,349595238.0,349595238,134861973094,486,0,0,0,0,0,0
Closure,103,locus,Yes,123,0.008130,0.008130,4.982891082763672,2026-07-23T10:19:01.752598,2026-08-03T08:48:34.293344,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Closure,104,BRaIn,No,,0.0,0.0,N/A,2026-08-07T16:33:38.077290,2026-08-07T16:33:38.077290,,,,,,,,,,0,0,0
Closure,104,FlexFL,Yes,4,0.250000,0.250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1
Closure,104,bluir,Yes,100,0.010000,0.010000,14.670605421066284,2026-07-23T10:19:56.948964,2026-08-02T09:17:04.967189,226.88,364.3,859136065.0,1479616233,134861973094,736,0,0,0,0,0,0
Closure,104,boostnsift,Yes,90,0.011111,0.011111,14.705127716064453,2026-07-23T10:19:59.038082,2026-08-02T09:17:04.967189,113.7,143.68,290770124.5,454557696,134861973094,516,0,0,0,0,0,0
Closure,104,buglocator,Yes,312,0.003205,0.003205,31.376976251602173,2026-08-02T09:58:33.571966,2026-08-03T08:48:34.293344,774.91,774.91,344666931.0,344666931,134861973094,266,0,0,0,0,0,0
Closure,104,locus,Yes,86,0.011628,0.011628,5.079580307006836,2026-07-23T10:19:39.143643,2026-08-03T08:48:34.293344,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Closure,105,BRaIn,Yes,3.0,0.3333333333333333,0.3333333333333333,N/A,2026-08-07T16:33:38.077290,2026-08-07T16:33:38.077290,,,,,,,,,,0,1,1
Closure,105,FlexFL,Yes,1,1.000000,1.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Closure,105,bluir,Yes,9,0.111111,0.111111,14.595764875411987,2026-07-24T07:50:51.786905,2026-08-02T09:17:04.967189,274.2,427.03,902322716.5,1455993913,134861973094,516,0,0,0,0,0,1
Closure,105,boostnsift,Yes,246,0.004065,0.004065,12.647636651992798,2026-07-24T07:51:04.034995,2026-08-02T09:17:04.967189,32.004999999999995,62.98,242441256.5,461478297,134861973094,736,0,0,0,0,0,0
Closure,105,buglocator,Yes,58,0.017241,0.017241,36.245919704437256,2026-08-02T09:59:12.611960,2026-08-03T08:48:34.293344,643.4,643.4,357878988.0,357878988,134861973094,486,0,0,0,0,0,0
Closure,105,locus,No,N/A,0.000000,0.000000,12.48666787147522,2026-08-02T09:58:33.163234,2026-08-03T08:48:34.293344,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Closure,106,BRaIn,No,,0.0,0.0,N/A,2026-08-07T16:33:38.077290,2026-08-07T16:33:38.077290,,,,,,,,,,0,0,0
Closure,106,FlexFL,No,N/A,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Closure,106,bluir,Yes,86,0.011628,0.011628,14.989016056060791,2026-07-23T10:20:24.504783,2026-08-02T09:17:04.967189,144.23,288.46,317666099.0,635332198,134861973094,266,0,0,0,0,0,0
Closure,106,boostnsift,Yes,19,0.052632,0.052632,12.297229290008545,2026-07-23T10:20:34.394701,2026-08-02T09:17:04.967189,27.37,52.49,217763020.0,412404940,134861973094,736,0,0,0,0,0,0
Closure,106,buglocator,Yes,53,0.018868,0.014928,34.110077142715454,2026-08-02T09:59:22.293172,2026-08-03T08:48:34.293344,604.34,604.34,281962086.0,281962086,134861973094,486,0,0,N/A,0,0,0
Closure,106,locus,Yes,10,0.100000,0.100000,4.246121168136597,2026-07-23T10:20:06.402901,2026-08-03T08:48:34.293344,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1
