,Identifier,Active,Deprecated,alpharepair,arja-e,chatrepair,circle,coconut,codex,cure,dear,dlfix,fitrepair,gamma,iter,knod,liana,mcrepair,mulpor,rap-gen,recoder,repilot,rewardrepair,selfapr,t5apr,tare,tenure,thinkrepair,transfer
JacksonDatabind-91,JacksonDatabind,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,JacksonDatabind-91,
JacksonDatabind-92,JacksonDatabind,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
JacksonDatabind-93,JacksonDatabind,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,JacksonDatabind-93
JacksonDatabind-94,JacksonDatabind,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,JacksonDatabind-94
JacksonDatabind-95,JacksonDatabind,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,JacksonDatabind-95,,
JacksonDatabind-96,JacksonDatabind,TRUE,FALSE,JacksonDatabind-96,,JacksonDatabind-96,,,,,,,JacksonDatabind-96,JacksonDatabind-96,,JacksonDatabind-96,,,,,,,,,JacksonDatabind-96,,JacksonDatabind-96,,
JacksonDatabind-97,JacksonDatabind,TRUE,FALSE,,,JacksonDatabind-97,,,JacksonDatabind-97,,,,JacksonDatabind-97,,,JacksonDatabind-97,,,,,,,,,,,,JacksonDatabind-97,
JacksonDatabind-98,JacksonDatabind,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,JacksonDatabind-98
JacksonDatabind-99,JacksonDatabind,TRUE,FALSE,JacksonDatabind-99,,JacksonDatabind-99,,,JacksonDatabind-99,,,,JacksonDatabind-99,JacksonDatabind-99,,,,,JacksonDatabind-99,JacksonDatabind-99,,JacksonDatabind-99,JacksonDatabind-99,JacksonDatabind-99,JacksonDatabind-99,,,JacksonDatabind-99,
JacksonDatabind-100,JacksonDatabind,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
JacksonDatabind-101,JacksonDatabind,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,JacksonDatabind-101,,JacksonDatabind-101,,
JacksonDatabind-102,JacksonDatabind,TRUE,FALSE,,,,,,,,,,,JacksonDatabind-102,,JacksonDatabind-102,,,,JacksonDatabind-102,,,JacksonDatabind-102,JacksonDatabind-102,JacksonDatabind-102,,JacksonDatabind-102,JacksonDatabind-102,
JacksonDatabind-103,JacksonDatabind,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
JacksonDatabind-104,JacksonDatabind,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
JacksonDatabind-105,JacksonDatabind,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
JacksonDatabind-106,JacksonDatabind,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
JacksonDatabind-107,JacksonDatabind,TRUE,FALSE,,,,,,JacksonDatabind-107,,,,JacksonDatabind-107,,,,,,,JacksonDatabind-107,,,,,,,,,JacksonDatabind-107
JacksonDatabind-108,JacksonDatabind,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
JacksonDatabind-109,JacksonDatabind,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
JacksonDatabind-110,JacksonDatabind,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,JacksonDatabind-110
JacksonDatabind-111,JacksonDatabind,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
JacksonDatabind-112,JacksonDatabind,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
JacksonXml-1,JacksonXml,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,JacksonXml-1
JacksonXml-2,JacksonXml,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,JacksonXml-2
JacksonXml-3,JacksonXml,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,JacksonXml-3,JacksonXml-3,JacksonXml-3
JacksonXml-4,JacksonXml,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,JacksonXml-4
JacksonXml-5,JacksonXml,TRUE,FALSE,,,JacksonXml-5,,,,,,,,,,JacksonXml-5,,,,JacksonXml-5,,,,JacksonXml-5,,,,JacksonXml-5,JacksonXml-5
JacksonXml-6,JacksonXml,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,JacksonXml-6
Jsoup-1,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-2,Jsoup,TRUE,FALSE,,,,,,,,,,Jsoup-2,,,,,,,,,,,,,,,,
Jsoup-3,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-4,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-5,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-6,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,Jsoup-6,
Jsoup-7,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-8,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-9,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,Jsoup-9,,,,
Jsoup-10,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-11,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-12,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-13,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-14,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-15,Jsoup,TRUE,FALSE,Jsoup-15,,,,,,,,,Jsoup-15,,,,,,,,,Jsoup-15,,,Jsoup-15,,,,
Jsoup-16,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-17,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,Jsoup-17,,Jsoup-17,,Jsoup-17,,,,,
Jsoup-18,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-19,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,Jsoup-19,
Jsoup-20,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,Jsoup-20,
Jsoup-21,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-22,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-23,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,Jsoup-23,,,,,,,,,,
Jsoup-24,Jsoup,TRUE,FALSE,Jsoup-24,,,,,Jsoup-24,,,,,Jsoup-24,,Jsoup-24,,,,,Jsoup-24,Jsoup-24,Jsoup-24,Jsoup-24,Jsoup-24,Jsoup-24,Jsoup-24,Jsoup-24,
Jsoup-25,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-26,Jsoup,TRUE,FALSE,,,,,,Jsoup-26,,,,Jsoup-26,,,,,,Jsoup-26,,Jsoup-26,Jsoup-26,,,Jsoup-26,Jsoup-26,Jsoup-26,Jsoup-26,
Jsoup-27,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,Jsoup-27,,,,,,,,,Jsoup-27,
Jsoup-28,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-29,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-30,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-31,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-32,Jsoup,TRUE,FALSE,Jsoup-32,,Jsoup-32,,,,,,,Jsoup-32,Jsoup-32,,,,,,Jsoup-32,,Jsoup-32,,,Jsoup-32,,Jsoup-32,,
Jsoup-33,Jsoup,TRUE,FALSE,,,Jsoup-33,,,Jsoup-33,,,,,,,,,,,,,,,,,,,,
Jsoup-34,Jsoup,TRUE,FALSE,,,Jsoup-34,,,,,,,,,,,,,,,,,,,,,,Jsoup-34,
Jsoup-35,Jsoup,TRUE,FALSE,,,,,,Jsoup-35,,,,,,,,,,,,,,,,,,,,
Jsoup-36,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-37,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,Jsoup-37,,,,,,,,,,
Jsoup-38,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-39,Jsoup,TRUE,FALSE,Jsoup-39,,,,,Jsoup-39,,,,Jsoup-39,Jsoup-39,,Jsoup-39,,,Jsoup-39,,,Jsoup-39,,,Jsoup-39,Jsoup-39,Jsoup-39,,
Jsoup-40,Jsoup,TRUE,FALSE,Jsoup-40,,,,,Jsoup-40,,,,,Jsoup-40,,Jsoup-40,,,,Jsoup-40,Jsoup-40,Jsoup-40,,Jsoup-40,Jsoup-40,Jsoup-40,Jsoup-40,,
Jsoup-41,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,Jsoup-41,,Jsoup-41,,Jsoup-41,,,,Jsoup-41,
Jsoup-42,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-43,Jsoup,TRUE,FALSE,Jsoup-43,,Jsoup-43,,,Jsoup-43,Jsoup-43,,,Jsoup-43,Jsoup-43,,Jsoup-43,,,Jsoup-43,Jsoup-43,,Jsoup-43,Jsoup-43,,Jsoup-43,Jsoup-43,,Jsoup-43,
Jsoup-44,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-45,Jsoup,TRUE,FALSE,,,Jsoup-45,,,Jsoup-45,,,,Jsoup-45,,,,,,,Jsoup-45,,Jsoup-45,,Jsoup-45,Jsoup-45,,,Jsoup-45,
Jsoup-46,Jsoup,TRUE,FALSE,,,Jsoup-46,,,Jsoup-46,,,,,,,,,,Jsoup-46,,,Jsoup-46,,Jsoup-46,,,,,
Jsoup-47,Jsoup,TRUE,FALSE,,,Jsoup-47,,,Jsoup-47,,,,,,,,,,,,,,,,,,Jsoup-47,Jsoup-47,
Jsoup-48,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,Jsoup-48,
Jsoup-49,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,Jsoup-49,,Jsoup-49,,Jsoup-49,Jsoup-49,
Jsoup-50,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-51,Jsoup,TRUE,FALSE,,,,,,,,,,Jsoup-51,,,,,,,,,Jsoup-51,,,,,,Jsoup-51,
Jsoup-52,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,Jsoup-52,,,,,,
Jsoup-53,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-54,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,Jsoup-54,,,,,,,,,Jsoup-54,
Jsoup-55,Jsoup,TRUE,FALSE,Jsoup-55,,Jsoup-55,,,Jsoup-55,,,,Jsoup-55,,,Jsoup-55,,,,,Jsoup-55,Jsoup-55,Jsoup-55,,,Jsoup-55,,Jsoup-55,
Jsoup-56,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-57,Jsoup,TRUE,FALSE,Jsoup-57,,Jsoup-57,,,Jsoup-57,,,,Jsoup-57,Jsoup-57,,,,,,Jsoup-57,,Jsoup-57,Jsoup-57,,Jsoup-57,Jsoup-57,,Jsoup-57,
Jsoup-58,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-59,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,Jsoup-59,,,,,,,,,Jsoup-59,
Jsoup-60,Jsoup,TRUE,FALSE,,,,,,,,,,,Jsoup-60,,,,,Jsoup-60,,,,,,,,,,
Jsoup-61,Jsoup,TRUE,FALSE,,,Jsoup-61,,,Jsoup-61,,,,Jsoup-61,Jsoup-61,,Jsoup-61,,,,,Jsoup-61,,,,,Jsoup-61,,,
Jsoup-62,Jsoup,TRUE,FALSE,Jsoup-62,,Jsoup-62,,,,,,,Jsoup-62,Jsoup-62,,,,,,Jsoup-62,,Jsoup-62,,Jsoup-62,Jsoup-62,,Jsoup-62,Jsoup-62,
Jsoup-63,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-64,Jsoup,TRUE,FALSE,,,,,,,,,,,Jsoup-64,,,,,,,Jsoup-64,,Jsoup-64,,,Jsoup-64,Jsoup-64,Jsoup-64,
Jsoup-65,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-66,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-67,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-68,Jsoup,TRUE,FALSE,,,,,,,Jsoup-68,,,,,,,,,Jsoup-68,Jsoup-68,Jsoup-68,,,Jsoup-68,Jsoup-68,Jsoup-68,Jsoup-68,Jsoup-68,
Jsoup-69,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-70,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-71,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-72,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,Jsoup-72,,,,,,,,,Jsoup-72,
Jsoup-73,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-74,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-75,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-76,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-77,Jsoup,TRUE,FALSE,,,Jsoup-77,,,,Jsoup-77,,,,,,Jsoup-77,,,Jsoup-77,,,Jsoup-77,,,Jsoup-77,Jsoup-77,,,
Jsoup-78,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-79,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-80,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,Jsoup-80,
Jsoup-81,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-82,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-83,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,Jsoup-83
Jsoup-84,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,Jsoup-84
Jsoup-85,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,Jsoup-85,Jsoup-85,Jsoup-85,Jsoup-85,Jsoup-85
Jsoup-86,Jsoup,TRUE,FALSE,,,Jsoup-86,,,,,,,Jsoup-86,Jsoup-86,,,,,Jsoup-86,Jsoup-86,,Jsoup-86,Jsoup-86,,Jsoup-86,,,Jsoup-86,Jsoup-86
Jsoup-87,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,Jsoup-87
Jsoup-88,Jsoup,TRUE,FALSE,,,Jsoup-88,,,,Jsoup-88,,,,,,Jsoup-88,,,,,,Jsoup-88,,,Jsoup-88,Jsoup-88,Jsoup-88,Jsoup-88,Jsoup-88
Jsoup-89,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,Jsoup-89,,Jsoup-89,Jsoup-89
Jsoup-90,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,Jsoup-90,Jsoup-90
Jsoup-91,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Jsoup-92,Jsoup,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,Jsoup-92
Jsoup-93,Jsoup,TRUE,FALSE,,,,,,Jsoup-93,,,,,,,,,,,,,,,,,,,,Jsoup-93
JxPath-1,JxPath,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,JxPath-1,,,,,,
JxPath-2,JxPath,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
JxPath-3,JxPath,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
JxPath-4,JxPath,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,JxPath-4
JxPath-5,JxPath,TRUE,FALSE,,,,,,,JxPath-5,,,,JxPath-5,,JxPath-5,,,JxPath-5,JxPath-5,,,JxPath-5,,JxPath-5,,,,JxPath-5
JxPath-6,JxPath,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,JxPath-6
JxPath-7,JxPath,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,JxPath-7
JxPath-8,JxPath,TRUE,FALSE,,,,,,,,,,,,,,,,JxPath-8,,,,,,,,,JxPath-8,JxPath-8
JxPath-9,JxPath,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,JxPath-9
JxPath-10,JxPath,TRUE,FALSE,JxPath-10,,,,,,JxPath-10,,,JxPath-10,,,,,,,,,JxPath-10,JxPath-10,,JxPath-10,,,,JxPath-10
JxPath-11,JxPath,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,JxPath-11
JxPath-12,JxPath,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,JxPath-12,,,,,JxPath-12
JxPath-13,JxPath,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,JxPath-13
JxPath-14,JxPath,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,JxPath-14
JxPath-15,JxPath,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,JxPath-15
JxPath-16,JxPath,TRUE,FALSE,,,,,,,,,,,JxPath-16,,JxPath-16,,,JxPath-16,,,,JxPath-16,,JxPath-16,,,,JxPath-16
JxPath-17,JxPath,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,JxPath-17
JxPath-18,JxPath,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,JxPath-18
JxPath-19,JxPath,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,JxPath-19
JxPath-20,JxPath,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,JxPath-20
JxPath-21,JxPath,TRUE,FALSE,,,,,,,,,,,,,JxPath-21,,,JxPath-21,,,,,,,,,,JxPath-21
JxPath-22,JxPath,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,JxPath-22,JxPath-22
Lang-1,Lang,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Lang-2,Lang,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Lang-3,Lang,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Lang-4,Lang,TRUE,FALSE,Lang-4,,,,,,,,,Lang-4,,,,,,Lang-4,,,,,,,,Lang-4,,
Lang-5,Lang,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Lang-6,Lang,TRUE,FALSE,Lang-6,,,Lang-6,,,Lang-6,Lang-6,Lang-6,Lang-6,,Lang-6,Lang-6,Lang-6,Lang-6,Lang-6,Lang-6,Lang-6,Lang-6,Lang-6,Lang-6,,Lang-6,Lang-6,,
Lang-7,Lang,TRUE,FALSE,Lang-7,Lang-7,,,,,,,Lang-7,,,,,,,,Lang-7,Lang-7,,,Lang-7,Lang-7,,Lang-7,,
Lang-8,Lang,TRUE,FALSE,,,,,,,,,,Lang-8,,,,,,,,,,,,,,,,
Lang-9,Lang,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Lang-10,Lang,TRUE,FALSE,Lang-10,,,Lang-10,Lang-10,,Lang-10,,,,,,Lang-10,,Lang-10,,Lang-10,,,,Lang-10,Lang-10,Lang-10,Lang-10,,
Lang-11,Lang,TRUE,FALSE,,,Lang-11,,,,,,,Lang-11,,,,,,,,,,,,,,,Lang-11,
Lang-12,Lang,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Lang-13,Lang,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Lang-14,Lang,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,Lang-14,
Lang-15,Lang,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Lang-16,Lang,TRUE,FALSE,,,Lang-16,,,,,,,Lang-16,,,,,,Lang-16,,,,,,,Lang-16,Lang-16,Lang-16,
Lang-17,Lang,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,Lang-17,
Lang-18,Lang,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Lang-19,Lang,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Lang-20,Lang,TRUE,FALSE,,Lang-20,,,,,,,,,,,,,,Lang-20,,,,,,Lang-20,,,,
Lang-21,Lang,TRUE,FALSE,,,Lang-21,,,Lang-21,,,,Lang-21,,,Lang-21,,,,,,Lang-21,Lang-21,Lang-21,Lang-21,,Lang-21,Lang-21,
Lang-22,Lang,TRUE,FALSE,,,,Lang-22,,,,,Lang-22,,,,,,,,,,,,,Lang-22,,,,
Lang-23,Lang,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Lang-24,Lang,TRUE,FALSE,Lang-24,Lang-24,Lang-24,,,Lang-24,,,,Lang-24,,,,Lang-24,,Lang-24,,,Lang-24,,,Lang-24,Lang-24,Lang-24,Lang-24,
Lang-25,Lang,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Lang-26,Lang,TRUE,FALSE,,,Lang-26,Lang-26,Lang-26,Lang-26,Lang-26,,,Lang-26,,Lang-26,,Lang-26,,Lang-26,Lang-26,Lang-26,Lang-26,,Lang-26,Lang-26,Lang-26,,,
Lang-27,Lang,TRUE,FALSE,,,Lang-27,,,,,Lang-27,,,,,,,,,,,,,,,,,,
Lang-28,Lang,TRUE,FALSE,,,Lang-28,,,,,,,,,,,,,,,,,,,,,,Lang-28,
Lang-29,Lang,TRUE,FALSE,Lang-29,,Lang-29,Lang-29,Lang-29,Lang-29,Lang-29,,,Lang-29,,,Lang-29,,Lang-29,,Lang-29,Lang-29,Lang-29,Lang-29,Lang-29,Lang-29,Lang-29,,Lang-29,
Lang-30,Lang,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Lang-31,Lang,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Lang-32,Lang,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Lang-33,Lang,TRUE,FALSE,Lang-33,Lang-33,Lang-33,Lang-33,Lang-33,Lang-33,,Lang-33,Lang-33,Lang-33,,,Lang-33,Lang-33,,Lang-33,,Lang-33,Lang-33,Lang-33,Lang-33,,Lang-33,Lang-33,Lang-33,
Lang-34,Lang,TRUE,FALSE,,Lang-34,,Lang-34,,,,,,,,Lang-34,,,Lang-34,,Lang-34,,,,Lang-34,,,,,
Lang-35,Lang,TRUE,FALSE,,,,,,,,,,,,,,,,Lang-35,Lang-35,,,,,Lang-35,,,,
Lang-36,Lang,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Lang-37,Lang,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Lang-38,Lang,TRUE,FALSE,,,Lang-38,,,Lang-38,Lang-38,,,Lang-38,,,Lang-38,Lang-38,,,,Lang-38,Lang-38,,,,Lang-38,Lang-38,,
Lang-39,Lang,TRUE,FALSE,,Lang-39,Lang-39,,,,,,,,,,,,,,,,Lang-39,,,,,Lang-39,,
Lang-40,Lang,TRUE,FALSE,,,Lang-40,,,,,,,,,,,,,,,,,,,,,,Lang-40,
Lang-41,Lang,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Lang-42,Lang,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,Lang-42,
Lang-43,Lang,TRUE,FALSE,Lang-43,Lang-43,Lang-43,,,Lang-43,Lang-43,Lang-43,Lang-43,Lang-43,,Lang-43,Lang-43,,Lang-43,Lang-43,,Lang-43,Lang-43,,,Lang-43,Lang-43,Lang-43,Lang-43,
Lang-44,Lang,TRUE,FALSE,,Lang-44,Lang-44,,,,,,,,,,,,,Lang-44,,,Lang-44,,,,,,,
Lang-45,Lang,TRUE,FALSE,Lang-45,,Lang-45,,,,,,,Lang-45,,,,Lang-45,,Lang-45,,,Lang-45,Lang-45,Lang-45,,Lang-45,,Lang-45,
Lang-46,Lang,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,Lang-46,Lang-46,Lang-46,,
Lang-47,Lang,TRUE,FALSE,,,,,,,,Lang-47,,,,Lang-47,,,,Lang-47,,,,,,,,Lang-47,,
Lang-48,Lang,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Lang-49,Lang,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Lang-50,Lang,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Lang-51,Lang,TRUE,FALSE,Lang-51,,Lang-51,Lang-51,Lang-51,Lang-51,Lang-51,,Lang-51,Lang-51,,Lang-51,Lang-51,Lang-51,Lang-51,Lang-51,Lang-51,Lang-51,Lang-51,,Lang-51,Lang-51,,,Lang-51,
Lang-52,Lang,TRUE,FALSE,,,Lang-52,,,,,,,Lang-52,,,,,,,Lang-52,,Lang-52,,,,,,Lang-52,
Lang-53,Lang,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Lang-54,Lang,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Lang-55,Lang,TRUE,FALSE,Lang-55,,Lang-55,,,,,,,Lang-55,,Lang-55,,Lang-55,,Lang-55,,Lang-55,,,,,Lang-55,Lang-55,Lang-55,
Lang-56,Lang,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Lang-57,Lang,TRUE,FALSE,,,Lang-57,,Lang-57,Lang-57,Lang-57,Lang-57,Lang-57,Lang-57,,Lang-57,Lang-57,,Lang-57,Lang-57,Lang-57,Lang-57,Lang-57,Lang-57,Lang-57,Lang-57,Lang-57,Lang-57,,
Lang-58,Lang,TRUE,FALSE,,,,,,,,,,,,,,,,Lang-58,,,,,Lang-58,,,,Lang-58,
Lang-59,Lang,TRUE,FALSE,Lang-59,,Lang-59,Lang-59,Lang-59,Lang-59,Lang-59,Lang-59,Lang-59,Lang-59,,Lang-59,Lang-59,Lang-59,Lang-59,Lang-59,,Lang-59,Lang-59,Lang-59,Lang-59,Lang-59,Lang-59,Lang-59,Lang-59,
Lang-60,Lang,TRUE,FALSE,,,,Lang-60,,,,Lang-60,,,,,,,,Lang-60,Lang-60,,,,Lang-60,,,,,
Lang-61,Lang,TRUE,FALSE,Lang-61,Lang-61,Lang-61,,,Lang-61,,,,Lang-61,,,Lang-61,,,Lang-61,,,,,,,,,Lang-61,
