tool,label_mode,base_prefix,feature,n_pos,n_neg,median_pos,median_neg,u_stat,p_value,cliffs_delta,pval_adj,reject,abs_delta
buglocator,winner,mrr,potential_vague_steps,70,765,0.0,0.0,26635.0,0.5458990768442591,-0.00522875816993464,1.0,False,0.00522875816993464
buglocator,winner,mrr,num_steps,70,765,0.0,0.0,26807.5,0.9331418755334921,0.0012138188608776844,1.0,False,0.0012138188608776844
buglocator,winner,mrr,avg_step_length,70,765,0.0,0.0,26803.5,0.9414847438322496,0.0010644257703081232,1.0,False,0.0010644257703081232
buglocator,winner,mrr,steps_with_specific_actions,70,765,0.0,0.0,26775.0,1.0,0.0,1.0,False,0.0
buglocator,winner,mrr,potential_ambiguous_steps,70,765,0.0,0.0,26775.0,1.0,0.0,1.0,False,0.0
buglocator,winner,mrr,behavior_verb_count,70,765,0.0,0.0,26775.0,1.0,0.0,1.0,False,0.0
buglocator,winner,mrr,behavior_verb_density,70,765,0.0,0.0,26775.0,1.0,0.0,1.0,False,0.0
buglocator,winner,mrr,has_S2R,70,765,0.0,0.0,26775.0,1.0,0.0,1.0,False,0.0
buglocator,winner,mrr,missing_S2R,70,765,1.0,1.0,26775.0,1.0,0.0,1.0,False,0.0
buglocator,winner,mrr,num_S2R,70,765,0.0,0.0,26775.0,1.0,0.0,1.0,False,0.0
buglocator,winner,mrr,completeness_score,1,10,1.0,1.0,,,,,False,
buglocator,winner,mrr,specificity_score,1,10,0.0,0.0,,,,,False,
