tool,label_mode,base_prefix,feature,n_pos,n_neg,median_pos,median_neg,u_stat,p_value,cliffs_delta,p_adj,reject,abs_delta
buglocator__is_missing,winner,mrr,txt_title_avg_word_len,22,813,1.0518084899341353,-0.3969089280843749,15067.0,1.8408303330802452e-09,0.6847813932684781,1.7671971197570355e-07,True,0.6847813932684781
buglocator__is_missing,winner,mrr,summary_chars,22,813,1.1884033555844271,-0.8087090999825624,14926.0,6.740673328697478e-09,0.6690148719669015,6.403639662262604e-07,True,0.6690148719669015
buglocator__is_missing,winner,mrr,txt_title_char_len,22,813,1.1884033555844271,-0.8087090999825624,14926.0,6.740673328697478e-09,0.6690148719669015,6.403639662262604e-07,True,0.6690148719669015
buglocator__is_missing,winner,mrr,txt_title_word_count,22,813,1.1193431006509886,-0.7977119766339881,14312.0,1.949894146227895e-07,0.6003578217600358,1.813401555991942e-05,True,0.6003578217600358
buglocator__is_missing,winner,mrr,txt_title_avg_words_per_line,22,813,1.1193431006509886,-0.7977119766339881,14312.0,1.949894146227895e-07,0.6003578217600358,1.813401555991942e-05,True,0.6003578217600358
buglocator__is_missing,winner,mrr,num_versions,22,813,0.2309041874383317,-0.1639183310142423,14070.0,1.5089238073151955e-06,0.5732975511573297,0.0001373120664656828,True,0.5732975511573297
buglocator__is_missing,winner,mrr,txt_title_avg_sentence_len,22,813,0.5768488434935563,-0.7028777703161503,13422.5,1.4179543023302183e-05,0.5008945544000895,0.0012619793290738943,True,0.5008945544000895
buglocator__is_missing,winner,mrr,txt_title_digit_density,22,813,0.47337076288232505,-0.6450552541976355,13382.0,1.2838341851732914e-05,0.49636587274963656,0.0011554507666559622,True,0.49636587274963656
buglocator__is_missing,winner,mrr,repair_difficulty,22,813,-0.6545677804703322,0.0684006013983548,4682.5,7.649144067980197e-05,-0.4764061276976406,0.0067312467798225735,True,0.4764061276976406
buglocator__is_missing,winner,mrr,txt_likely_impacted_code_concepts_avg_word_len,22,813,0.48523581325800147,-0.1462390483573012,12477.0,0.0013900459261037353,0.39516940623951696,0.12093399557102497,False,0.39516940623951696
buglocator__is_missing,winner,mrr,description_chars,22,813,0.2169684369945194,-0.1388117080636774,12471.5,0.0014652096205460823,0.3945544000894554,0.12600802736696307,False,0.3945544000894554
buglocator__is_missing,winner,mrr,description_length,22,813,0.2169684369945194,-0.1388117080636774,12471.5,0.0014652096205460823,0.3945544000894554,0.12600802736696307,False,0.3945544000894554
buglocator__is_missing,winner,mrr,n_tokens,22,813,0.0056989397887665,-0.180245829268484,11773.5,0.010870923751491781,0.31650452868165047,0.8588029763678507,False,0.31650452868165047
buglocator__is_missing,winner,mrr,concept_num_concepts,22,813,0.410786675927473,0.410786675927473,11665.0,0.009806793050414092,0.3043721346304372,0.7943502370835415,False,0.3043721346304372
buglocator__is_missing,winner,mrr,actionability,22,813,0.8491089986580442,0.343037611163778,11657.5,0.010617944277013822,0.30353348988035334,0.8494355421611057,False,0.30353348988035334
buglocator__is_missing,winner,mrr,specificity,22,813,0.8878201148650916,0.3779646843889213,11617.0,0.012382944913658716,0.2990048082299005,0.9658697032653799,False,0.2990048082299005
buglocator__is_missing,winner,mrr,n_words,22,813,0.011569433166560748,-0.1560017150394803,11398.5,0.027149403455021984,0.27457229117745724,1.0,False,0.27457229117745724
buglocator__is_missing,winner,mrr,expected_observed_alignment,22,813,0.7027131095927159,0.7027131095927159,11341.5,0.016444354963173317,0.26819859107681987,1.0,False,0.26819859107681987
buglocator__is_missing,winner,mrr,causal_reasoning_quality,22,813,0.8480647640971679,0.3479700762291345,11329.0,0.024525383106482987,0.26680084982668006,1.0,False,0.26680084982668006
buglocator__is_missing,winner,mrr,clarity,22,813,0.7623879238337528,0.2638805499878769,11320.0,0.02246082365485252,0.26579447612657947,1.0,False,0.26579447612657947
buglocator__is_missing,winner,mrr,txt_reasoning_avg_word_len,22,813,0.37528880436849554,-0.0701052877682926,11292.5,0.03534890201229369,0.26271944537627195,1.0,False,0.26271944537627195
buglocator__is_missing,winner,mrr,confidence,22,813,0.5605334956487706,0.5605334956487706,11176.0,0.007171337150060345,0.24969249692496925,0.602392320605069,False,0.24969249692496925
buglocator__is_missing,winner,mrr,txt_reasoning_char_len,22,813,0.2518340791951691,-0.0537582193922193,11157.0,0.0473655352735399,0.2475679302247568,1.0,False,0.2475679302247568
buglocator__is_missing,winner,mrr,concept_is_missing,22,813,0.0,0.0,6776.0,0.008310291248903385,-0.24231242312423124,0.689754173658981,False,0.24231242312423124
buglocator__is_missing,winner,mrr,txt_likely_impacted_code_concepts_char_len,22,813,0.4706215852706007,0.231838324341203,11062.0,0.05604981564232,0.23694509672369451,1.0,False,0.23694509672369451
buglocator__is_missing,winner,mrr,automated_readability_index,22,813,-0.3399726940030709,0.0,6934.0,0.0701029260263696,-0.2246449737224645,1.0,False,0.2246449737224645
buglocator__is_missing,winner,mrr,n_sentences,22,813,-0.1859588018562962,-0.2877121436321856,10918.5,0.07432341525090605,0.2208990271720899,1.0,False,0.2208990271720899
buglocator__is_missing,winner,mrr,technical_depth,22,813,0.627005794172899,0.0747380324277821,10836.0,0.08081397651176603,0.2116739349211674,1.0,False,0.2116739349211674
buglocator__is_missing,winner,mrr,causal_density,22,813,0.11629152917211981,-0.2993513391563466,10820.5,0.08184072732520994,0.20994073577099406,1.0,False,0.20994073577099406
buglocator__is_missing,winner,mrr,coleman_liau_index,22,813,-0.36923225544120497,0.0,7161.5,0.1082575546022032,-0.1992060829699206,1.0,False,0.1992060829699206
buglocator__is_missing,winner,mrr,num_causal_markers,22,813,0.0114170411204825,-0.3063572700662809,10645.5,0.1127077769102488,0.19037235826903723,1.0,False,0.19037235826903723
buglocator__is_missing,winner,mrr,txt_title_uniq_word_ratio,22,813,0.2980059992364837,0.2980059992364837,7401.5,0.009586670222434111,-0.17236945096723694,0.7861069582395971,False,0.17236945096723694
buglocator__is_missing,winner,mrr,temporal_density,22,813,-0.3900815958732137,-0.3900815958732137,10418.5,0.06733643241420051,0.16498937716649895,1.0,False,0.16498937716649895
buglocator__is_missing,winner,mrr,num_temporal_markers,22,813,-0.4193145459843463,-0.4193145459843463,10351.5,0.08008765215910381,0.15749748406574976,1.0,False,0.15749748406574976
buglocator__is_missing,winner,mrr,num_os_mentions,22,813,-0.2885461103278597,-0.2885461103278597,10248.0,0.014935393129174721,0.1459241865145924,1.0,False,0.1459241865145924
buglocator__is_missing,winner,mrr,concept__json_parsing,22,813,0.0,0.0,7678.0,0.057716887390607007,-0.14145141451414514,1.0,False,0.14145141451414514
buglocator__is_missing,winner,mrr,txt_reasoning_word_count,22,813,0.34434999173244263,-0.0520275146041847,10185.0,0.2654446929462725,0.13887957061388795,1.0,False,0.13887957061388795
buglocator__is_missing,winner,mrr,txt_reasoning_avg_words_per_line,22,813,0.34434999173244263,-0.0520275146041847,10185.0,0.2654446929462725,0.13887957061388795,1.0,False,0.13887957061388795
buglocator__is_missing,winner,mrr,flesch_reading_ease,22,813,0.33390079161260394,0.0,10168.5,0.26929672005941496,0.13703455216370344,1.0,False,0.13703455216370344
buglocator__is_missing,winner,mrr,txt_reasoning_hedge_count,22,813,-0.3672299048237222,-0.3672299048237222,7744.0,0.06611987508653365,-0.13407134071340712,1.0,False,0.13407134071340712
buglocator__is_missing,winner,mrr,txt_reasoning_hedge_density,22,813,-0.3595077050751572,-0.3595077050751572,7744.0,0.06665176862305873,-0.13407134071340712,1.0,False,0.13407134071340712
buglocator__is_missing,winner,mrr,modal_density,22,813,-0.4027306163978752,-0.4027306163978752,10103.5,0.22790060667847778,0.12976629766297662,1.0,False,0.12976629766297662
buglocator__is_missing,winner,mrr,num_exception_types,22,813,-0.483143410793786,-0.483143410793786,7833.0,0.18600428133110425,-0.12411942301241194,1.0,False,0.12411942301241194
buglocator__is_missing,winner,mrr,txt_likely_impacted_code_concepts_avg_sentence_len,22,813,0.4260181358690711,0.4260181358690711,10014.0,0.32939819535681436,0.11975847031197585,1.0,False,0.11975847031197585
buglocator__is_missing,winner,mrr,txt_likely_impacted_code_concepts_word_count,22,813,0.4241697786235321,0.4241697786235321,9995.0,0.3380386985738618,0.11763390361176339,1.0,False,0.11763390361176339
buglocator__is_missing,winner,mrr,txt_likely_impacted_code_concepts_avg_words_per_line,22,813,0.4241697786235321,0.4241697786235321,9995.0,0.3380386985738618,0.11763390361176339,1.0,False,0.11763390361176339
buglocator__is_missing,winner,mrr,smog_index,22,813,0.1136545789016118,0.0,9890.5,0.3930687995505927,0.10594878676059488,1.0,False,0.10594878676059488
buglocator__is_missing,winner,mrr,txt_reasoning_avg_sentence_len,22,813,0.39455947176802564,-0.0140365238068689,9857.5,0.4125515007743302,0.10225874986022587,1.0,False,0.10225874986022587
buglocator__is_missing,winner,mrr,num_modal_verbs,22,813,-0.4739739937510887,-0.4739739937510887,9806.5,0.36780185261870035,0.0965559655596556,1.0,False,0.0965559655596556
buglocator__is_missing,winner,mrr,txt_reasoning_has_code_like,22,813,0.0,0.0,8140.0,0.14170369403198915,-0.0897908979089791,1.0,False,0.0897908979089791
buglocator__is_missing,winner,mrr,concept__serialization,22,813,0.0,0.0,9744.5,0.055201695418189,0.08962316895896232,1.0,False,0.08962316895896232
buglocator__is_missing,winner,mrr,concept__string_manipulation,22,813,0.0,0.0,9733.5,0.061555203884532,0.08839315665883932,1.0,False,0.08839315665883932
buglocator__is_missing,winner,mrr,gunning_fog,22,813,-0.189176246140518,0.0,8236.0,0.524053399403327,-0.07905624510790563,1.0,False,0.07905624510790563
buglocator__is_missing,winner,mrr,concept__html_parsing,22,813,0.0,0.0,8360.0,0.21657223533117187,-0.06519065190651907,1.0,False,0.06519065190651907
buglocator__is_missing,winner,mrr,txt_reasoning_digit_density,22,813,-0.2000607604811333,-0.2000607604811333,9519.0,0.24209147286530586,0.06440791680644078,1.0,False,0.06440791680644078
buglocator__is_missing,winner,mrr,num_env_mentions,22,813,-0.1832509143774962,-0.1832509143774962,9469.0,0.13110757712263316,0.058816951805881694,1.0,False,0.058816951805881694
buglocator__is_missing,winner,mrr,txt_reasoning_uniq_word_ratio,22,813,0.09945604162177005,0.0702994725319532,8427.0,0.6441880447849976,-0.05769875880576988,1.0,False,0.05769875880576988
buglocator__is_missing,winner,mrr,ambiguity,22,813,-0.4907106382626674,-0.4907106382626674,8452.5,0.5903381153038838,-0.05484736665548474,1.0,False,0.05484736665548474
buglocator__is_missing,winner,mrr,stacktrace_depth,22,813,-0.2020454871191188,-0.2020454871191188,8558.5,0.47981483213577114,-0.04299452085429945,1.0,False,0.04299452085429945
buglocator__is_missing,winner,mrr,completeness_score,22,813,0.0,0.0,9325.5,0.08312941651474096,0.04277088225427709,1.0,False,0.04277088225427709
buglocator__is_missing,winner,mrr,steps_with_objects,22,813,-0.0919462140612284,-0.0919462140612284,9283.5,0.053764554953292486,0.038074471653807444,1.0,False,0.038074471653807444
buglocator__is_missing,winner,mrr,redundancy,22,813,-0.08922225695757541,0.1838575109134011,8610.0,0.7647643204497587,-0.03723582690372358,1.0,False,0.03723582690372358
buglocator__is_missing,winner,mrr,concept__reflection,22,813,0.0,0.0,8613.0,0.35982421528012287,-0.03690036900369004,1.0,False,0.03690036900369004
buglocator__is_missing,winner,mrr,num_steps,22,813,-0.1155400993729311,-0.1155400993729311,9239.5,0.17935993950469076,0.033154422453315444,1.0,False,0.033154422453315444
buglocator__is_missing,winner,mrr,avg_step_length,22,813,-0.1000225746852922,-0.1000225746852922,9238.0,0.1815866297221269,0.03298669350329867,1.0,False,0.03298669350329867
buglocator__is_missing,winner,mrr,concept__deserialization,22,813,0.0,0.0,8700.5,0.6279111164653818,-0.02711618025271162,1.0,False,0.02711618025271162
buglocator__is_missing,winner,mrr,txt_likely_impacted_code_concepts_digit_density,22,813,-0.1486940122073022,-0.1486940122073022,8701.0,0.435527385225563,-0.02706027060270603,1.0,False,0.02706027060270603
buglocator__is_missing,winner,mrr,txt_likely_impacted_code_concepts_has_code_like,22,813,0.0,0.0,8734.0,0.4695752575807097,-0.023370233702337023,1.0,False,0.023370233702337023
