tool,feature,unique_n,others_n,unique_median,others_median,unique_mean,others_mean,median_diff,u_statistic,p_value,cliffs_delta,effect_size,pval_adj,reject,significant,abs_delta,practically_significant
BRaIn,causal_consistency,25,37,0.7588928940000157,0.8824212059501698,0.7689285707477596,0.8595995268346467,-0.12352831195015412,255.5,0.003042901371514503,-0.44756756756756755,medium,0.15823087131875416,False,False,0.44756756756756755,False
BRaIn,embedding_cluster_distance,25,37,0.0714408048351406,0.5473030506212322,0.07699908742499523,0.6063810512901753,-0.4758622457860916,282.0,0.009791247811906824,-0.3902702702702703,medium,0.49935363840724806,False,False,0.3902702702702703,False
BRaIn,flesch,25,37,22.79,36.96,0.12079999999999984,32.73324324324324,-14.170000000000002,302.0,0.021670001149370993,-0.34702702702702704,medium,1.0,False,False,0.34702702702702704,False
BRaIn,num_causal_markers,25,37,-0.4554019288379759,0.1491459417180017,0.17332785654024085,0.263519863174538,-0.6045478705559776,308.0,0.025270792287369493,-0.33405405405405403,medium,1.0,False,False,0.33405405405405403,False
BRaIn,ari,25,37,22.5,20.0,31.76,21.23783783783784,2.5,615.0,0.029139073100097685,0.32972972972972975,small,1.0,False,False,0.32972972972972975,False
BRaIn,kincaid,25,37,13.9,12.6,17.135999999999996,12.51891891891892,1.3000000000000007,606.0,0.04010817652881061,0.31027027027027027,small,1.0,False,False,0.31027027027027027,False
BRaIn,z_repair_readiness,25,37,0.3973597071195131,0.8798826901281197,0.293890297404711,0.6448043854797196,-0.48252298300860663,325.5,0.050027749106661586,-0.29621621621621624,small,1.0,False,False,0.29621621621621624,False
BRaIn,buggy_vocab_size,25,35,301.0,239.0,387.0,284.14285714285717,62.0,552.5,0.08598417458626588,0.26285714285714284,small,1.0,False,False,0.26285714285714284,False
BRaIn,technical_completeness,25,37,0.5,0.7,0.4706666666666668,0.6288288288288288,-0.19999999999999996,348.0,0.09406763814226687,-0.24756756756756756,small,1.0,False,False,0.24756756756756756,False
BRaIn,cohens_kappa,25,37,0.5789473684210528,0.7264957264957264,0.5828408006874487,0.6933272412140725,-0.1475483580746736,348.5,0.10334710955558685,-0.2464864864864865,small,1.0,False,False,0.2464864864864865,False
BRaIn,quality_composite,25,37,0.6,0.7,0.556,0.6918918918918919,-0.09999999999999998,352.5,0.114191191976606,-0.23783783783783785,small,1.0,False,False,0.23783783783783785,False
BRaIn,code_vocab_jaccard,25,35,0.0725806451612903,0.0796178343949044,0.0668379377175732,0.0872210847179429,-0.0070371892336140995,343.0,0.15869649741448,-0.216,small,1.0,False,False,0.216,False
BRaIn,percent_agreement,25,37,0.8333333333333334,0.8958333333333334,0.8141666666666666,0.8676801801801801,-0.0625,365.0,0.16238704777295543,-0.21081081081081082,small,1.0,False,False,0.21081081081081082,False
BRaIn,spec_reasoning_product,25,37,6.0,12.0,8.72,11.162162162162161,-6.0,365.5,0.1629483525168638,-0.20972972972972972,small,1.0,False,False,0.20972972972972972,False
BRaIn,z_ambiguity,25,37,0.0780868809443029,0.0,0.17807943024918885,-0.177217506164619,0.0780868809443029,552.0,0.20137012072760452,0.1935135135135135,small,1.0,False,False,0.1935135135135135,False
BRaIn,project_num_java_files,25,35,195.0,153.0,343.44,232.77142857142857,42.0,519.5,0.221570601233667,0.18742857142857142,small,1.0,False,False,0.18742857142857142,False
BRaIn,z_clarity,25,37,1.1844461242957498,1.2602520756252087,1.1541467249594934,1.2895742557130063,-0.07580595132945889,378.5,0.23060294491659006,-0.18162162162162163,small,1.0,False,False,0.18162162162162163,False
BRaIn,quality_std,25,37,0.1154700538379251,0.1914854215512676,0.17026842240785586,0.20037868427398486,-0.07601536771334251,378.5,0.22625242748967633,-0.18162162162162163,small,1.0,False,False,0.18162162162162163,False
BRaIn,lix,25,37,53.62,50.96,54.059200000000004,51.322432432432436,2.6599999999999966,545.0,0.23928238916368127,0.1783783783783784,small,1.0,False,False,0.1783783783783784,False
BRaIn,z_root_cause_evidence,25,37,-0.7808688094430304,-0.599625351196689,-0.8482146585882218,-0.6276717192969735,-0.18124345824634136,380.0,0.23908116460357587,-0.1783783783783784,small,1.0,False,False,0.1783783783783784,False
BRaIn,txt_description_avg_sentence_len,25,37,0.1743168904183841,0.2363537768768856,0.35067356559471674,0.5392943730408322,-0.0620368864585015,385.5,0.27211216505366753,-0.16648648648648648,small,1.0,False,False,0.16648648648648648,False
BRaIn,num_EB,25,37,-0.673136533919824,0.2959479588785432,-0.1692125976646731,0.1649905949868719,-0.9690844927983672,388.0,0.2402064320492131,-0.16108108108108107,small,1.0,False,False,0.16108108108108107,False
BRaIn,z_hidden_reproducibility,25,37,-1.8761969359661408,-1.9272482233188633,-1.6580978649581852,-1.8639758769076877,0.05105128735272246,532.5,0.3183717246136867,0.15135135135135136,small,1.0,False,False,0.15135135135135136,False
BRaIn,report_vocab_size,25,35,86.0,72.0,91.32,77.0,14.0,498.0,0.36818746635032473,0.1382857142857143,negligible,1.0,False,False,0.1382857142857143,False
BRaIn,num_buggy_files,25,35,1.0,1.0,1.44,1.3428571428571427,0.0,495.0,0.2204733124474746,0.13142857142857142,negligible,1.0,False,False,0.13142857142857142,False
BRaIn,project_java_bytes,25,35,1291038.0,1245729.0,3339298.04,2319811.5142857144,45309.0,493.0,0.4095544687175352,0.12685714285714286,negligible,1.0,False,False,0.12685714285714286,False
BRaIn,z_specificity,25,37,0.1524985703326045,-0.0839181358296688,0.035011235509038945,-0.07171472523054405,0.23641670616227328,520.5,0.40910852120930163,0.1254054054054054,negligible,1.0,False,False,0.1254054054054054,False
BRaIn,smog,25,37,12.4,12.6,11.656,12.537837837837838,-0.1999999999999993,408.5,0.4425267105751981,-0.11675675675675676,negligible,1.0,False,False,0.11675675675675676,False
BRaIn,num_exception_types,25,37,-0.5251530779927517,-0.5251530779927517,0.35185256225514366,0.001577036270248486,0.0,515.0,0.3577744696809724,0.11351351351351352,negligible,1.0,False,False,0.11351351351351352,False
