feature,all_n,none_n,all_median,none_median,all_mean,none_mean,median_diff,u_statistic,p_value,cliffs_delta,effect_size,pval_adj,reject,significant,abs_delta,practically_significant
project_num_java_files,123,122,158.0,720.5,235.8861788617886,651.2377049180328,-562.5,2554.5,4.584862927629297e-19,-0.6595361855257896,large,2.3841287223672344e-17,True,True,0.6595361855257896,True
project_java_bytes,123,122,1245729.0,5515551.0,2266335.2439024393,6466511.2950819675,-4269822.0,3037.0,8.19852102378425e-16,-0.595228575236572,large,4.1812457221299674e-14,True,True,0.595228575236572,True
txt_description_line_count,125,122,0.3502615481503528,-0.6028194775205034,0.13157498210725138,-0.3040673381173593,0.9530810256708562,11718.0,1.464924251933639e-13,0.5367868852459017,large,7.324621259668194e-12,True,True,0.5367868852459017,True
txt_description_avg_sentence_len,125,122,0.1272918452894908,-0.9929785078263713,0.3382038883967155,-0.40668597936874445,1.1202703531158622,11395.5,1.2475142693359364e-11,0.4944918032786885,large,5.988068492812495e-10,True,True,0.4944918032786885,True
txt_title_avg_sentence_len,125,122,0.0436294210728453,-0.70287777031615,0.3755255027083501,-0.45986957452441607,0.7465071913889952,11293.0,3.8548216376716373e-13,0.48104918032786886,large,1.8888626024591024e-11,True,True,0.48104918032786886,True
embedding_cluster_distance,125,122,0.460174200231574,-0.4075510928803511,0.3281760198847163,-0.5419190984919998,0.867725293111925,11157.5,3.140835039486681e-10,0.46327868852459014,medium,1.4447841181638732e-08,True,True,0.46327868852459014,True
txt_title_digit_density,125,122,0.2817596016693708,-0.6450552541976357,0.224175373254682,-0.4198386321414939,0.9268148558670064,10939.0,1.5882200084500284e-11,0.4346229508196721,medium,7.464634039715134e-10,True,True,0.4346229508196721,True
embedding_cluster_size,125,122,-0.5748438169972881,0.4146459595637947,-0.3736322215030996,0.40634676967269895,-0.9894897765610828,4334.0,2.7638872052195386e-09,-0.43160655737704917,medium,1.2437492423487923e-07,True,True,0.43160655737704917,True
ari,125,122,20.8,28.65,24.404799999999994,37.151950671204155,-7.849999999999998,4364.0,6.325061360078657e-09,-0.427672131147541,medium,2.783026998434609e-07,True,True,0.427672131147541,True
description_length,125,122,-0.0279949415701407,-0.6564426568163819,0.18073135435113288,-0.2887466019011903,0.6284477152462412,10853.0,6.642714596793084e-09,0.423344262295082,medium,2.856367276621026e-07,True,True,0.423344262295082,True
z_ambiguity,125,122,0.0,0.47140452079103157,-0.05042721462887858,0.5391110874433772,-0.47140452079103157,4458.5,1.6956865679884214e-08,-0.41527868852459016,medium,7.12188358555137e-07,True,True,0.41527868852459016,True
flesch,125,122,30.2,6.744999999999999,19.292,-14.55509863837488,23.455,10671.5,5.770164570817664e-08,0.3995409836065574,medium,2.3657674740352423e-06,True,True,0.3995409836065574,True
z_clarity,125,122,1.2110601416389966,0.9913504205727988,1.2399278488037115,0.8089751005788228,0.2197097210661978,10632.5,8.450425021241049e-08,0.3944262295081967,medium,3.3801700084964196e-06,True,True,0.3944262295081967,True
z_actionability,125,122,0.939618477299634,0.7176085488558899,0.9163602344451449,0.5183397742060827,0.22200992844374412,10247.5,2.993682201880506e-06,0.3439344262295082,medium,0.00011675360587333974,True,True,0.3439344262295082,True
kincaid,125,122,13.2,16.0,14.132,18.316089734505248,-2.8000000000000007,5016.5,3.3866198656374667e-06,-0.34209836065573773,medium,0.00012869155489422373,True,True,0.34209836065573773,True
code_vocab_overlap_count,123,122,25.0,17.0,27.479674796747968,20.770491803278688,8.0,10053.5,4.230999196612163e-06,0.3399306943889111,medium,0.00015654697027465004,True,True,0.3399306943889111,True
z_specificity,125,122,0.1010152544552209,0.5977524613639067,0.06308698926436512,0.4535447899906163,-0.4967372069086858,5149.5,1.0364133141624363e-05,-0.324655737704918,small,0.00037310879309847706,True,True,0.324655737704918,True
z_repair_readiness,125,122,0.672926584910453,0.2381665429740079,0.5184598366124261,0.17115979338134604,0.4347600419364451,10017.5,2.030634593714634e-05,0.3137704918032787,small,0.0006904157618629755,True,True,0.3137704918032787,True
technical_completeness,125,122,0.7,0.3,0.5530666666666668,0.3680327868852459,0.39999999999999997,10013.0,1.7830403353011524e-05,0.31318032786885247,small,0.0006240641173554033,True,True,0.31318032786885247,True
z_hidden_reproducibility,125,122,-1.7677669529663689,-1.2865350418053536,-1.7467429702452828,-1.3718606720868225,-0.48123191116101527,5273.0,2.7969735709425144e-05,-0.30845901639344264,small,0.0009230012784110297,True,True,0.30845901639344264,True
z_reproducibility,125,122,0.1524985703326045,0.5607721540920443,0.15229012691709118,0.46351251039768776,-0.4082735837594398,5365.0,5.6833972701733514e-05,-0.2963934426229508,small,0.001761853153753739,True,True,0.2963934426229508,True
num_versions,125,122,-0.0494572680454745,-0.3124943305803233,-0.04524867504491693,-0.1594153843510261,0.26303706253484876,9781.5,4.982039826575213e-05,0.28281967213114756,small,0.0015942527445040682,True,True,0.28281967213114756,True
code_vocab_jaccard,123,122,0.0766283524904214,0.056829925444747895,0.07850600562874595,0.06613320551943037,0.0197984270456735,9562.5,0.00020534759000103664,0.27449020391843265,small,0.005955080110030063,True,True,0.27449020391843265,True
z_root_cause_evidence,125,122,-0.7808688094430304,-1.2830806769808074,-0.8965536112336652,-1.2407024553664947,0.502211867537777,9716.0,0.00019576657035273728,0.2742295081967213,small,0.005872997110582119,True,True,0.2742295081967213,True
buggy_vocab_size,123,122,291.0,201.0,330.780487804878,251.05737704918033,90.0,9265.0,0.0014932322113238566,0.2348393975743036,small,0.040317269705744126,True,True,0.2348393975743036,True
num_causal_markers,125,122,-0.1531279935599871,-0.4554019288379759,0.13463679282465826,-0.026767577992959014,0.30227393527798885,9406.0,0.0012677395193543602,0.23357377049180328,small,0.035496706541922086,True,True,0.23357377049180328,True
cohens_kappa,125,122,0.6999999999999997,0.6377551020408163,0.6581296601378492,0.600414684358865,0.06224489795918342,9059.5,0.010637555149042969,0.18813114754098362,small,0.26593887872607425,False,False,0.18813114754098362,False
spec_reasoning_product,125,122,9.0,5.0,10.272,7.852459016393443,4.0,9013.0,0.012951269814448876,0.1820327868852459,small,0.2978792057323241,False,False,0.1820327868852459,False
