project,bug_id,tool,succeeded,duration_seconds,energy_consumed_kwh,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,emissions_kg_co2,gpu_energy_nvml_kwh
Chart,Chart-1,blia,True,42.156288146972656,0.0007157267751036487,0.0003044205539465433,0.0,0.00041130622115710544,0.0003325166395383037,0.0
Chart,Chart-1,bluir,True,43.44513750076294,0.0007174033561371405,0.00030490210282427304,0.0,0.00041250125331286755,0.0003332955556143296,0.0
Chart,Chart-1,boostnsift,True,34.345391511917114,0.0005722888672594342,0.00024339309457941484,0.0,0.0003288957726800193,0.0002658773956845915,0.0
Chart,Chart-1,buglocator,True,133.41979265213013,0.0023906029156479814,0.0010293629568502963,0.0,0.001361239958797685,0.0011106406461692331,0.0
Chart,Chart-1,locus,True,45.511887073516846,0.0007653625781601045,0.00032499658747418467,0.0,0.0004403659906859199,0.00035557673873709035,0.0
Chart,Chart-11,buglocator,True,144.78132128715515,0.0025955084599725304,0.0011161132779091416,0.0,0.0014793951820633888,0.001205836893384798,0.0
Chart,Chart-11,locus,True,30.395381689071655,0.0004796130202030303,0.00020403502174989998,0.0,0.00027557799845313034,0.00022282149460404503,0.0
Chart,Chart-12,blia,True,140.7437822818756,0.0025294840860984103,0.0010915852293058117,0.0,0.0014378988567925986,0.001175162893624116,0.0
Chart,Chart-12,bluir,True,37.093321561813354,0.0006236018586421943,0.00026567597297789524,0.0,0.00035792588566429916,0.0002897166930991425,0.0
Chart,Chart-12,boostnsift,True,33.205076694488525,0.0005511171212843834,0.00023457213764903733,0.0,0.0003165449836353461,0.0002560412989090266,0.0
Chart,Chart-12,buglocator,True,152.6872832775116,0.0027717142113425726,0.0011953069618627075,0.0,0.0015764072494798649,0.0012876996185908003,0.0
Chart,Chart-12,locus,True,19.981861352920532,0.00030946046399924057,0.00013211288981490233,0.0,0.00017734757418433824,0.0001437709991275512,0.0
Chart,Chart-16,blia,True,45.477394819259644,0.0007761862643094225,0.00032983325034484563,0.0,0.00044635301396457686,0.0003606052717904574,0.0
Chart,Chart-16,bluir,True,35.36311101913452,0.0005898249752191789,0.00025039401559090495,0.0,0.00033943095962827403,0.00027402442593717745,0.0
Chart,Chart-16,boostnsift,True,30.771591424942017,0.0005241401064317671,0.00022289725549668057,0.0,0.00030124285093508657,0.00024350815548670896,0.0
Chart,Chart-16,buglocator,True,169.8280200958252,0.0030836966181790456,0.0013262521468698771,0.0,0.0017574444713091683,0.0014326422770533302,0.0
Chart,Chart-16,locus,True,24.732545852661133,0.0003739858647451243,0.00015900683220525832,0.0,0.00021497903253986603,0.00017374859695847835,0.0
Chart,Chart-17,blia,True,42.07310104370117,0.0007138527475077272,0.00030364789901479527,0.0,0.000410204848492932,0.00033164599255362494,0.0
Chart,Chart-17,bluir,True,32.230440616607666,0.0005340978569756175,0.00022741400442204297,0.0,0.0003066838525535746,0.00024813438698087427,0.0
Chart,Chart-17,boostnsift,True,30.369548797607422,0.0004995073829051385,0.00021250641924104227,0.0,0.00028700096366409626,0.00023206413699436668,0.0
Chart,Chart-17,buglocator,True,169.22085165977478,0.0030851349855280817,0.001335166118963955,0.0,0.0017499688665641266,0.0014333105223865493,0.0
Chart,Chart-17,locus,True,18.45688033103943,0.0002809075833675856,0.0001197314618460514,0.0,0.00016117612152153417,0.00013050573052641312,0.0
Chart,Chart-2,blia,True,52.2357873916626,0.0009015415622014452,0.0003840897520714236,0.0,0.0005174518101300216,0.0004188435882169206,0.0
Chart,Chart-2,bluir,True,42.42833423614502,0.0007297553932910558,0.00031092503855683533,0.0,0.00041883035473422043,0.0003390341391475185,0.0
Chart,Chart-2,boostnsift,True,47.636030197143555,0.0008162882338174258,0.0003471631213732633,0.0,0.0004691251124441624,0.0003792360853963026,0.0
Chart,Chart-2,buglocator,True,142.76394057273865,0.0025996130097841064,0.001123969849830022,0.0,0.0014756431599540845,0.0012077438097635588,0.0
Chart,Chart-2,locus,True,94.7760660648346,0.0016905351990777508,0.0007314665959946734,0.0,0.0009590686030830773,0.0007853989859987359,0.0
