metric,feature,corr,pval,pval_adj,reject
mrr_boostnsift,summary_chars,0.3828087581576933,1.5587577033589171e-30,5.377714076588264e-28,True
mrr_boostnsift,description_chars,0.2925242149020745,6.152066366628913e-18,1.8825323081884474e-15,True
mrr_boostnsift,n_tokens,0.29034782007243565,1.1039224022071756e-17,3.344884878687742e-15,True
mrr_boostnsift,n_words,0.29774448819645577,1.4824608431631147e-18,4.595628613805655e-16,True
mrr_boostnsift,n_sentences,0.2750845306828948,5.788377912961949e-16,1.707571484323775e-13,True
mrr_boostnsift,flesch_reading_ease,0.2888681393993053,9.967891906515635e-14,2.810945517637409e-11,True
mrr_boostnsift,smog_index,-0.09431113734211732,0.017180840128956622,1.0,False
mrr_boostnsift,gunning_fog,-0.10513108535656204,0.007869193208676874,1.0,False
mrr_boostnsift,coleman_liau_index,-0.2944514843754018,3.1546849447127555e-14,8.990852092431353e-12,True
mrr_boostnsift,automated_readability_index,-0.2798698822366552,6.037173399195492e-13,1.6783342049763466e-10,True
mrr_boostnsift,num_steps,-0.04274587569657068,0.21723490460823272,1.0,False
mrr_boostnsift,avg_step_length,-0.042879436048616514,0.21580021960462709,1.0,False
mrr_boostnsift,steps_with_objects,-0.025101901760822016,0.4688316841394805,1.0,False
mrr_boostnsift,steps_with_specific_actions,,,,
mrr_boostnsift,potential_ambiguous_steps,,,,
mrr_boostnsift,potential_vague_steps,-0.0374401262227436,0.2798564802840407,1.0,False
mrr_boostnsift,num_causal_markers,0.27332564129309894,8.993411253096247e-16,2.626076085904104e-13,True
mrr_boostnsift,num_temporal_markers,0.15667810045319155,5.3961217256714945e-06,0.0011601661710193712,True
mrr_boostnsift,causal_density,0.27890273918044056,2.1995579636585896e-16,6.510691572429425e-14,True
mrr_boostnsift,temporal_density,0.1560217225028676,5.91309595941388e-06,0.0012594894393551566,True
mrr_boostnsift,num_os_mentions,0.14161040235461772,4.015120256332681e-05,0.007869635702412055,True
mrr_boostnsift,num_browser_mentions,0.03573809122390049,0.3023141560363361,1.0,False
