metric,feature,corr,pval,pval_adj,reject
mrr_boostnsift,summary_chars,0.3627722216577889,2.2621512736615026e-27,7.646071304975878e-25,True
mrr_boostnsift,description_chars,0.1291294052180032,0.00018295748148425484,0.0417143057784101,True
mrr_boostnsift,n_tokens,0.142970196406296,3.37671298277854e-05,0.008340481067462994,True
mrr_boostnsift,n_words,0.1385567548539278,5.8898633859206284e-05,0.014253469393927921,True
mrr_boostnsift,n_sentences,0.025330608249448706,0.46478933891815,1.0,False
mrr_boostnsift,flesch_reading_ease,0.27846388264744926,7.952778547833878e-13,2.409691899993665e-10,True
mrr_boostnsift,smog_index,-0.03623287782133375,0.3608748536840075,1.0,False
mrr_boostnsift,gunning_fog,-0.09149308963199014,0.020815704620887047,1.0,False
mrr_boostnsift,coleman_liau_index,-0.287701541548001,1.2636094663425691e-13,3.879281061671687e-11,True
mrr_boostnsift,automated_readability_index,-0.27362527377501034,2.0286461003440316e-12,6.085938301032095e-10,True
mrr_boostnsift,num_steps,-0.026534413419153732,0.4438343878808222,1.0,False
mrr_boostnsift,avg_step_length,-0.03318347810494626,0.33820938604802486,1.0,False
mrr_boostnsift,steps_with_objects,-0.0035066876234042324,0.9194083309836844,1.0,False
mrr_boostnsift,steps_with_specific_actions,,,,
mrr_boostnsift,potential_ambiguous_steps,,,,
mrr_boostnsift,potential_vague_steps,-0.03918609532865011,0.2580239736415904,1.0,False
mrr_boostnsift,num_causal_markers,0.11852852581146739,0.0005991078436570831,0.12940729422992994,False
mrr_boostnsift,num_temporal_markers,0.1436504626175103,3.0946804050080516e-05,0.007705754208470048,True
mrr_boostnsift,causal_density,0.20568428843748038,1.986834597550133e-09,5.741951986919884e-07,True
mrr_boostnsift,temporal_density,0.11197309755402873,0.0011912547325587577,0.2453984749071041,False
mrr_boostnsift,num_os_mentions,0.14505650063824282,2.5809756859021822e-05,0.006478248971614477,True
mrr_boostnsift,num_browser_mentions,0.012788102550940605,0.7121342711758653,1.0,False
mrr_boostnsift,num_env_mentions,0.004624049153437126,0.8938622038770678,1.0,False
mrr_boostnsift,num_versions,0.054266682930123405,0.11713442712400847,1.0,False
mrr_boostnsift,num_exception_types,-0.008508759647274038,0.8060628390709789,1.0,False
mrr_boostnsift,stacktrace_depth,-0.10137793817321399,0.0033611056759155385,0.6587767124794456,False
mrr_boostnsift,num_caused_by,-0.012647087234983298,0.7151696332942439,1.0,False
mrr_boostnsift,behavior_verb_count,,,,
mrr_boostnsift,behavior_verb_density,,,,
mrr_boostnsift,num_modal_verbs,0.03550619401643477,0.30546410492327114,1.0,False
mrr_boostnsift,num_negative_modals,0.021453466517717956,0.5358703731642936,1.0,False
mrr_boostnsift,modal_density,0.01766058181804279,0.6103303922879417,1.0,False
mrr_boostnsift,redundancy,-0.005508060191279427,0.8737274125996988,1.0,False
mrr_boostnsift,ambiguity,0.09208479442206859,0.007754209798050213,1.0,False
mrr_boostnsift,completeness_score,0.2704380217115234,0.42121760535754976,1.0,False
mrr_boostnsift,specificity_score,,,,
mrr_boostnsift,actionability,0.3554564530583847,2.846975852290177e-26,9.508899346649191e-24,True
mrr_boostnsift,clarity,0.3502450378436949,1.661597637059276e-25,5.516504155036797e-23,True
mrr_boostnsift,specificity,0.31954897705099083,2.8158805542715177e-21,9.095294190297002e-19,True
mrr_boostnsift,expected_observed_alignment,0.34560476132022805,7.775236473921154e-25,2.573603272867902e-22,True
mrr_boostnsift,technical_depth,0.29212229804795564,6.8561093598243314e-18,2.173386667064313e-15,True
mrr_boostnsift,causal_reasoning_quality,0.3749016329930193,2.9313810889300385e-29,1.0025323324140731e-26,True
mrr_boostnsift,repair_difficulty,-0.3943849817980306,1.8326501995299266e-32,6.377622694364144e-30,True
mrr_boostnsift,description_length,0.1291294052180032,0.00018295748148425484,0.0417143057784101,True
mrr_boostnsift,confidence,0.3417915563641545,2.7106951774979707e-24,8.945294085743303e-22,True
mrr_buglocator,summary_chars,0.3512971140261532,1.1668375654336254e-25,3.8855690928939726e-23,True
mrr_buglocator,description_chars,0.16897499897782756,9.070420783421551e-07,0.0002467154453090662,True
mrr_buglocator,n_tokens,0.16286078866389134,2.2379875759297215e-06,0.0005953046951973059,True
mrr_buglocator,n_words,0.1408387920879896,4.426600987835139e-05,0.010800906410317739,True
mrr_buglocator,n_sentences,0.06092785316770262,0.07847716718434844,1.0,False
mrr_buglocator,flesch_reading_ease,0.1506114491483102,0.0001342185756767754,0.031004490981335116,True
mrr_buglocator,smog_index,-0.10124510623480767,0.010501027379334995,1.0,False
mrr_buglocator,gunning_fog,-0.13013927867266986,0.000985200359811592,0.20492167484081114,False
mrr_buglocator,coleman_liau_index,-0.1276313358291004,0.0012348901077134896,0.25315247208126535,False
mrr_buglocator,automated_readability_index,-0.13047939244232892,0.0009551860444109833,0.20038370058267183,False
mrr_buglocator,num_steps,-0.0038625789683947725,0.911261328033919,1.0,False
mrr_buglocator,avg_step_length,-0.02212946920708221,0.5230952090547384,1.0,False
mrr_buglocator,steps_with_objects,0.005052073413247097,0.8841039051921217,1.0,False
mrr_buglocator,steps_with_specific_actions,,,,
mrr_buglocator,potential_ambiguous_steps,,,,
mrr_buglocator,potential_vague_steps,-0.013049517831442235,0.7065193511029564,1.0,False
mrr_buglocator,num_causal_markers,0.12596321743235034,0.00026329390041220514,0.05897783369233395,False
mrr_buglocator,num_temporal_markers,0.15109031368442713,1.1619097210357296e-05,0.0029628697886411102,True
mrr_buglocator,causal_density,0.21553077218776995,3.1172899310352217e-10,9.071313699312494e-08,True
mrr_buglocator,temporal_density,0.13184727521075928,0.00013296999608832313,0.030849039092490968,True
mrr_buglocator,num_os_mentions,0.11412618135102195,0.000954208098012723,0.20038370058267183,False
mrr_buglocator,num_browser_mentions,0.02859315669388873,0.40927547141246806,1.0,False
mrr_buglocator,num_env_mentions,-0.0015651152682141546,0.9639810351292973,1.0,False
mrr_buglocator,num_versions,0.09070010650166839,0.008731695691292491,1.0,False
mrr_buglocator,num_exception_types,0.12132264999349879,0.0004422140415779949,0.09817151723031488,False
mrr_buglocator,stacktrace_depth,0.0033450920224654306,0.9231103911325163,1.0,False
mrr_buglocator,num_caused_by,0.04973358256686375,0.15104344232739383,1.0,False
mrr_buglocator,behavior_verb_count,,,,
mrr_buglocator,behavior_verb_density,,,,
mrr_buglocator,num_modal_verbs,0.04126015570825245,0.2336576254171062,1.0,False
mrr_buglocator,num_negative_modals,0.00147239788546576,0.9661134761468949,1.0,False
mrr_buglocator,modal_density,0.038293966659358435,0.26902777273020967,1.0,False
mrr_buglocator,redundancy,0.03128085687353426,0.36664800360118854,1.0,False
mrr_buglocator,ambiguity,0.06454876240332887,0.06226904980175864,1.0,False
mrr_buglocator,completeness_score,0.11474735374026188,0.7369076906990812,1.0,False
mrr_buglocator,specificity_score,,,,
mrr_buglocator,actionability,0.4033689595578229,5.14890215126788e-34,1.807264655095026e-31,True
mrr_buglocator,clarity,0.39558029841869735,1.1465981675151236e-32,4.0016276046277814e-30,True
mrr_buglocator,specificity,0.3777234291454371,1.038341706576462e-29,3.5718954706230296e-27,True
mrr_buglocator,expected_observed_alignment,0.3938202772040683,2.285644384766562e-32,7.931186015139971e-30,True
mrr_buglocator,technical_depth,0.3632273983212473,1.9281478640971807e-27,6.536421259289443e-25,True
mrr_buglocator,causal_reasoning_quality,0.4217856953911368,2.3957531706401278e-37,8.480966224066052e-35,True
mrr_buglocator,repair_difficulty,-0.42830829138335963,1.4083789447809217e-38,4.999745253972272e-36,True
mrr_buglocator,description_length,0.16897499897782756,9.070420783421551e-07,0.0002467154453090662,True
mrr_buglocator,confidence,0.37659875274468135,1.5722431217339177e-29,5.392793907547338e-27,True
mrr_locus,summary_chars,0.17450429570849793,3.89607354272434e-07,0.00010792123713346422,True
mrr_locus,description_chars,0.05418752468211973,0.1176704968403931,1.0,False
mrr_locus,n_tokens,0.08077937585550288,0.01956695382792861,1.0,False
mrr_locus,n_words,0.05270762282656684,0.1280504034810866,1.0,False
mrr_locus,n_sentences,0.013597012001464154,0.6948115973957535,1.0,False
mrr_locus,flesch_reading_ease,0.16361868923361217,3.2857306255756494e-05,0.00814861195142761,True
mrr_locus,smog_index,-0.13851466618784952,0.00045019833617863513,0.09949383229547837,False
mrr_locus,gunning_fog,-0.17053741309202847,1.485255145568789e-05,0.003772548069744724,True
mrr_locus,coleman_liau_index,-0.12574630143187368,0.0014596119796328505,0.29630123186546864,False
mrr_locus,automated_readability_index,-0.11060052249205052,0.005162306383150115,0.9911628255648222,False
mrr_locus,num_steps,0.00774060376613514,0.8232680997392458,1.0,False
mrr_locus,avg_step_length,-0.01315212834650031,0.7043197167701416,1.0,False
